player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
agustin-sandez-251892,Agustín Sández,24.0,Paraguay,184.0,Left,DF,Rosario Central,Argentine Liga,30,2575,85.8,2,1,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.59,0.16,27.8,14.2,1.38,0.03,0.62,34.42,74.9,3.35,0.39,4.23,2.69,2.03,0.46,40.0,25.69,1.15,58.27,11.02,1.02,29.3,1.97,1.38,1.15,3.48,1.44,55.7,0.33,0.03,1.02,,,,,,,,,,,,,,,,,,2.5
jorge-broun-ac2cec,Jorge Broun,39.0,Argentina,190.0,Right,GK,Rosario Central,Argentine Liga,29,2609,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,3.09,2.41,78.8,45.2,0.24,0.12,0.0,18.23,35.7,34.1,0.16,10.0,3.6,0.53,0.34,0.13,0.125
victor-malcorra-f2cab3,Víctor Malcorra,38.0,Argentina,170.0,Left,FW-MF,Rosario Central,Argentine Liga,27,2389,88.5,7,5,0.26,0.19,0.11,0.1,0.14,0.24,0.22,1.17,0.41,35.5,23.6,3.65,0.38,1.73,32.51,69.8,4.03,1.47,5.99,4.29,1.81,0.23,24.0,30.44,1.28,55.27,16.88,1.47,36.69,1.13,0.49,0.83,5.35,0.15,21.1,0.38,0.0,0.72,,,,,,,,,,,,,,,,,,0.4
franco-ibarra-663e65,Franco Ibarra,24.0,Argentina,175.0,Right,MF,Rosario Central,Argentine Liga,28,2302,82.2,1,1,0.04,0.04,0.04,0.02,0.01,0.04,0.02,0.77,0.18,22.7,24.2,1.5,0.18,0.42,34.5,78.8,4.2,0.28,4.37,0.59,0.77,0.7,52.6,26.24,0.45,58.05,5.67,0.49,31.6,4.3,1.36,2.2,6.12,1.4,47.1,0.35,0.0,1.33,,,,,,,,,,,,,,,,,,3.5
emanuel-coronel-b669f6,Emanuel Coronel,28.0,Argentina,174.0,Right,DF,Rosario Central,Argentine Liga,29,2167,74.7,0,3,0.0,0.12,0.0,0.01,0.04,0.05,0.01,0.32,0.04,12.5,24.3,1.46,0.24,0.43,34.27,73.0,2.48,0.55,4.02,2.88,1.69,0.95,49.0,25.25,1.1,59.36,11.78,0.79,26.19,2.8,1.65,0.87,6.34,1.3,61.1,0.32,0.0,1.5,,,,,,,,,,,,,,,,,,2.7
jaminton-campaz-757918,Jaminton Campaz,25.0,Colombia,168.0,Left,FW-MF,Rosario Central,Argentine Liga,25,1924,77.0,4,1,0.19,0.05,0.19,0.14,0.19,0.33,0.14,2.15,0.84,39.1,20.2,2.81,0.19,0.94,24.18,68.6,2.81,1.17,4.21,9.45,3.65,1.96,40.0,30.69,2.39,49.82,21.52,2.48,35.64,2.06,0.51,0.98,4.77,1.08,37.7,0.28,0.0,1.08,,,,,,,,,,,,,,,,,,6.0
carlos-quintana-7bb7b7,Carlos Quintana,37.0,Argentina,191.0,,DF,Rosario Central,Argentine Liga,23,1834,79.7,0,2,0.0,0.1,0.0,0.04,0.02,0.06,0.04,0.64,0.0,0.0,13.1,0.79,0.2,0.25,29.39,86.3,1.47,0.0,1.57,0.15,0.15,0.2,80.0,21.98,0.15,46.57,1.67,1.18,26.4,1.28,1.03,1.47,1.91,2.9,60.8,0.29,0.0,0.83,,,,,,,,,,,,,,,,,,0.1
juan-cruz-komar-841337,Juan Cruz Komar,29.0,Argentina,183.0,,DF,Rosario Central,Argentine Liga,26,1883,72.4,0,0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.48,0.1,20.0,10.9,0.38,0.05,0.0,31.21,82.0,1.05,0.0,1.63,0.05,0.43,0.05,50.0,19.21,0.1,52.58,1.05,0.76,26.67,1.53,1.34,1.34,2.15,4.21,71.0,0.1,0.0,0.67,,,,,,,,,,,,,,,,,,0.6
federico-navarro-0b5b8e,Federico Navarro,25.0,Argentina,171.0,Right,MF,Rosario Central,Argentine Liga,23,1571,68.3,0,0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.4,0.0,0.0,18.9,0.97,0.06,0.23,36.84,87.2,2.58,0.11,3.32,0.23,0.69,0.34,50.0,26.3,0.57,52.42,3.84,0.29,29.73,3.32,0.86,0.97,7.05,0.46,40.0,0.23,0.0,1.78,,,,,,,,,,,,,,,,,,2.3
enzo-copetti-aa0c26,Enzo Copetti,29.0,Argentina,180.0,Right,FW-MF,Rosario Central,Argentine Liga,29,1603,55.3,3,3,0.17,0.17,0.16,0.24,0.19,0.43,0.24,1.1,0.58,52.4,10.8,1.41,0.31,0.79,13.04,60.4,0.84,0.47,1.52,4.45,0.99,0.52,52.6,14.87,0.63,31.41,13.98,3.25,21.47,1.2,0.31,0.47,2.51,3.61,51.9,0.21,0.0,1.41,,,,,,,,,,,,,,,,,,3.0
