player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
kjell-scherpen-436d2c,Kjell Scherpen,25.0,Netherlands,204.0,Right,GK,Sturm Graz,Austrian Bundesliga,30,2700,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,5.43,3.0,63.2,28.6,0.37,-0.23,0.0,22.86,46.3,39.3,0.43,9.1,7.1,0.43,0.0,0.57,5.0
otar-kiteishvili-820c7a,Otar Kiteishvili,29.0,Georgia,170.0,Right,FW-MF,Sturm Graz,Austrian Bundesliga,32,2643,82.6,12,3,0.41,0.1,0.49,0.16,0.07,0.25,0.16,2.63,0.99,37.5,21.3,2.47,0.33,0.82,33.73,75.9,2.8,1.32,4.61,4.44,1.65,0.49,27.3,33.07,1.97,55.61,17.77,2.96,39.16,2.3,0.66,0.99,4.44,0.49,42.9,0.0,0.0,0.99,,,,,,,,,,,,,,,,,,6.0
dimitri-lavalee-c73af5,Dimitri Lavalée,28.0,Belgium,187.0,Left,DF-MF,Sturm Graz,Austrian Bundesliga,30,2577,85.9,1,2,0.03,0.07,0.0,0.03,0.08,0.09,0.03,0.31,0.0,0.0,14.6,0.94,0.16,0.16,29.01,67.3,2.51,0.31,2.67,0.47,0.31,0.47,100.0,23.36,0.31,54.72,3.45,0.16,26.5,2.82,1.1,1.1,4.08,1.88,54.5,0.16,0.0,1.41,,,,,,,,,,,,,,,,,,3.0
william-bving-d9f4fd,William Bøving,22.0,Denmark,177.0,,FW-MF,Sturm Graz,Austrian Bundesliga,30,2172,72.4,11,5,0.46,0.21,0.0,0.08,0.18,0.26,0.08,1.08,0.54,50.0,19.1,2.03,0.14,1.08,16.24,70.2,1.22,0.54,1.49,5.68,2.17,0.81,31.6,21.11,0.54,36.81,14.48,2.44,21.52,1.49,0.54,1.08,4.6,0.14,11.1,0.0,0.0,0.14,,,,,,,,,,,,,,,,,,8.0
emanuel-aiwum-2c256b,Emanuel Aiwum,24.0,Austria,185.0,Right,DF,Sturm Graz,Austrian Bundesliga,27,2232,82.7,1,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.17,0.17,0.0,30.17,85.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,26.0,0.0,46.83,0.33,0.17,25.67,1.83,1.83,1.17,5.5,1.33,72.7,0.17,0.0,2.33,,,,,,,,,,,,,,,,,,
jon-gorenc-stankovic-59cdcb,Jon Gorenc Stanković,29.0,Slovenia,190.0,Right,DF-MF,Sturm Graz,Austrian Bundesliga,26,2045,78.7,1,4,0.04,0.18,0.0,0.0,0.01,0.01,0.0,0.25,0.0,0.0,39.8,0.51,0.13,0.25,27.67,77.0,2.79,0.13,3.68,0.63,0.0,0.38,42.9,22.98,0.51,48.11,5.2,1.02,26.28,2.54,0.63,1.14,4.57,1.4,36.7,0.25,0.0,1.27,,,,,,,,,,,,,,,,,,4.0
malick-yalcouye-2035e2,Malick Yalcouye,20.0,Côte d'Ivoire,169.0,,MF,Göteborg,Allsvenskan,11,956,86.9,1,0,0.09,0.0,0.0,0.03,0.04,0.07,0.03,1.02,0.15,14.3,23.7,1.89,0.0,1.02,31.17,85.9,1.89,0.87,1.89,2.18,2.04,0.87,31.6,33.64,1.17,50.1,12.96,1.31,34.37,2.91,1.02,1.89,4.95,0.44,33.3,0.29,0.0,1.75,,,,,,,,,,,,,,,,,,17.0
tomi-horvat-72580a,Tomi Horvat,26.0,Slovenia,175.0,Left,FW-MF,Sturm Graz,Austrian Bundesliga,32,1997,62.4,4,8,0.18,0.36,0.5,0.23,0.28,0.5,0.23,3.51,1.75,50.0,19.2,3.51,0.25,2.51,21.56,63.7,1.0,0.5,2.26,5.01,1.75,1.0,57.1,23.31,0.75,48.64,19.55,3.51,27.33,2.76,1.25,1.75,4.01,0.25,16.7,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,5.0
gregory-wuthrich-ff411d,Gregory Wüthrich,30.0,Switzerland,192.0,Right,DF,Sturm Graz,Austrian Bundesliga,21,1675,79.8,1,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.65,0.32,0.32,26.77,75.5,0.65,0.0,0.32,0.32,0.32,0.0,0.0,27.1,0.0,50.0,0.65,0.32,23.55,1.61,2.26,1.94,3.55,1.61,62.5,0.0,0.0,1.61,,,,,,,,,,,,,,,,,,3.0
max-johnston-250777,Max Johnston,21.0,Scotland,179.0,,DF-MF,Sturm Graz,Austrian Bundesliga,24,1641,68.4,1,5,0.05,0.27,0.0,0.03,0.03,0.07,0.03,0.69,0.11,16.7,18.6,1.15,0.11,0.34,19.66,57.0,2.07,1.15,2.07,3.68,0.92,0.23,25.0,17.47,1.03,43.33,17.47,1.03,20.57,1.49,0.23,0.92,2.64,0.34,21.4,0.11,0.0,0.46,,,,,,,,,,,,,,,,,,3.0
mika-biereth-3155fe,Mika Biereth,22.0,Denmark,187.0,,FW,Sturm Graz,Austrian Bundesliga,16,1267,79.2,11,4,0.78,0.28,0.63,0.57,0.21,0.78,0.64,2.3,1.17,50.9,12.1,2.43,0.29,1.3,10.67,60.0,0.75,0.96,1.51,7.83,1.05,0.13,13.0,15.99,0.67,27.63,16.53,6.07,20.47,0.5,0.25,0.84,1.84,1.21,29.6,0.0,0.0,1.21,,,,,,,,,,,,,,,,,,30.0
seedy-jatta-4f562d,Seedy Jatta,22.0,Norway,180.0,,FW,Sturm Graz,Austrian Bundesliga,21,1241,59.1,5,2,0.36,0.15,0.0,0.08,0.04,0.08,0.08,0.78,0.0,0.0,20.6,0.78,0.0,0.78,5.04,46.4,0.78,0.0,0.78,3.1,0.0,0.0,0.0,10.47,1.16,22.5,9.31,3.49,13.19,0.78,0.78,0.78,2.33,3.1,42.1,0.0,0.0,1.55,,,,,,,,,,,,,,,,,,2.0
jusuf-gazibegovic-2c908d,Jusuf Gazibegović,25.0,Bosnia and Herzegovina,174.0,Both,DF,Sturm Graz,Austrian Bundesliga,14,1188,84.9,0,1,0.0,0.08,0.0,0.02,0.12,0.16,0.02,1.0,0.6,60.0,25.6,2.6,0.0,1.2,27.0,71.8,2.0,0.8,2.4,2.8,0.8,0.2,16.7,23.8,1.6,49.2,12.0,0.6,23.4,2.0,1.4,1.0,3.6,0.4,40.0,0.6,0.0,1.4,,,,,,,,,,,,,,,,,,3.0
tochi-chukwuani-c8bc69,Tochi Chukwuani,22.0,Denmark,179.0,,MF,Sturm Graz,Austrian Bundesliga,27,1246,46.1,3,1,0.22,0.07,0.0,0.05,0.12,0.17,0.05,1.08,0.46,42.9,20.2,2.15,0.0,0.62,36.62,84.1,3.08,0.46,3.23,1.38,1.23,0.46,33.3,28.92,0.62,56.62,9.08,1.38,34.15,2.62,1.69,1.23,7.54,0.62,50.0,0.31,0.15,2.46,,,,,,,,,,,,,,,,,,4.0
niklas-geyrhofer-790c1e,Niklas Geyrhofer,25.0,Austria,188.0,Right,DF,Sturm Graz,Austrian Bundesliga,19,1177,61.9,1,0,0.08,0.0,0.0,0.02,0.0,0.02,0.02,0.4,0.0,0.0,17.3,0.2,0.0,0.0,35.48,88.1,0.4,0.0,0.8,0.0,0.0,0.6,100.0,30.87,0.0,51.11,0.8,0.2,28.66,1.4,0.6,1.0,5.21,1.0,41.7,0.2,0.0,0.4,,,,,,,,,,,,,,,,,,2.0
leon-grgic-9686bf,Leon Grgic,19.0,Croatia,,,FW,Sturm Graz,Austrian Bundesliga,18,818,45.4,5,2,0.55,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emir-karic-cf8408,Emir Karic,28.0,Bosnia and Herzegovina,186.0,Left,DF-MF,Sturm Graz,Austrian Bundesliga,15,672,44.8,0,1,0.0,0.13,0.0,0.0,0.04,0.04,0.0,0.0,0.0,,,1.4,0.0,0.6,47.8,78.1,2.6,1.2,4.8,2.0,1.0,0.4,50.0,27.2,0.2,75.2,12.4,0.2,37.2,3.4,1.6,2.0,3.2,1.2,50.0,0.2,0.0,0.8,,,,,,,,,,,,,,,,,,1.0
amady-camara-c309aa,Amady Camara,20.0,Mali,,,FW,Sturm Graz,Austrian Bundesliga,19,612,32.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovro-zvonarek-c8b182,Lovro Zvonarek,20.0,Croatia,,,FW,Sturm Graz,Austrian Bundesliga,13,388,29.8,1,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arjan-malic-ac2a98,Arjan Malic,20.0,Bosnia and Herzegovina,186.0,Right,DF,Sturm Graz,Austrian Bundesliga,11,369,33.5,0,0,0.49,0.0,0.49,0.49,0.0,0.49,0.49,0.98,0.98,100.0,2.2,1.96,0.49,0.49,24.46,64.1,1.47,0.98,2.93,0.49,1.96,0.98,66.7,22.01,2.45,55.76,11.25,0.98,22.5,1.96,1.96,2.93,2.93,0.0,0.0,0.0,0.0,0.98,,,,,,,,,,,,,,,,,,1.5
erencan-yardimci-43f505,Erencan Yardimci,23.0,Turkey,,,FW,Sturm Graz,Austrian Bundesliga,8,211,26.4,2,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniil-khudiakov-5201fe,Daniil Khudiakov,21.0,Russia,194.0,Right,GK,Sturm Graz,Austrian Bundesliga,2,180,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5.0,3.5,70.0,50.0,0.27,-0.15,,30.5,45.9,37.1,0.5,12.0,12.5,0.5,0.0,0.5,
stefan-hierlander-c0f056,Stefan Hierländer,34.0,Austria,180.0,Right,MF,Sturm Graz,Austrian Bundesliga,14,111,7.9,0,1,0.0,0.81,0.0,0.07,0.0,0.07,0.07,1.06,0.0,0.0,24.8,0.0,0.0,0.0,14.82,53.8,1.06,0.0,2.12,1.41,0.71,0.35,100.0,14.82,0.71,37.41,7.06,0.35,16.94,2.82,2.12,1.41,5.65,1.06,42.9,0.71,0.35,0.35,,,,,,,,,,,,,,,,,,0.2
emran-soglo-185d2e,Emran Soglo,20.0,France,178.0,Left,MF,Sturm Graz,Austrian Bundesliga,3,83,27.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fally-mayulu-88bc44,Fally Mayulu,23.0,France,,,FW,Sturm Graz,Austrian Bundesliga,2,70,35.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-hodl-2b4fab,Jacob Hodl,18.0,Austria,,,MF,Sturm Graz,Austrian Bundesliga,6,48,8.0,0,0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.83,0.42,50.0,17.1,1.67,0.0,0.83,21.67,77.6,1.25,0.42,2.08,4.17,4.58,1.25,42.9,23.33,1.67,43.75,12.08,1.67,21.25,3.75,0.42,1.67,5.83,0.42,25.0,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,
belmin-beganovic-a21a9a,Belmin Beganovic,21.0,Austria,,Left,FW,Sturm Graz,Austrian Bundesliga,3,35,11.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manprit-sarkaria-d538bb,Manprit Sarkaria,29.0,Austria,180.0,Left,FW-MF,Sturm Graz,Austrian Bundesliga,1,17,17.0,0,0,0.0,0.0,0.0,0.11,0.13,0.21,0.11,1.05,0.42,40.0,20.1,2.53,0.21,1.48,17.49,60.6,1.9,1.48,2.11,5.27,1.05,1.69,66.7,20.66,0.63,37.1,15.18,1.26,24.45,0.21,0.21,0.63,2.53,1.69,25.0,0.21,0.0,1.26,,,,,,,,,,,,,,,,,,0.8
peter-kiedl-f5d5d8,Peter Kiedl,21.0,Austria,,,FW,Sturm Graz,Austrian Bundesliga,1,7,7.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
konstantin-schopp-104682,Konstantin Schopp,19.0,Austria,,,DF,Sturm Graz,Austrian Bundesliga,1,7,7.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matteo-bignetti-a49aec,Matteo Bignetti,21.0,Austria,190.0,,GK,Sturm Graz,Austrian Bundesliga,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samson-baidoo-8bc452,Samson Baidoo,21.0,Austria,185.0,,DF,RB Salzburg,Austrian Bundesliga,29,2609,90.0,0,0,0.14,0.0,0.14,0.07,0.03,0.1,0.07,0.83,0.34,41.7,12.9,0.83,0.14,0.07,43.59,93.1,3.1,0.0,2.41,0.07,0.14,0.34,83.3,28.48,0.07,57.38,2.14,1.17,35.72,1.66,1.24,2.14,4.62,1.59,53.5,0.14,0.0,0.76,,,,,,,,,,,,,,,,,,8.0
mads-bidstrup-247ec6,Mads Bidstrup,24.0,Denmark,175.0,Right,MF,RB Salzburg,Austrian Bundesliga,30,2234,74.5,1,1,0.04,0.04,0.27,0.19,0.08,0.27,0.19,1.09,0.82,75.0,15.2,1.36,0.0,0.54,21.75,74.1,2.18,0.27,2.45,3.26,0.82,0.27,33.3,26.92,1.9,40.24,12.24,2.45,22.84,1.9,1.09,1.63,5.71,0.0,0.0,0.27,0.0,0.82,,,,,,,,,,,,,,,,,,15.0
nene-dorgeles-60ec0c,Nene Dorgeles,22.0,Mali,174.0,,FW-MF,RB Salzburg,Austrian Bundesliga,30,2053,68.4,13,4,0.57,0.18,0.0,0.07,0.17,0.24,0.07,1.67,0.56,33.3,21.4,2.78,0.19,1.85,27.22,79.5,0.56,1.11,2.59,8.15,3.33,1.3,50.0,33.7,1.85,47.96,22.59,2.96,33.15,3.15,1.3,1.67,5.0,0.37,18.2,0.0,0.0,0.74,,,,,,,,,,,,,,,,,,17.0
oscar-gloukh-27d0af,Oscar Gloukh,21.0,Israel,177.0,,FW-MF,RB Salzburg,Austrian Bundesliga,26,1935,74.4,10,4,0.47,0.19,0.0,0.06,0.2,0.24,0.06,1.11,0.19,16.7,20.7,3.9,0.0,1.86,38.41,82.1,5.2,0.93,4.64,6.12,4.45,2.6,46.7,41.38,3.15,57.53,23.38,2.41,41.94,1.3,0.19,0.93,4.27,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,18.0
alexander-schlager-1f0023,Alexander Schlager,29.0,Austria,184.0,Right,GK,RB Salzburg,Austrian Bundesliga,21,1890,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,7.33,4.17,61.4,0.0,0.36,0.0,100.0,33.67,43.1,38.2,1.17,15.4,2.2,0.0,0.0,1.0,2.5
nicolas-capaldo-5b84e8,Nicolás Capaldo,28.0,Argentina,177.0,Right,DF-MF,RB Salzburg,Austrian Bundesliga,23,1750,76.1,4,1,0.21,0.05,0.0,0.02,0.03,0.05,0.02,0.6,0.1,16.7,16.4,1.49,0.1,0.4,34.93,80.7,2.98,0.5,4.07,1.89,1.09,0.2,28.6,31.16,1.79,55.37,8.43,0.79,33.34,2.78,1.39,1.79,4.47,1.19,66.7,0.5,0.0,1.59,,,,,,,,,,,,,,,,,,4.0
adam-daghim-a8c8f4,Adam Daghim,20.0,Denmark,181.0,,FW,RB Salzburg,Austrian Bundesliga,29,1742,60.1,2,5,0.1,0.26,0.36,0.14,0.01,0.16,0.14,1.8,0.72,40.0,17.1,2.52,0.48,0.24,17.42,63.3,0.96,0.72,2.52,7.57,4.09,0.48,21.1,25.47,2.28,42.54,20.67,4.93,26.8,1.56,1.08,2.04,2.64,0.72,37.5,0.0,0.0,1.32,,,,,,,,,,,,,,,,,,5.0
aleksa-terzic-3a6ff0,Aleksa Terzić,26.0,Serbia,185.0,Left,DF,RB Salzburg,Austrian Bundesliga,22,1631,74.1,0,5,0.17,0.28,0.17,0.02,0.19,0.2,0.02,0.5,0.34,66.7,20.4,1.51,0.17,0.84,38.19,74.7,2.36,0.5,3.53,5.38,2.19,1.01,54.5,38.36,1.68,60.39,19.18,1.01,35.83,2.19,0.67,0.84,3.7,0.34,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.5
kouakou-gadou-f8b421,Kouakou Gadou,18.0,France,,,DF,RB Salzburg,Austrian Bundesliga,21,1572,74.9,0,0,0.0,0.0,0.0,0.03,0.1,0.1,0.03,0.25,0.0,0.0,11.7,1.0,0.0,0.25,45.25,87.9,2.25,0.0,2.75,0.0,0.25,1.0,80.0,43.5,0.0,62.25,2.25,0.25,39.75,1.75,1.0,1.25,5.0,1.25,35.7,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
moussa-kounfolo-yeo-e8764c,Moussa Kounfolo Yeo,21.0,Mali,172.0,Right,MF,RB Salzburg,Austrian Bundesliga,22,1308,59.5,5,2,0.34,0.14,0.0,0.08,0.06,0.14,0.08,1.4,0.0,0.0,18.5,2.4,0.2,1.2,22.6,72.9,1.6,1.2,3.0,4.4,3.4,1.8,42.9,32.4,2.2,46.8,16.4,3.0,29.6,2.8,1.2,2.0,5.4,0.0,0.0,0.4,0.0,2.0,,,,,,,,,,,,,,,,,,6.0
