player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
beni-badibanga-15ab01,Beni Badibanga,29.0,Belgium,176.0,Left,FW-MF,Forge FC,Canadian Premier League,22,1597,72.6,4,3,0.23,0.17,0.0,0.13,0.08,0.21,0.13,2.08,0.54,26.1,26.3,2.45,0.0,1.18,21.21,65.9,1.18,0.54,1.81,4.71,1.99,1.27,58.3,23.66,1.81,43.6,18.85,1.27,27.92,0.82,1.09,1.45,4.17,0.36,13.3,0.09,0.0,1.27,,,,,,,,,,,,,,,,,,0.075
opoku-ampomah-1a3059,Opoku Ampomah,29.0,Ghana,175.0,Both,FW-MF,Forge FC,Canadian Premier League,14,727,51.9,2,2,0.25,0.25,0.0,0.13,0.05,0.18,0.13,2.88,0.9,31.3,20.6,3.78,0.0,1.26,10.8,57.7,1.44,0.72,2.16,9.0,4.14,3.42,48.7,25.2,1.8,36.18,19.44,3.96,24.84,1.62,0.72,0.54,4.86,0.54,25.0,0.18,0.0,2.88,,,,,,,,,,,,,,,,,,0.15
jordan-hamilton-fac369,Jordan Hamilton,25.0,Canada,185.0,Left,FW,Forge FC,Canadian Premier League,22,661,30.0,1,1,0.14,0.14,0.53,0.62,0.01,0.63,0.62,3.16,1.58,50.0,13.2,1.45,0.13,0.26,16.05,85.3,0.66,0.13,1.18,8.16,0.92,0.39,37.5,18.55,0.66,30.79,17.89,5.66,24.61,0.39,0.39,1.18,1.05,2.11,42.1,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,0.1
viktor-klonaridis-a98fe0,Viktor Klonaridis,33.0,Belgium,178.0,Right,FW-MF,Forge FC,Canadian Premier League,3,80,26.7,0,1,0.57,1.12,0.57,0.71,0.03,0.74,0.71,2.56,1.14,44.4,14.0,0.28,0.0,0.28,13.39,70.1,1.14,0.0,0.57,5.7,2.28,1.71,35.3,21.93,1.14,30.47,11.68,2.85,23.07,0.28,0.28,0.57,3.42,0.0,0.0,0.0,0.0,1.14,,,,,,,,,,,,,,,,,,0.1
daan-klomp-ac68dc,Daan Klomp,27.0,Netherlands,182.0,Right,DF,Cavalry FC,Canadian Premier League,27,2430,90.0,6,1,0.22,0.04,0.0,0.05,0.0,0.05,0.05,0.3,0.0,0.0,9.0,0.45,0.0,0.0,36.61,82.9,2.72,0.3,4.69,0.15,1.51,0.0,,33.73,1.06,56.27,3.03,0.3,31.31,1.66,2.12,1.51,4.69,1.97,61.9,0.45,0.15,1.36,,,,,,,,,,,,,,,,,,0.15
shamit-shome-6d3cac,Shamit Shome,28.0,Bangladesh,175.0,Right,MF,Cavalry FC,Canadian Premier League,28,2315,82.7,0,1,0.06,0.04,0.06,0.11,0.09,0.2,0.11,0.44,0.17,37.5,9.5,1.94,0.22,0.55,28.89,83.0,3.38,0.66,5.26,3.04,1.16,0.66,80.0,24.3,1.16,44.0,10.96,0.77,28.51,2.16,1.27,0.77,3.71,1.05,35.2,0.17,0.0,1.61,,,,,,,,,,,,,,,,,,0.175
jorge-guzman-157972,Jorge Guzmán,21.0,Mexico,179.0,,MF,York United,Canadian Premier League,11,941,85.5,0,5,0.0,0.48,0.0,0.06,0.11,0.17,0.06,0.5,0.37,75.0,13.6,2.98,0.25,1.37,24.83,70.4,1.99,0.87,2.73,9.19,2.98,1.12,33.3,29.92,2.23,45.56,21.85,3.1,32.77,1.24,0.5,0.87,4.22,0.62,29.4,0.25,0.0,1.86,,,,,,,,,,,,,,,,,,0.35
clement-bayiha-0f3b08,Clement Bayiha,26.0,Canada,174.0,Right,MF,York United,Canadian Premier League,4,135,33.8,0,1,0.0,0.67,0.0,0.02,0.08,0.08,0.02,0.38,0.19,50.0,24.2,2.09,0.19,1.14,26.07,75.3,1.33,0.57,2.85,7.61,3.81,2.47,46.4,28.16,3.62,46.24,22.26,2.09,33.3,2.66,0.57,0.57,5.33,0.57,30.0,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,0.1
ryan-telfer-53ccdf,Ryan Telfer,31.0,Trinidad and Tobago,180.0,Left,FW-MF,HFX Wanderers,Canadian Premier League,23,1650,71.7,4,2,0.22,0.11,0.11,0.04,0.21,0.25,0.04,0.88,0.33,37.5,15.8,2.65,0.22,1.44,27.06,65.2,1.33,0.88,1.77,9.83,4.64,1.55,48.3,33.13,1.55,51.68,20.98,3.09,34.45,1.77,0.88,0.55,4.42,1.55,51.9,0.11,0.0,0.88,,,,,,,,,,,,,,,,,,0.15
clement-bayiha-0f3b08-1,Clement Bayiha,27.0,Canada,174.0,Right,MF,HFX Wanderers,Canadian Premier League,18,1064,59.1,0,3,0.0,0.25,0.0,0.02,0.08,0.08,0.02,0.38,0.19,50.0,24.2,2.09,0.19,1.14,26.07,75.3,1.33,0.57,2.85,7.61,3.81,2.47,46.4,28.16,3.62,46.24,22.26,2.09,33.3,2.66,0.57,0.57,5.33,0.57,30.0,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,0.1
sean-rea-fe012a,Sean Rea,23.0,Canada,170.0,Both,FW-MF,HFX Wanderers,Canadian Premier League,14,730,52.1,1,0,0.12,0.0,0.0,0.04,0.05,0.1,0.04,0.6,0.24,40.0,22.3,2.54,0.24,1.33,22.59,73.0,1.21,0.72,2.42,6.4,1.93,0.97,34.8,25.49,1.57,38.42,17.03,1.33,29.36,0.6,0.24,0.85,4.11,0.0,0.0,0.24,0.0,0.72,,,,,,,,,,,,,,,,,,0.2
kadin-chung-051e3e,Kadin Chung,27.0,Canada,168.0,,DF-MF,Vancouver FC,Canadian Premier League,19,1366,71.9,0,2,0.0,0.13,0.0,0.0,0.02,0.04,0.0,0.2,0.0,0.0,21.5,1.0,0.2,0.6,39.4,80.1,2.6,0.8,2.6,3.4,1.6,1.0,62.5,31.0,0.6,60.4,14.2,0.4,35.0,2.8,1.6,0.8,5.0,1.4,41.2,0.2,0.0,0.4,,,,,,,,,,,,,,,,,,0.175
