player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
david-doudera-ce161b,David Doudera,27.0,Czech Republic,175.0,,DF-MF,Slavia Prague,Czech First League,31,2615,84.4,2,4,0.07,0.14,0.0,0.13,0.13,0.25,0.13,1.27,0.42,33.3,13.4,2.96,0.0,2.11,32.96,75.7,1.27,2.96,4.23,4.65,0.85,0.42,33.3,25.77,0.85,50.28,21.97,2.96,32.11,1.27,0.0,0.85,5.92,0.42,33.3,0.42,0.0,2.11,,,,,,,,,,,,,,,,,,3.0
oscar-dorley-5a5281,Oscar Dorley,27.0,Liberia,173.0,Left,DF-MF,Slavia Prague,Czech First League,29,2502,86.3,4,1,0.14,0.04,0.0,0.06,0.02,0.07,0.06,1.29,0.18,14.3,25.4,2.4,0.18,0.74,31.05,83.2,2.59,1.29,3.7,0.74,0.74,0.55,42.9,19.96,1.11,47.68,10.53,1.11,25.32,2.96,1.29,0.92,6.1,1.29,77.8,0.18,0.0,1.11,,,,,,,,,,,,,,,,,,10.0
tomas-holes-544bfe,Tomáš Holeš,32.0,Czech Republic,180.0,Right,DF-MF,Slavia Prague,Czech First League,28,2454,87.6,2,2,0.07,0.07,0.0,0.06,0.08,0.14,0.06,1.28,0.16,12.5,16.8,2.72,0.0,1.12,50.93,79.3,5.12,1.76,6.57,1.12,0.96,0.48,75.0,26.9,1.28,72.7,13.13,2.24,44.68,2.24,1.44,1.12,5.28,2.08,43.3,0.16,0.0,0.8,,,,,,,,,,,,,,,,,,1.8
christos-zafeiris-054d52,Christos Zafeiris,22.0,Greece,173.0,,MF,Slavia Prague,Czech First League,30,2273,75.8,5,2,0.2,0.08,0.0,0.04,0.14,0.2,0.04,0.98,0.14,14.3,17.6,2.94,0.14,1.68,24.53,73.5,3.5,1.12,4.63,3.22,0.84,0.42,30.0,18.93,0.42,43.6,15.14,1.54,23.97,1.82,0.84,0.84,3.36,0.56,21.1,0.28,0.0,2.38,,,,,,,,,,,,,,,,,,11.0
lukas-provod-0b4490,Lukáš Provod,29.0,Czech Republic,189.0,Left,FW-MF,Slavia Prague,Czech First League,32,2196,68.6,4,12,0.16,0.49,0.0,0.16,0.35,0.5,0.16,2.08,0.69,33.3,20.5,4.67,0.87,2.42,33.75,69.4,3.81,2.25,5.37,6.75,2.77,0.52,27.3,31.33,1.9,61.44,30.12,2.94,41.19,1.56,0.17,0.87,4.5,1.38,44.4,0.17,0.0,1.38,,,,,,,,,,,,,,,,,,8.0
tomas-chory-d784fd,Tomáš Chorý,30.0,Czech Republic,199.0,Right,FW,Slavia Prague,Czech First League,32,2123,66.3,14,5,0.59,0.21,0.37,0.32,0.04,0.33,0.32,3.91,1.49,38.1,13.9,1.49,0.0,0.93,13.76,58.3,1.12,0.19,0.74,5.95,1.3,0.37,66.7,15.25,0.56,34.59,17.67,6.14,25.48,0.37,0.0,0.74,2.23,4.46,52.2,0.37,0.0,2.42,,,,,,,,,,,,,,,,,,3.0
ogbu-igoh-555186,Ogbu Igoh,25.0,Nigeria,187.0,Right,DF,Slavia Prague,Czech First League,25,2026,81.0,2,1,0.09,0.04,0.0,0.07,0.07,0.18,0.07,0.74,0.0,0.0,12.9,1.48,0.0,0.37,51.64,83.8,4.06,0.74,4.8,0.0,0.74,0.0,0.0,30.25,0.74,72.66,5.16,1.48,41.31,2.21,3.69,0.74,8.48,0.74,33.3,0.37,0.0,1.84,,,,,,,,,,,,,,,,,,10.0
jan-boril-37f0a6,Jan Bořil,34.0,Czech Republic,175.0,Right,DF,Slavia Prague,Czech First League,23,2070,90.0,1,3,0.04,0.13,0.0,0.06,0.0,0.08,0.06,0.62,0.21,33.3,14.8,1.45,0.21,0.21,51.84,79.1,3.73,0.83,7.26,1.87,1.24,0.21,50.0,28.2,1.87,74.03,19.49,2.07,38.99,1.24,2.49,0.83,6.01,1.45,43.8,0.41,0.0,1.66,,,,,,,,,,,,,,,,,,0.25
el-hadji-malick-diouf-a2cfd7,El Hadji Malick Diouf,20.0,Senegal,183.0,Both,DF-MF,Slavia Prague,Czech First League,27,2050,75.9,7,2,0.31,0.09,0.0,0.04,0.09,0.12,0.04,1.0,0.07,7.1,22.7,1.57,0.36,0.86,33.07,73.0,2.14,1.43,3.36,4.64,1.57,0.86,44.4,26.14,1.71,57.64,17.86,1.21,32.14,1.29,0.57,0.93,4.79,1.43,51.3,0.07,0.0,0.93,,,,,,,,,,,,,,,,,,25.0
david-zima-1bcff0,David Zima,25.0,Czech Republic,190.0,Right,DF,Slavia Prague,Czech First League,23,1810,78.7,2,1,0.1,0.05,0.0,0.07,0.01,0.09,0.07,0.86,0.43,50.0,9.2,1.14,0.0,0.43,31.0,84.8,2.14,0.29,2.71,0.14,0.43,0.14,50.0,21.57,0.29,53.57,3.71,2.0,25.71,1.57,1.71,1.86,4.0,3.29,59.0,0.0,0.0,1.43,,,,,,,,,,,,,,,,,,6.0
