player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
walter-benitez-c1ce85,Walter Benítez,32.0,Argentina,191.0,Right,GK,PSV Eindhoven,Eredivisie,34,3015,88.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,6.0,3.57,61.9,0.0,0.34,-0.33,0.0,40.57,27.5,31.4,1.14,11.3,11.4,0.43,0.14,0.43,6.0
ryan-flamingo-2bc8ea,Ryan Flamingo,22.0,Netherlands,186.0,Right,DF-MF,PSV Eindhoven,Eredivisie,34,2939,86.4,0,2,0.29,0.06,0.29,0.18,0.06,0.23,0.18,0.73,0.29,40.0,9.4,1.17,0.0,0.44,55.79,86.8,4.4,0.29,3.67,0.44,0.44,0.15,50.0,45.81,1.03,79.58,5.14,1.76,53.0,3.08,2.2,0.88,4.55,2.2,55.6,0.0,0.15,1.03,,,,,,,,,,,,,,,,,,17.0
olivier-boscagli-49ba3f,Olivier Boscagli,28.0,France,181.0,Left,DF,PSV Eindhoven,Eredivisie,30,2562,85.4,1,6,0.04,0.21,0.0,0.03,0.0,0.03,0.03,0.86,0.17,20.0,20.7,0.52,0.0,0.0,64.31,86.3,5.52,0.17,4.31,0.17,0.86,0.0,,48.97,0.52,85.86,3.97,0.86,58.62,2.07,1.38,1.9,5.34,1.21,63.6,0.17,0.0,1.03,,,,,,,,,,,,,,,,,,20.0
luuk-de-jong-d4e441,Luuk de Jong,35.0,Netherlands,188.0,Right,FW,PSV Eindhoven,Eredivisie,31,2445,78.9,14,8,0.52,0.29,0.37,0.29,0.22,0.51,0.29,2.93,1.1,37.5,10.3,3.48,0.37,1.83,18.48,71.6,1.46,0.0,1.46,4.39,0.18,0.0,0.0,16.28,0.18,37.68,16.1,6.22,25.61,1.83,0.18,0.18,3.66,6.4,53.8,0.18,0.0,0.73,,,,,,,,,,,,,,,,,,2.5
guus-til-eae0d2,Guus Til,27.0,Netherlands,178.0,Right,MF,PSV Eindhoven,Eredivisie,32,2019,63.1,10,11,0.45,0.49,0.12,0.17,0.3,0.48,0.17,1.28,0.35,27.3,15.5,2.1,0.35,1.4,21.66,79.1,0.7,0.23,2.45,5.82,0.82,0.12,20.0,17.81,0.58,34.7,12.34,3.38,25.61,1.16,0.82,0.82,1.86,1.16,50.0,0.12,0.0,1.28,,,,,,,,,,,,,,,,,,15.0
mauro-junior-1d6b39,Mauro Júnior,26.0,Brazil,169.0,Left,DF-FW-MF,PSV Eindhoven,Eredivisie,25,2011,80.4,0,6,0.0,0.27,0.0,0.03,0.09,0.12,0.03,0.32,0.11,33.3,21.3,2.36,0.54,0.75,44.46,87.2,3.86,0.75,3.54,3.86,1.39,1.82,42.5,36.21,1.07,62.68,14.25,1.18,39.64,2.04,0.64,0.86,6.21,1.07,55.6,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,17.0
noa-lang-089c9d,Noa Lang,26.0,Netherlands,179.0,Right,FW-MF,PSV Eindhoven,Eredivisie,29,1894,65.3,11,10,0.52,0.48,0.11,0.2,0.17,0.35,0.28,2.1,0.55,26.3,20.0,4.43,0.33,1.99,29.56,71.8,1.99,2.66,6.09,9.19,5.76,1.44,35.1,34.87,3.1,54.69,30.89,3.99,36.09,1.99,0.22,1.0,4.54,0.89,57.1,0.33,0.0,1.0,,,,,,,,,,,,,,,,,,25.0
malik-tillman-26e378,Malik Tillman,23.0,United States,186.0,Right,FW-MF,PSV Eindhoven,Eredivisie,26,1915,73.7,12,2,0.56,0.09,0.3,0.21,0.06,0.27,0.21,1.72,0.61,35.3,16.3,2.72,0.1,1.11,33.9,81.8,1.92,0.71,3.03,4.44,2.22,0.81,44.4,29.76,0.91,54.08,20.28,3.63,38.04,2.83,1.01,1.31,3.94,1.31,59.1,0.3,0.0,1.11,,,,,,,,,,,,,,,,,,35.0
joey-veerman-182023,Joey Veerman,27.0,Netherlands,185.0,Right,MF,PSV Eindhoven,Eredivisie,27,1830,67.8,1,8,0.05,0.39,0.0,0.09,0.19,0.27,0.09,1.35,0.1,7.1,22.5,4.82,0.87,2.6,55.21,79.3,8.96,1.35,8.77,0.48,0.29,0.58,100.0,39.8,0.39,79.02,19.08,0.77,50.3,1.73,0.77,1.35,5.01,0.58,37.5,0.29,0.0,0.96,,,,,,,,,,,,,,,,,,27.0
ivan-perisic-0919c7,Ivan Perišić,36.0,Croatia,187.0,Both,DF-FW-MF,Hajduk Split,Croatian Football League,1,67,67.0,0,0,0.35,0.5,0.35,0.26,0.25,0.51,0.26,2.35,0.85,36.1,15.2,3.78,0.66,2.04,34.87,72.6,2.08,2.16,4.01,10.49,3.97,0.66,48.6,32.98,1.58,58.71,29.82,5.36,42.59,1.23,0.46,1.31,3.9,1.2,59.6,0.19,0.0,1.16,,,,,,,,,,,,,,,,,,1.3
richy-ledezma-54c13f,Richy Ledezma,25.0,United States,168.0,Right,DF-MF,PSV Eindhoven,Eredivisie,24,1709,71.2,1,1,0.05,0.05,0.0,0.0,0.02,0.02,0.0,0.19,0.0,0.0,31.1,1.54,0.19,0.58,54.69,86.6,4.99,1.54,5.76,4.03,1.92,0.58,50.0,35.5,0.77,71.96,14.78,0.38,44.52,1.15,1.34,0.38,3.45,0.58,37.5,0.0,0.0,0.58,,,,,,,,,,,,,,,,,,3.0
ismael-saibari-47478d,Ismael Saibari,24.0,Morocco,185.0,Right,FW-MF,PSV Eindhoven,Eredivisie,29,1782,61.4,11,11,0.56,0.56,0.42,0.45,0.13,0.58,0.45,2.62,0.73,28.0,15.3,2.51,0.21,1.15,27.63,78.3,1.99,1.26,4.19,4.92,2.51,0.94,27.3,32.23,1.88,51.17,20.41,3.98,38.2,2.93,0.1,1.26,4.08,0.84,40.0,0.21,0.0,1.88,,,,,,,,,,,,,,,,,,32.0
johan-bakayoko-e09438,Johan Bakayoko,22.0,Belgium,179.0,Both,FW-MF,PSV Eindhoven,Eredivisie,30,1579,52.6,9,1,0.51,0.06,0.26,0.18,0.08,0.25,0.18,2.37,0.7,29.6,20.5,2.81,0.35,1.23,27.86,78.9,0.62,0.7,1.93,9.4,3.69,1.85,44.7,29.53,1.67,45.97,22.32,4.66,34.98,0.97,0.18,0.35,3.16,0.35,33.3,0.09,0.0,1.14,,,,,,,,,,,,,,,,,,30.0
jerdy-schouten-103a49,Jerdy Schouten,28.0,Netherlands,185.0,Right,FW-MF,PSV Eindhoven,Eredivisie,18,1295,71.9,1,2,0.07,0.14,0.0,0.01,0.01,0.03,0.01,0.34,0.0,0.0,19.3,1.02,0.23,0.34,43.92,90.2,3.98,0.46,4.21,0.46,0.8,0.57,45.5,30.38,0.8,58.94,8.76,0.23,39.03,2.05,1.25,0.91,5.12,0.8,41.2,0.11,0.0,0.46,,,,,,,,,,,,,,,,,,22.0
matteo-dams-8f6c7f,Matteo Dams,21.0,Belgium,184.0,,DF,PSV Eindhoven,Eredivisie,15,916,61.1,0,0,0.0,0.0,0.0,0.03,0.12,0.15,0.03,0.39,0.1,25.0,17.7,2.36,0.29,0.79,61.8,85.6,4.32,0.79,4.52,6.39,1.97,0.59,85.7,42.35,1.67,81.65,20.04,1.28,54.33,2.65,1.47,1.28,5.31,1.18,52.2,0.1,0.1,0.69,,,,,,,,,,,,,,,,,,4.5
rick-karsdorp-46b88c,Rick Karsdorp,28.0,Netherlands,184.0,Right,DF-MF,PSV Eindhoven,Eredivisie,12,678,56.5,0,2,0.0,0.27,0.0,0.0,0.23,0.24,0.0,0.13,0.0,0.0,17.1,3.19,0.66,1.59,71.55,87.5,7.83,1.86,7.3,3.32,1.19,0.13,50.0,49.25,0.93,87.74,17.39,0.4,65.04,2.26,0.53,0.27,3.19,0.4,33.3,0.13,0.0,1.19,,,,,,,,,,,,,,,,,,2.5
ricardo-pepi-d0ac78,Ricardo Pepi,22.0,United States,185.0,Right,FW,PSV Eindhoven,Eredivisie,18,693,38.5,11,2,1.43,0.26,0.88,0.84,0.11,0.95,0.84,4.04,1.75,43.5,14.6,4.56,0.53,1.4,15.96,79.8,0.88,0.35,2.11,4.39,1.93,1.58,69.2,15.96,0.7,31.75,15.26,6.14,20.0,0.35,0.18,0.88,3.86,1.23,30.4,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,15.0
armando-obispo-91b7c3,Armando Obispo,26.0,Curaçao,186.0,Left,DF,PSV Eindhoven,Eredivisie,14,420,30.0,1,0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,10.8,0.34,0.34,0.0,56.46,83.8,6.84,0.0,3.08,0.0,0.34,0.0,,43.12,0.0,77.68,1.03,0.34,53.38,1.71,1.71,2.4,4.11,1.37,40.0,0.0,0.0,0.68,,,,,,,,,,,,,,,,,,3.0
sergino-dest-81e7cc,Sergiño Dest,25.0,United States,173.0,Right,DF-MF,PSV Eindhoven,Eredivisie,7,376,53.7,0,1,0.06,0.24,0.06,0.05,0.19,0.24,0.05,0.9,0.19,21.4,19.3,3.33,0.58,1.28,55.71,87.8,5.12,1.54,6.97,4.99,3.9,2.24,54.7,44.07,2.17,75.99,25.71,2.37,51.94,1.92,0.51,0.7,6.33,0.64,47.6,0.26,0.0,0.96,,,,,,,,,,,,,,,,,,18.0
