player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
dejan-drazic-f98bb6,Dejan Dražić,30,Serbia,175.0,Right,MF,Goa,Indian Super League,21,1151,54.8,1,3,0.08,0.23,0.0,0.14,0.0,0.14,0.14,1.83,0.46,25.0,15.0,1.37,0.0,0.0,23.3,67.1,2.74,1.83,5.03,4.11,1.37,0.46,25.0,21.93,0.46,44.31,19.64,1.83,31.98,3.65,0.46,0.0,5.48,0.0,0.0,0.46,0.0,0.91,,,,,,,,,,,,,,,,,,0.5
edgar-mendez-f8b5f0,Édgar Méndez,35,Spain,188.0,Right,FW-MF,Bengaluru,Indian Super League,22,1632,74.2,7,4,0.39,0.22,0.42,0.34,0.06,0.4,0.34,2.66,0.98,36.8,16.5,2.17,0.35,0.56,12.11,60.7,0.84,0.56,1.96,5.74,0.77,0.77,42.3,17.99,0.77,32.12,17.22,4.06,23.16,0.98,0.28,0.63,3.01,3.29,47.0,0.35,0.0,1.89,,,,,,,,,,,,,,,,,,0.4
ryan-williams-bdd90d,Ryan Williams,32,Australia,173.0,Right,FW-MF,Bengaluru,Indian Super League,17,1238,72.8,4,3,0.29,0.22,0.04,0.15,0.06,0.21,0.15,1.72,0.38,22.2,21.7,3.05,0.42,1.11,15.59,62.3,1.68,1.37,2.67,5.68,2.86,1.03,45.8,21.69,2.13,37.7,18.68,2.29,22.3,2.02,1.18,1.14,4.76,1.49,37.1,0.08,0.0,1.3,,,,,,,,,,,,,,,,,,0.1
jorge-pereyra-diaz-2eecf4,Jorge Pereyra Díaz,35,Argentina,178.0,Right,FW,Bengaluru,Indian Super League,13,784,60.3,2,1,0.23,0.11,0.5,0.37,0.17,0.55,0.37,1.24,0.99,80.0,8.7,2.24,0.25,1.24,10.19,53.9,1.49,0.25,1.24,6.96,0.5,0.5,40.0,17.9,0.75,29.83,11.69,3.23,23.87,0.25,0.0,0.75,1.74,1.24,20.8,0.0,0.0,1.99,,,,,,,,,,,,,,,,,,0.325
yoell-van-nieff-ce374b,Yoell van Nieff,32,Netherlands,180.0,Left,DF-MF,Mumbai City,Indian Super League,22,1853,84.2,2,3,0.1,0.15,0.0,0.03,0.04,0.08,0.03,0.89,0.0,0.0,29.1,2.22,0.0,0.78,36.62,79.7,5.1,0.33,5.88,1.11,0.33,0.78,77.8,27.63,0.78,57.71,8.32,0.33,30.52,4.11,1.55,1.66,9.1,0.67,40.0,0.11,0.0,1.55,,,,,,,,,,,,,,,,,,0.275
nikos-karelis-1efd0d,Nikos Karelis,33,Greece,178.0,Left,FW,Mumbai City,Indian Super League,18,1392,77.3,10,2,0.65,0.13,0.31,0.38,0.14,0.52,0.45,2.77,1.23,44.4,13.6,1.92,0.38,0.92,13.09,75.2,0.62,0.46,0.92,8.78,0.46,0.38,31.3,17.17,0.77,26.48,16.78,5.08,22.17,0.38,0.15,0.08,1.31,0.31,22.2,0.08,0.0,1.62,,,,,,,,,,,,,,,,,,0.45
jon-toral-77ee45,Jon Toral,30,Spain,184.0,Right,FW-MF,Mumbai City,Indian Super League,16,996,62.2,1,0,0.09,0.12,0.24,0.06,0.05,0.11,0.06,1.34,0.37,27.3,19.4,2.44,0.49,0.98,20.73,62.0,2.44,0.61,3.17,6.1,1.71,0.85,70.0,22.68,1.22,47.68,18.9,2.2,31.1,1.83,0.12,1.95,4.88,3.54,48.3,0.37,0.0,2.8,,,,,,,,,,,,,,,,,,0.55
adrian-luna-52de72,Adrián Luna,33,Uruguay,169.0,Right,FW-MF,Kerala Blasters,Indian Super League,22,1824,82.9,0,6,0.04,0.3,0.04,0.12,0.13,0.25,0.12,1.8,0.34,19.0,24.7,3.12,0.3,1.41,25.76,69.4,2.48,1.16,3.59,4.28,2.18,1.2,54.9,29.27,2.23,47.55,17.2,1.2,31.84,1.8,0.98,1.07,4.02,0.47,30.6,0.04,0.0,1.5,,,,,,,,,,,,,,,,,,0.65
jesus-jimenez-3fd95f,Jesús Jiménez,32,Spain,183.0,Right,FW-MF,Kerala Blasters,Indian Super League,18,1340,74.4,11,1,0.74,0.07,0.0,0.3,0.13,0.43,0.3,2.22,0.92,41.2,11.2,1.7,0.26,0.92,19.36,80.0,1.31,0.65,2.09,5.36,1.83,1.18,39.1,16.35,0.52,35.58,13.74,5.36,24.07,1.05,0.26,0.92,3.4,0.92,26.9,0.13,0.0,1.05,,,,,,,,,,,,,,,,,,0.6
alexandre-coeff-b0328f,Alexandre Coeff,33,France,185.0,Right,DF-MF,Kerala Blasters,Indian Super League,13,748,57.5,1,0,0.12,0.15,0.0,0.02,0.05,0.06,0.02,0.15,0.0,0.0,9.2,0.46,0.15,0.15,44.08,81.3,2.92,0.15,3.99,1.38,0.46,0.0,0.0,47.46,0.61,65.73,4.76,0.15,44.54,1.54,1.23,1.38,4.45,0.92,46.2,0.0,0.0,0.46,,,,,,,,,,,,,,,,,,0.2
