player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
jesse-lingard-4cc153,Jesse Lingard,32.0,England,174.0,Right,FW-MF,FC Seoul,K League 1,26,1961,75.4,6,3,0.28,0.14,0.0,0.1,0.07,0.17,0.1,0.98,0.2,20.0,19.3,2.44,0.2,1.07,23.01,79.5,2.63,0.68,3.22,3.71,1.07,0.59,60.0,20.87,1.17,36.18,12.87,1.56,25.64,0.39,0.49,1.07,3.8,0.1,25.0,0.1,0.0,0.78,,,,,,,,,,,,,,,,,,3.0
ki-sung-yueng-475408,Ki Sung-yueng,36.0,Korea Republic,187.0,Right,MF,FC Seoul,K League 1,20,1630,81.5,2,3,0.11,0.17,0.0,0.02,0.07,0.08,0.02,0.62,0.14,22.2,28.6,2.7,0.21,1.11,36.15,80.0,3.32,0.55,4.56,0.83,0.83,0.35,55.6,23.09,1.45,52.74,11.96,0.41,30.0,0.97,1.31,0.76,6.5,0.83,48.0,0.14,0.0,0.76,,,,,,,,,,,,,,,,,,0.45
lucas-6eec5b,Lucas,26.0,Brazil,182.0,Right,MF,FC Seoul,K League 1,12,916,76.3,2,0,0.2,0.19,0.0,0.06,0.15,0.19,0.06,1.34,0.38,28.6,23.7,1.91,0.19,1.15,14.71,74.0,0.19,0.96,1.91,7.07,2.1,1.34,50.0,20.25,0.96,33.63,14.71,1.72,24.08,1.15,0.57,0.96,3.06,0.57,33.3,0.0,0.0,1.34,,,,,,,,,,,,,,,,,,25.0
aleksandar-palocevic-3af4fc,Aleksandar Paločević,32.0,Serbia,180.0,Both,MF,FC Seoul,K League 1,21,871,41.5,1,4,0.1,0.41,0.06,0.12,0.11,0.22,0.12,1.56,0.37,24.0,22.8,3.3,0.25,1.43,29.83,70.5,3.74,0.44,6.17,2.62,2.24,0.87,66.7,28.4,1.25,50.95,14.51,1.0,30.71,1.31,1.31,1.31,6.54,0.75,38.7,0.12,0.0,0.81,,,,,,,,,,,,,,,,,,0.65
ronaldo-tavares-c24f65,Ronaldo Tavares,28.0,Portugal,192.0,Right,FW-MF,FC Seoul,K League 1,8,68,8.5,2,1,2.65,1.32,0.23,0.46,0.05,0.52,0.46,2.34,0.63,26.7,12.5,2.03,0.0,1.17,9.38,49.8,0.78,0.55,1.02,6.25,2.11,1.09,31.8,17.58,1.02,32.03,18.52,6.09,23.05,0.7,0.16,0.78,1.88,3.05,50.0,0.16,0.0,1.64,,,,,,,,,,,,,,,,,,0.1
anderson-05e55f,Anderson,27.0,Brazil,169.0,Right,FW-MF,Suwon FC,K League 1,38,3055,80.4,8,12,0.24,0.35,0.0,0.05,0.1,0.15,0.05,1.19,0.14,11.8,21.5,2.58,0.14,1.12,25.1,74.2,1.6,1.05,2.58,7.32,3.07,2.79,56.3,29.56,2.58,45.1,19.24,2.44,33.67,1.67,0.21,0.56,6.27,0.21,16.7,0.07,0.0,1.74,,,,,,,,,,,,,,,,,,3.0
lee-yong-6f08f8,Lee Yong,38.0,Korea Republic,180.0,Both,DF-MF,Suwon FC,K League 1,30,2560,85.3,1,1,0.04,0.04,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.0,29.2,0.67,0.33,0.33,26.67,66.7,2.67,0.33,1.67,4.0,1.0,0.0,0.0,23.67,0.67,52.33,12.0,0.33,24.33,2.67,1.33,0.0,4.33,0.67,40.0,0.33,0.0,2.0,,,,,,,,,,,,,,,,,,0.2
ji-dong-won-3f8bd5,Ji Dong-won,34.0,Korea Republic,189.0,Right,FW-MF,Suwon FC,K League 1,36,1879,52.2,6,3,0.29,0.14,0.4,0.16,0.1,0.26,0.16,2.22,0.71,31.8,19.0,3.33,0.4,1.01,27.17,70.2,2.12,0.61,4.24,5.35,2.93,1.92,73.1,26.46,2.32,51.01,18.08,3.23,34.44,1.01,0.81,1.31,6.36,2.73,52.9,0.2,0.0,1.52,,,,,,,,,,,,,,,,,,0.15
lee-seung-woo-af09c1,Lee Seung-woo,27.0,Korea Republic,173.0,Right,FW-MF,Suwon FC,K League 1,18,1040,57.8,10,2,0.87,0.17,0.29,0.35,0.1,0.45,0.35,3.22,0.44,13.6,19.8,3.95,0.29,0.73,21.8,73.8,2.34,0.73,3.22,6.15,2.78,1.46,66.7,21.22,1.46,40.1,18.15,2.49,29.12,1.17,0.15,1.17,4.1,0.59,30.8,0.44,0.0,2.05,,,,,,,,,,,,,,,,,,0.55
koo-ja-cheol-8af362,Koo Ja-cheol,26.0,Korea Republic,186.0,Right,MF,Jeju United FC,K League 1,3,78,26.0,0,0,0.11,0.05,0.11,0.2,0.04,0.25,0.2,1.43,0.38,26.9,17.1,2.96,0.33,1.26,27.71,79.3,2.03,0.6,3.57,2.63,1.32,0.77,63.6,26.29,1.04,47.3,11.63,1.43,30.95,1.98,1.48,1.54,6.53,1.26,40.4,0.16,0.0,1.37,,,,,,,,,,,,,,,,,,0.375
kim-moonhwan-d6da92,Kim Moonhwan,30.0,Korea Republic,173.0,Right,DF,Daejeon Citizen FC,K League 1,15,1228,81.9,0,1,0.0,0.07,0.0,0.0,0.15,0.15,0.0,0.0,0.0,,,1.75,0.0,0.75,50.25,83.1,3.5,1.25,3.25,8.25,0.5,0.5,50.0,41.5,0.5,73.25,24.5,1.25,40.0,2.25,1.0,0.75,4.0,1.5,66.7,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,0.75
victor-bobsin-53c96d,Victor Bobsin,25.0,Brazil,184.0,Left,MF,Daejeon Citizen FC,K League 1,13,1099,84.5,0,1,0.0,0.08,0.0,0.03,0.04,0.08,0.03,0.61,0.17,27.3,20.3,1.68,0.11,0.61,32.31,77.4,4.47,0.5,5.48,0.61,0.61,0.95,63.0,25.27,0.56,50.59,5.53,0.5,29.85,1.51,1.34,1.01,7.49,1.34,53.3,0.45,0.0,1.96,,,,,,,,,,,,,,,,,,0.7
peniel-mlapa-7f1227,Peniel Mlapa,34.0,Togo,193.0,,FW,Daejeon Citizen FC,K League 1,16,508,31.8,4,0,0.71,0.07,0.47,0.46,0.07,0.53,0.51,3.1,1.13,36.5,14.9,1.93,0.33,0.8,12.66,59.4,0.69,0.33,1.13,7.3,1.17,0.4,44.0,16.35,1.02,31.68,15.4,4.56,25.0,0.33,0.15,1.13,2.3,5.15,53.0,0.15,0.0,1.42,,,,,,,,,,,,,,,,,,0.25
eom-jisung-80f385,Eom Jisung,23.0,Korea Republic,174.0,Right,FW-MF,Gwangju FC,K League 1,15,1144,76.3,2,3,0.16,0.24,0.15,0.21,0.13,0.34,0.21,2.05,0.67,32.7,16.9,2.95,0.19,1.53,22.44,71.2,1.68,1.01,2.61,6.72,2.28,1.2,41.6,23.86,1.01,43.81,20.88,2.84,28.34,1.46,0.71,1.27,2.76,2.2,47.2,0.07,0.0,1.23,,,,,,,,,,,,,,,,,,1.4
jasir-asani-8c3e74,Jasir Asani,30.0,Albania,173.0,Right,FW-MF,Gwangju FC,K League 1,13,882,67.8,3,0,0.31,0.43,0.0,0.04,0.17,0.21,0.04,1.71,0.43,25.0,25.7,2.57,0.43,1.29,13.29,81.6,1.29,1.29,1.71,3.86,1.71,0.86,25.0,18.86,0.43,27.0,8.57,0.86,17.57,1.29,1.71,0.43,3.43,0.0,0.0,0.0,0.0,0.86,,,,,,,,,,,,,,,,,,1.2
joao-magno-fd0e8b,João Magno,26.0,Brazil,195.0,Left,FW,Gwangju FC,K League 1,9,205,22.8,0,0,0.27,0.09,0.27,0.26,0.07,0.33,0.26,2.29,0.73,32.0,14.8,1.74,0.37,0.82,8.97,63.2,0.55,0.55,1.1,3.75,1.28,0.27,25.0,12.27,0.82,26.55,11.17,3.66,17.03,0.46,0.18,0.82,2.66,4.39,39.0,0.18,0.0,2.38,,,,,,,,,,,,,,,,,,0.25
kim-jin-su-495363,Kim Jin-su,33.0,Korea Republic,176.0,Left,DF,Jeonbuk Hyundai,K League 1,20,1606,80.3,0,3,0.0,0.17,0.0,0.09,0.17,0.26,0.09,1.14,0.0,0.0,11.2,2.0,0.29,1.43,30.0,71.9,1.43,1.14,2.29,4.29,0.57,0.0,0.0,28.0,0.57,50.57,19.43,2.86,27.71,2.86,0.86,0.57,3.43,2.86,71.4,0.0,0.0,0.29,,,,,,,,,,,,,,,,,,0.4
kim-joonhong-741ac3,Kim Joonhong,22.0,Korea Republic,187.0,,GK,Jeonbuk Hyundai,K League 1,15,1350,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,5.25,2.88,59.5,12.5,0.38,-0.28,0.0,26.63,47.9,39.0,1.88,19.1,5.4,0.13,0.38,0.5,0.4
bismark-adjei-boateng-12d096,Bismark Adjei-Boateng,31.0,Ghana,180.0,Right,MF,Jeonbuk Hyundai,K League 1,21,1175,56.0,0,1,0.17,0.08,0.17,0.2,0.02,0.24,0.2,1.35,0.34,25.0,13.7,2.02,0.0,0.5,20.19,67.0,1.68,0.84,3.03,2.19,0.67,1.18,58.3,20.36,0.34,43.57,10.93,1.85,21.7,1.85,3.03,1.51,7.57,2.36,58.3,0.5,0.0,1.85,,,,,,,,,,,,,,,,,,0.8
lee-seung-woo-af09c1-1,Lee Seung-woo,27.0,Korea Republic,173.0,Right,FW-MF,Jeonbuk Hyundai,K League 1,12,393,32.8,2,5,0.46,1.15,0.29,0.35,0.1,0.45,0.35,3.22,0.44,13.6,19.8,3.95,0.29,0.73,21.8,73.8,2.34,0.73,3.22,6.15,2.78,1.46,66.7,21.22,1.46,40.1,18.15,2.49,29.12,1.17,0.15,1.17,4.1,0.59,30.8,0.44,0.0,2.05,,,,,,,,,,,,,,,,,,0.55
kwon-chang-hoon-b389f5,Kwon Chang-hoon,31.0,Korea Republic,174.0,Left,FW-MF,Jeonbuk Hyundai,K League 1,8,189,23.6,2,1,0.95,0.48,0.27,0.28,0.13,0.41,0.28,2.0,0.8,40.0,20.6,3.06,0.53,1.6,25.56,70.6,1.86,1.33,3.86,8.25,1.86,2.0,71.4,28.76,2.13,49.93,22.63,3.59,35.01,0.93,0.93,0.67,5.33,2.4,43.9,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,0.4
victor-bobsin-53c96d-1,Victor Bobsin,25.0,Brazil,184.0,Left,MF,Daegu,K League 1,15,1128,75.2,1,0,0.08,0.06,0.0,0.03,0.04,0.08,0.03,0.61,0.17,27.3,20.3,1.68,0.11,0.61,32.31,77.4,4.47,0.5,5.48,0.61,0.61,0.95,63.0,25.27,0.56,50.59,5.53,0.5,29.85,1.51,1.34,1.01,7.49,1.34,53.3,0.45,0.0,1.96,,,,,,,,,,,,,,,,,,0.7
stefan-mugosa-9a6594,Stefan Mugoša,33.0,Montenegro,188.0,Right,FW,Incheon United,K League 1,38,2774,73.0,15,2,0.49,0.06,0.0,0.34,0.0,0.34,0.34,1.87,1.12,60.0,12.8,1.12,0.0,0.0,8.96,53.3,0.37,0.37,0.75,5.23,1.49,0.75,50.0,15.31,1.12,24.65,11.2,2.61,16.81,0.37,0.0,0.37,2.24,0.75,18.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5
gerso-fernandes-f88031,Gerso Fernandes,34.0,Portugal,172.0,Left,FW-MF,Incheon United,K League 1,27,1855,68.7,7,3,0.34,0.15,0.33,0.34,0.29,0.61,0.34,2.52,0.55,21.7,16.1,2.96,0.66,1.21,17.32,64.5,0.66,0.77,1.64,13.48,5.59,2.74,55.6,28.17,1.86,41.88,29.49,8.0,29.05,1.64,0.44,0.77,5.37,0.22,20.0,0.22,0.0,1.1,,,,,,,,,,,,,,,,,,0.6
paul-jose-mpoku-c7f3cd,Paul-Jose M'Poku,33.0,Congo DR,180.0,Right,FW-MF,UTA Arad,Liga I,10,614,61.4,3,0,0.44,0.0,0.24,0.14,0.19,0.34,0.14,1.44,0.48,33.3,24.1,3.36,0.24,1.44,39.12,80.3,5.28,1.92,7.92,4.32,3.12,3.12,76.5,32.88,2.4,58.32,17.04,0.72,41.52,1.2,1.2,0.24,4.56,1.2,45.5,0.48,0.0,2.16,,,,,,,,,,,,,,,,,,0.45
