player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
stefan-tarnovanu-462dd8,Stefan Târnovanu,25.0,Romania,197.0,Right,GK,FCSB,Liga I,38,3420,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,4.82,3.62,72.7,33.3,0.27,0.08,,21.92,43.0,36.8,0.66,12.2,7.4,0.44,0.11,0.55,
valentin-cretu-98e24d,Valentin Crețu,36.0,Romania,176.0,Right,DF-MF,FCSB,Liga I,36,2633,73.1,1,4,0.03,0.14,0.0,0.01,0.03,0.04,0.01,0.28,0.14,50.0,19.2,1.68,0.0,0.84,33.17,76.7,0.98,1.4,2.52,3.5,2.38,0.42,37.5,26.59,2.1,56.55,14.28,0.7,28.27,2.66,0.98,1.4,5.18,0.98,50.0,0.42,0.0,0.7,,,,,,,,,,,,,,,,,,0.175
adrian-sut-817be9,Adrian Șut,26.0,Romania,186.0,Right,MF,FCSB,Liga I,30,2466,82.2,1,7,0.04,0.26,0.24,0.12,0.04,0.16,0.12,1.41,0.47,33.3,19.8,0.94,0.24,0.35,34.94,79.4,3.29,0.82,4.24,0.94,0.47,0.82,50.0,28.59,0.35,55.18,9.18,1.18,34.47,0.71,1.06,2.47,4.94,1.29,64.7,0.24,0.0,0.94,,,,,,,,,,,,,,,,,,4.5
risto-radunovic-fdffe7,Risto Radunović,33.0,Montenegro,182.0,Right,DF,FCSB,Liga I,31,2545,82.1,1,8,0.04,0.28,0.0,0.01,0.13,0.14,0.01,0.4,0.1,25.0,26.1,2.0,0.1,1.2,36.2,74.0,2.3,0.6,2.3,1.5,1.7,0.5,50.0,28.6,1.1,59.4,12.3,0.6,30.5,2.5,1.5,1.2,5.0,0.1,33.3,0.2,0.0,1.0,,,,,,,,,,,,,,,,,,1.0
joyskim-dawa-926793,Joyskim Dawa,28.0,Cameroon,194.0,Right,DF,FCSB,Liga I,27,2324,86.1,1,0,0.04,0.0,0.18,0.05,0.0,0.05,0.05,0.55,0.36,66.7,8.2,0.36,0.0,0.0,26.91,88.1,0.73,0.0,0.55,0.0,0.0,0.0,,20.36,0.0,41.09,0.91,0.55,22.55,1.64,1.45,0.55,3.45,2.0,84.6,0.18,0.0,0.91,,,,,,,,,,,,,,,,,,3.0
mihai-popescu-6f51e8,Mihai Popescu,32.0,Romania,188.0,,DF,FCSB,Liga I,25,2035,81.4,0,2,0.0,0.09,0.0,0.14,0.05,0.2,0.14,0.92,0.13,14.3,10.8,1.05,0.0,0.52,29.87,74.8,1.83,0.79,1.83,1.05,0.52,0.26,33.3,27.12,0.52,53.58,4.98,0.92,31.31,2.75,1.31,0.79,2.75,2.1,55.2,0.0,0.0,2.75,,,,,,,,,,,,,,,,,,1.0
florin-tanase-2c235f,Florin Tănase,30.0,Romania,185.0,Right,FW-MF,FCSB,Liga I,28,1916,68.4,4,2,0.19,0.09,0.0,0.1,0.17,0.28,0.1,0.58,0.12,20.0,19.0,3.26,0.47,1.74,30.12,73.8,2.09,1.4,3.72,3.6,2.33,1.74,46.9,28.02,2.09,53.6,16.74,2.56,31.05,1.28,1.28,0.81,6.63,1.16,52.6,0.12,0.0,1.86,,,,,,,,,,,,,,,,,,2.5
siyabonga-ngezana-63db5d,Siyabonga Ngezana,28.0,South Africa,185.0,,DF,FCSB,Liga I,23,1844,80.2,1,0,0.05,0.0,0.0,0.07,0.0,0.07,0.07,0.48,0.19,40.0,11.1,0.38,0.0,0.1,30.57,84.0,1.52,0.1,1.43,0.0,0.19,0.38,100.0,25.33,0.57,50.1,1.71,0.38,26.95,2.38,1.43,1.52,3.52,1.52,59.3,0.19,0.0,1.05,,,,,,,,,,,,,,,,,,3.5
daniel-birligea-9591df,Daniel Birligea,25.0,Romania,184.0,,FW,FCSB,Liga I,24,1802,75.1,14,1,0.7,0.05,0.15,0.19,0.18,0.37,0.19,2.82,0.74,26.3,14.6,2.67,0.3,1.19,12.92,65.4,1.19,0.45,1.63,6.53,2.08,0.89,30.0,18.12,0.74,36.39,16.93,5.05,24.65,0.74,0.15,1.49,2.38,2.67,40.9,0.3,0.0,2.52,,,,,,,,,,,,,,,,,,5.0
vlad-chiriches-1363d2,Vlad Chiricheș,36.0,Romania,184.0,Right,DF-MF,FCSB,Liga I,25,1728,69.1,1,0,0.05,0.2,0.0,0.02,0.1,0.14,0.02,0.82,0.0,0.0,25.0,1.63,0.2,0.82,41.63,86.8,3.67,1.02,3.47,0.41,0.82,0.2,50.0,37.14,0.61,58.98,5.71,0.41,38.57,1.84,2.24,1.63,6.53,1.22,42.9,0.41,0.0,2.04,,,,,,,,,,,,,,,,,,0.3
david-miculescu-41fc77,David Miculescu,24.0,Romania,190.0,Right,FW-MF,FCSB,Liga I,37,1883,50.9,6,1,0.29,0.05,0.31,0.13,0.05,0.18,0.13,1.93,0.92,47.4,16.3,1.53,0.2,0.51,15.88,72.6,1.32,0.31,1.43,4.48,1.53,1.02,43.5,21.18,1.12,33.8,11.1,2.95,21.89,1.73,0.92,1.02,4.17,1.22,48.0,0.41,0.0,0.92,,,,,,,,,,,,,,,,,,2.5
marius-stefanescu-a774ba,Marius Ştefănescu,27.0,Romania,178.0,Left,DF-FW-MF,FCSB,Liga I,26,1320,50.8,3,3,0.2,0.2,0.29,0.17,0.23,0.4,0.17,1.43,0.86,60.0,19.1,4.59,0.0,2.01,18.92,71.7,1.15,0.57,1.72,3.15,1.43,0.57,40.0,19.2,1.15,37.83,13.47,2.01,23.5,2.29,1.15,1.43,3.44,0.29,20.0,0.29,0.0,1.72,,,,,,,,,,,,,,,,,,1.0
juri-cisotti-3f7d67,Juri Cisotti,32.0,Italy,175.0,,MF,FCSB,Liga I,16,1260,78.8,4,4,0.29,0.29,0.18,0.11,0.0,0.13,0.11,1.25,0.72,57.1,16.8,1.25,0.18,0.36,27.38,78.9,2.15,0.0,3.04,3.76,1.43,0.36,22.2,25.77,0.36,45.98,11.81,2.51,30.6,2.86,0.72,1.25,4.47,1.43,57.1,0.18,0.0,1.61,,,,,,,,,,,,,,,,,,0.8
darius-olaru-5be2a7,Darius Olaru,27.0,Romania,178.0,Right,FW-MF,FCSB,Liga I,17,1182,69.5,8,3,0.61,0.23,0.26,0.15,0.15,0.28,0.15,2.04,1.53,75.0,20.1,5.1,0.51,1.78,30.34,74.8,4.08,0.76,4.84,4.59,1.53,0.51,16.7,32.38,0.76,52.52,17.08,1.78,35.18,1.27,1.02,1.02,6.37,1.02,44.4,0.76,0.0,3.82,,,,,,,,,,,,,,,,,,7.5
alexandru-baluta-9de3e7,Alexandru Băluță,32.0,Romania,166.0,Right,FW-MF,FCSB,Liga I,26,1164,44.8,3,2,0.23,0.15,0.24,0.22,0.05,0.24,0.22,1.22,0.73,60.0,16.3,1.22,0.0,0.98,19.81,77.9,1.71,0.24,2.45,3.18,0.73,1.71,63.6,20.79,0.24,35.71,9.29,2.2,23.48,1.71,1.22,1.22,4.16,0.24,50.0,0.49,0.0,1.71,,,,,,,,,,,,,,,,,,0.9
octavian-george-popescu-53d340,Octavian-George Popescu,22.0,Romania,180.0,Right,FW-MF,FCSB,Liga I,18,1013,56.3,4,1,0.36,0.09,0.0,0.07,0.05,0.12,0.07,1.97,0.74,37.5,28.7,2.22,0.0,1.48,24.41,69.2,1.97,0.49,2.96,4.44,1.97,0.99,21.1,31.07,1.97,48.08,19.48,1.97,31.56,2.71,0.74,1.23,6.66,0.25,20.0,0.25,0.0,1.23,,,,,,,,,,,,,,,,,,
baba-alhassan-bdd30b,Baba Alhassan,25.0,Uganda,180.0,,MF,FCSB,Liga I,29,1295,44.7,2,0,0.14,0.0,0.0,0.04,0.02,0.06,0.04,0.38,0.19,50.0,15.9,1.52,0.0,0.57,29.62,86.7,2.28,0.19,2.47,0.57,0.38,0.38,28.6,26.58,0.57,46.14,5.32,0.57,27.34,2.28,1.33,1.33,7.41,0.76,40.0,0.57,0.0,1.71,,,,,,,,,,,,,,,,,,1.0
malcolm-edjouma-51ac2f,Malcolm Edjouma,29.0,France,189.0,Right,MF,FCSB,Liga I,24,962,40.1,0,0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,1.35,0.34,25.0,19.3,1.69,0.17,1.01,30.34,75.6,1.85,0.34,3.2,1.52,1.01,0.34,22.2,24.94,0.51,53.93,8.76,1.01,30.17,2.7,1.52,0.84,6.57,3.37,66.7,0.34,0.0,3.2,,,,,,,,,,,,,,,,,,
alexandru-pantea-2887b2,Alexandru Pantea,22.0,Romania,182.0,,DF,FCSB,Liga I,8,407,50.9,0,0,0.0,0.32,0.0,0.03,0.03,0.1,0.03,1.3,0.0,0.0,26.6,1.3,0.32,0.65,36.39,73.2,4.55,0.32,2.6,0.97,0.0,0.0,,31.84,0.0,61.08,7.8,0.0,30.87,0.65,1.62,1.3,4.55,0.97,100.0,0.32,0.0,0.32,,,,,,,,,,,,,,,,,,0.65
denis-harut-be2cb1,Denis Haruț,26.0,Romania,183.0,Right,DF,FCSB,Liga I,1,90,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.49,0.0,0.49,52.54,87.8,0.97,0.0,2.92,0.0,0.49,0.0,,47.68,0.0,66.16,0.49,0.0,49.62,1.46,1.46,0.97,6.32,0.49,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.6
andrei-vlad-596d39,Andrei Vlad,26.0,Romania,190.0,Right,GK,FCSB,Liga I,1,90,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,5.75,3.5,60.9,25.0,0.35,-0.33,,19.0,23.7,31.0,0.5,14.3,6.4,0.25,0.0,0.75,
lukas-zima-958dc7,Lukáš Zima,31.0,Czech Republic,194.0,Right,GK,FCSB,Liga I,1,86,86.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,3.54,2.38,69.6,7.7,0.27,0.09,33.3,21.92,57.9,41.8,0.85,12.3,3.4,0.23,0.08,0.69,1.0
bolgado-7c028d,Bolgado,27.0,Brazil,185.0,,DF,CFR Cluj,Liga I,35,2970,84.9,3,1,0.09,0.03,0.18,0.06,0.0,0.07,0.06,0.37,0.18,50.0,16.0,0.55,0.0,0.18,29.2,82.7,1.66,0.0,2.03,0.0,0.0,0.0,,19.22,0.18,49.71,1.66,0.74,24.39,2.22,1.66,1.66,4.8,3.14,63.0,0.55,0.0,1.48,,,,,,,,,,,,,,,,,,1.8
damjan-okovic-695c39,Damjan Đoković,35.0,Croatia,188.0,Left,MF,CFR Cluj,Liga I,33,2652,80.4,2,1,0.07,0.03,0.0,0.05,0.02,0.07,0.05,1.34,0.17,12.5,26.0,0.83,0.0,0.33,25.71,68.8,2.5,0.33,4.01,2.34,0.33,0.17,33.3,18.87,0.17,44.58,9.85,1.34,27.22,0.83,0.67,0.67,4.51,3.01,72.0,0.33,0.17,1.0,,,,,,,,,,,,,,,,,,
