player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
kevin-mier-5f8357,Kevin Mier,25.0,Colombia,188.0,,GK,Cruz Azul,Liga MX,33,2970,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,3.24,2.22,70.6,32.3,0.26,-0.07,33.3,35.66,22.1,28.7,1.56,16.3,3.3,0.54,0.35,0.13,7.5
willer-ditta-3b41e6,Willer Ditta,28.0,Colombia,179.0,,DF,Cruz Azul,Liga MX,33,2940,89.1,0,1,0.0,0.03,0.0,0.02,0.04,0.06,0.02,0.38,0.09,25.0,21.2,1.5,0.13,0.47,51.52,88.4,3.51,0.44,3.51,0.34,1.0,0.44,73.7,40.58,0.81,69.19,4.01,0.44,45.09,1.47,1.28,1.32,4.92,1.63,74.3,0.25,0.0,1.0,,,,,,,,,,,,,,,,,,5.5
carlos-rotondi-35590e,Carlos Rotondi,28.0,Argentina,184.0,Left,DF-FW-MF,Cruz Azul,Liga MX,31,2515,81.1,11,7,0.39,0.25,0.2,0.16,0.18,0.34,0.22,2.13,0.67,31.5,18.7,3.71,0.51,1.74,28.33,68.6,2.37,1.97,3.12,8.68,1.74,0.87,40.0,26.59,0.99,54.29,21.9,3.24,31.01,2.92,0.43,1.54,3.55,0.91,59.0,0.16,0.0,1.34,,,,,,,,,,,,,,,,,,4.0
erik-lira-a3c9cd,Erik Lira,25.0,Mexico,172.0,Right,DF-MF,Cruz Azul,Liga MX,31,2616,84.4,1,0,0.03,0.0,0.03,0.02,0.03,0.05,0.02,0.64,0.24,36.8,26.2,2.47,0.17,0.71,50.28,89.5,4.06,0.47,5.04,0.68,0.58,0.41,57.1,38.81,0.47,64.79,5.82,0.54,43.27,2.47,0.58,1.29,6.53,0.44,39.4,0.24,0.0,1.08,,,,,,,,,,,,,,,,,,8.5
charly-rodriguez-b45654,Charly Rodríguez,28.0,Mexico,176.0,Right,MF,Cruz Azul,Liga MX,33,2584,78.3,0,7,0.11,0.24,0.11,0.07,0.23,0.3,0.07,0.96,0.41,42.3,25.8,5.82,0.55,2.8,58.81,81.6,7.29,2.98,10.09,5.93,3.02,0.88,63.2,49.35,2.21,78.29,24.82,1.03,56.67,1.14,0.63,0.88,4.9,0.15,20.0,0.26,0.0,0.96,,,,,,,,,,,,,,,,,,5.0
jorge-eduardo-sanchez-70ea44,Jorge Eduardo Sánchez,27.0,Mexico,175.0,Right,DF-MF,Cruz Azul,Liga MX,28,2293,81.9,1,1,0.04,0.04,0.0,0.05,0.1,0.15,0.05,0.87,0.22,25.0,16.7,2.67,0.13,1.49,35.17,81.1,1.84,1.18,2.27,5.81,1.97,0.66,38.5,28.09,1.22,55.22,16.78,2.71,31.11,2.45,0.66,0.92,3.54,0.87,40.8,0.09,0.0,1.05,,,,,,,,,,,,,,,,,,2.5
gonzalo-piovi-a2ca0e,Gonzalo Piovi,31.0,Argentina,180.0,Left,DF,Cruz Azul,Liga MX,27,2304,85.3,0,3,0.0,0.12,0.0,0.05,0.03,0.09,0.05,1.33,0.3,22.6,23.4,2.11,0.13,0.73,55.21,82.4,6.24,0.99,6.84,1.25,1.72,0.43,58.8,47.26,1.2,80.71,8.0,0.82,52.63,2.67,1.63,0.86,4.86,1.12,49.1,0.43,0.04,1.2,,,,,,,,,,,,,,,,,,2.5
lorenzo-faravelli-212b88,Lorenzo Faravelli,32.0,Argentina,171.0,,MF,Cruz Azul,Liga MX,30,2082,69.4,7,1,0.3,0.04,0.11,0.08,0.05,0.13,0.08,1.0,0.32,31.6,23.5,2.48,0.21,0.95,45.53,86.2,5.43,1.16,5.86,1.95,0.95,0.53,71.4,35.4,1.21,59.98,10.66,0.69,43.36,2.06,0.63,0.58,4.33,0.11,20.0,0.21,0.05,2.16,,,,,,,,,,,,,,,,,,1.8
ignacio-rivero-bc8cca,Ignacio Rivero,33.0,Uruguay,165.0,Right,DF-FW-MF,Cruz Azul,Liga MX,30,1996,66.5,10,3,0.45,0.14,0.34,0.15,0.11,0.25,0.15,2.61,1.07,40.7,20.3,2.66,0.24,1.21,28.08,71.6,2.71,1.31,3.29,6.54,1.31,0.1,11.1,27.69,1.55,50.11,18.74,2.95,32.1,2.03,0.48,1.02,3.39,0.97,40.8,0.24,0.0,1.65,,,,,,,,,,,,,,,,,,2.0
alexis-gutierrez-e09ca4,Alexis Gutiérrez,25.0,Mexico,173.0,Left,MF,Cruz Azul,Liga MX,29,1696,58.5,3,5,0.16,0.27,0.0,0.09,0.14,0.22,0.09,0.93,0.0,0.0,16.6,3.35,0.5,1.85,37.31,84.5,3.77,0.64,4.06,5.13,1.0,0.36,45.5,30.4,0.93,50.84,16.59,1.57,37.88,0.78,0.43,0.28,2.99,0.93,56.5,0.07,0.0,0.78,,,,,,,,,,,,,,,,,,4.0
angel-sepulveda-497077,Ángel Sepúlveda,34.0,Mexico,179.0,Right,FW-MF,Cruz Azul,Liga MX,31,1525,49.2,13,0,0.77,0.19,0.44,0.37,0.13,0.5,0.57,3.21,1.39,43.1,15.7,1.95,0.31,1.13,11.02,68.6,0.69,0.44,1.07,6.36,0.63,0.19,23.1,15.49,0.69,26.77,15.43,5.98,19.52,0.25,0.06,0.57,1.64,2.58,49.4,0.19,0.0,1.01,,,,,,,,,,,,,,,,,,0.7
giorgos-giakoumakis-370b4e,Giorgos Giakoumakis,30.0,Greece,185.0,Right,FW,Cruz Azul,Liga MX,26,1333,51.3,8,7,0.54,0.47,0.27,0.39,0.15,0.54,0.39,3.48,0.8,23.1,13.9,2.54,0.54,1.47,10.71,72.7,0.0,0.4,1.07,4.42,0.94,1.21,75.0,14.87,0.8,25.45,14.2,5.63,19.82,1.34,0.13,0.27,0.94,2.01,53.6,0.67,0.0,1.88,,,,,,,,,,,,,,,,,,7.0
jesus-orozco-347afd,Jesús Orozco,23.0,Mexico,189.0,Left,DF,Cruz Azul,Liga MX,14,1102,78.7,0,0,0.05,0.05,0.05,0.09,0.03,0.12,0.09,0.67,0.1,14.3,15.4,1.24,0.1,0.33,42.41,84.1,3.99,0.19,4.47,0.71,1.47,0.33,58.3,38.27,1.0,61.43,4.33,0.86,39.84,2.14,1.0,1.28,3.99,1.95,66.1,0.33,0.1,1.38,,,,,,,,,,,,,,,,,,6.0
luis-romo-329bfc,Luis Romo,30.0,Mexico,182.0,Right,DF-MF,Cruz Azul,Liga MX,16,1082,67.6,0,4,0.07,0.33,0.07,0.13,0.11,0.24,0.13,1.78,0.44,25.0,18.2,2.82,0.26,0.7,49.21,81.8,6.22,1.0,6.67,2.56,1.59,0.56,42.9,42.13,1.07,72.96,13.38,3.04,49.98,2.33,1.37,1.15,5.0,1.96,60.9,0.11,0.07,0.74,,,,,,,,,,,,,,,,,,4.0
mateusz-bogusz-24588f,Mateusz Bogusz,24.0,Poland,177.0,Right,FW-MF,Cruz Azul,Liga MX,11,722,65.6,1,2,0.12,0.25,0.14,0.29,0.16,0.45,0.29,3.22,0.93,28.9,20.4,3.51,0.29,1.36,22.97,73.5,1.79,1.93,4.22,9.16,2.36,0.57,24.2,29.48,2.22,43.57,24.9,3.86,32.84,1.72,0.07,0.93,3.0,0.21,25.0,0.29,0.0,1.65,,,,,,,,,,,,,,,,,,7.5
luka-romero-54dc0b,Luka Romero,21.0,Argentina,165.0,Left,MF,Alavés,La Liga,6,199,33.2,0,0,0.25,0.19,0.25,0.25,0.1,0.34,0.25,3.06,0.64,20.8,20.5,3.06,0.25,1.53,30.06,85.8,2.74,0.57,2.8,6.37,2.87,0.76,38.7,30.32,3.25,46.82,20.57,3.06,32.93,1.91,0.13,1.15,3.63,0.25,20.0,0.06,0.06,0.89,,,,,,,,,,,,,,,,,,3.5
gabriel-fernandez-fb2704,Gabriel Fernández,31.0,Uruguay,186.0,Right,FW,Cruz Azul,Liga MX,18,688,38.2,4,1,0.52,0.13,0.55,0.46,0.08,0.54,0.51,3.05,1.04,34.0,15.0,2.44,0.37,1.1,11.53,64.7,1.34,0.67,1.46,4.76,1.59,0.98,55.2,16.17,1.22,29.96,14.83,4.45,21.78,0.92,0.12,0.49,1.65,2.99,57.6,0.06,0.0,1.34,,,,,,,,,,,,,,,,,,2.0
andres-montano-185792,Andres Montaño,23.0,Mexico,175.0,Left,MF,Cruz Azul,Liga MX,22,636,28.9,2,1,0.28,0.14,0.28,0.04,0.07,0.11,0.04,1.13,0.71,62.5,24.4,3.54,0.85,1.7,35.24,72.8,4.81,1.42,5.66,4.81,1.13,0.99,53.8,31.27,1.42,57.17,19.1,0.85,39.48,1.84,0.71,0.71,4.1,0.71,62.5,0.14,0.0,1.42,,,,,,,,,,,,,,,,,,2.5
