player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
julio-joao-ortiz-f5865a,Julio Joao Ortíz,29.0,Ecuador,177.0,,MF,Independiente,Liga Profesional Ecuador,27,2293,84.9,1,3,0.04,0.12,0.0,0.02,0.06,0.08,0.02,0.49,0.0,0.0,25.9,1.38,0.08,0.57,43.62,89.3,3.82,0.49,3.74,1.22,0.57,0.49,60.0,34.26,0.49,56.47,7.49,0.16,40.36,2.03,0.73,0.49,5.37,0.65,66.7,0.33,0.0,1.3,,,,,,,,,,,,,,,,,,1.8
renato-ibarra-4d0f62,Renato Ibarra,34.0,Ecuador,180.0,Right,FW-MF,Independiente,Liga Profesional Ecuador,26,1732,66.6,6,2,0.31,0.1,0.0,0.14,0.14,0.27,0.14,2.74,1.37,50.0,19.0,4.65,0.0,3.01,31.73,78.4,2.19,1.37,2.46,8.21,4.38,2.19,42.1,33.65,3.01,52.8,31.46,3.56,39.94,1.64,0.82,1.09,2.19,0.27,25.0,0.27,0.0,1.09,,,,,,,,,,,,,,,,,,0.3
cristian-zabala-d64829,Cristian Zabala,27.0,Argentina,176.0,Right,MF,Independiente,Liga Profesional Ecuador,28,1851,66.1,4,0,0.19,0.26,0.0,0.03,0.1,0.1,0.03,0.78,0.0,0.0,22.9,2.6,0.26,1.3,53.84,84.5,7.28,1.3,6.5,2.86,2.08,0.26,25.0,42.92,0.52,71.01,16.13,0.52,56.97,2.34,0.52,0.52,4.42,0.78,60.0,0.26,0.0,1.56,,,,,,,,,,,,,,,,,,0.125
mateo-carabajal-2ded9b,Mateo Carabajal,28.0,Argentina,180.0,,DF,Independiente,Liga Profesional Ecuador,20,1631,81.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.45,0.0,0.0,49.9,90.3,1.78,0.0,2.01,0.0,0.22,0.22,33.3,34.53,0.22,66.83,0.67,0.22,42.33,1.56,0.67,0.67,4.68,3.56,57.1,0.0,0.22,0.45,,,,,,,,,,,,,,,,,,1.0
yaimar-medina-e5f82e,Yaimar Medina,21.0,Ecuador,178.0,,DF,Genk,Belgian Pro League,0,0,71.2,0,0,0.33,0.0,0.33,0.07,0.0,0.07,0.07,1.0,0.67,66.7,27.7,1.67,0.33,0.0,35.33,77.4,3.33,1.0,4.0,6.33,3.33,0.0,0.0,35.33,2.0,57.33,12.33,0.33,39.33,0.67,2.33,1.33,4.0,1.67,55.6,0.0,0.0,1.67,,,,,,,,,,,,,,,,,,3.5
matias-fernandez-cordero-a73833,Matías Fernández Cordero,30.0,Chile,170.0,,DF-MF,Independiente,Liga Profesional Ecuador,21,1555,74.0,0,6,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.44,0.0,0.44,46.75,73.3,5.68,0.87,6.99,6.99,2.62,0.44,50.0,33.2,1.31,72.52,15.29,0.0,48.5,0.44,2.18,0.87,3.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5
moises-ramirez-02b98f,Moisés Ramírez,25.0,Ecuador,188.0,,GK,Independiente,Liga Profesional Ecuador,17,1530,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.2,0.8,36.4,20.0,0.5,-0.3,,24.4,21.3,28.5,1.2,16.4,2.1,0.4,0.2,0.4,
richard-schunke-554b27,Richard Schunke,34.0,Argentina,185.0,,DF,Independiente,Liga Profesional Ecuador,22,1615,73.4,0,0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.87,0.0,0.0,12.3,1.31,0.0,0.44,55.92,87.1,4.81,0.44,3.06,0.0,0.44,0.0,0.0,50.24,0.44,77.33,1.75,0.87,57.67,3.06,1.75,2.18,1.31,1.31,42.9,0.44,0.0,1.31,,,,,,,,,,,,,,,,,,0.5
keny-arroyo-3bae6e,Keny Arroyo,19.0,Ecuador,176.0,,MF,Independiente,Liga Profesional Ecuador,28,1530,54.6,3,8,0.18,0.47,0.29,0.29,0.16,0.47,0.29,2.65,1.62,61.1,18.9,3.53,0.44,1.62,21.62,78.2,0.88,0.74,2.21,11.47,3.68,1.47,38.5,27.5,1.32,40.88,26.03,3.68,31.18,0.88,0.59,0.74,2.65,0.59,22.2,0.59,0.0,0.88,,,,,,,,,,,,,,,,,,7.0
kendry-paez-0ab769,Kendry Páez,18.0,Ecuador,177.0,Left,MF,Independiente,Liga Profesional Ecuador,25,1449,58.0,7,3,0.43,0.19,0.0,0.16,0.16,0.33,0.16,1.64,0.41,25.0,21.2,3.29,0.0,1.64,38.22,79.5,2.88,1.23,5.34,7.81,1.23,0.82,50.0,24.66,1.23,57.12,16.03,0.82,43.15,1.23,0.82,2.05,6.58,0.0,0.0,0.41,0.0,0.41,,,,,,,,,,,,,,,,,,10.0
