player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
yvon-mvogo-a1be0c,Yvon Mvogo,31.0,Switzerland,186.0,Right,GK,Lorient,Ligue 2,33,2970,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,3.55,1.91,59.0,0.0,0.32,-0.24,0.0,32.18,24.3,30.6,0.55,12.6,7.1,0.18,0.45,0.36,3.0
laurent-abergel-285a21,Laurent Abergel,32.0,France,170.0,Right,DF-MF,Lorient,Ligue 2,32,2851,89.1,1,7,0.03,0.22,0.08,0.05,0.05,0.1,0.05,0.96,0.24,25.0,23.2,2.4,0.08,0.72,54.43,87.4,6.55,0.56,5.68,0.96,1.12,0.32,36.4,44.76,1.04,69.46,10.23,0.64,51.87,1.68,0.8,0.4,4.48,0.72,60.0,0.32,0.0,1.2,,,,,,,,,,,,,,,,,,2.5
darlin-yongwa-4843ef,Darlin Yongwa,25.0,Cameroon,177.0,Left,DF-MF,Lorient,Ligue 2,33,2837,86.0,1,6,0.03,0.19,0.0,0.03,0.13,0.16,0.03,0.73,0.0,0.0,20.3,1.76,0.0,0.73,42.07,77.6,5.86,1.32,5.72,2.93,3.22,0.88,42.9,38.55,1.76,67.43,12.9,1.76,42.51,1.76,1.32,1.03,4.1,1.17,50.0,0.29,0.15,1.03,,,,,,,,,,,,,,,,,,3.0
montassar-talbi-124614,Montassar Talbi,27.0,Tunisia,190.0,Right,DF,Lorient,Ligue 2,30,2649,88.3,1,1,0.03,0.03,0.0,0.01,0.01,0.02,0.01,0.36,0.0,0.0,13.7,0.57,0.07,0.21,42.86,89.0,2.21,0.07,2.29,0.5,0.86,0.14,100.0,36.07,0.36,57.86,2.21,0.86,38.57,0.86,0.79,1.21,2.71,2.07,60.4,0.07,0.0,0.07,,,,,,,,,,,,,,,,,,6.0
arthur-avom-a2eaf8,Arthur Avom,20.0,Cameroon,185.0,Right,MF,Lorient,Ligue 2,32,2418,75.6,2,4,0.07,0.15,0.0,0.05,0.13,0.17,0.05,0.99,0.08,8.3,24.2,3.89,0.08,1.49,44.59,82.3,4.72,1.57,5.96,2.23,2.23,1.24,53.6,39.54,1.24,64.69,16.46,1.82,42.19,2.48,1.74,0.99,5.29,0.33,30.8,0.25,0.0,0.99,,,,,,,,,,,,,,,,,,7.0
julien-ponceau-234298,Julien Ponceau,25.0,France,170.0,Right,MF,Lorient,Ligue 2,30,2084,69.5,3,5,0.13,0.22,0.12,0.13,0.11,0.24,0.13,1.32,0.52,39.4,19.9,3.33,0.32,1.4,40.67,84.5,3.37,1.2,6.18,6.1,4.25,1.68,49.4,45.68,3.73,59.0,20.01,2.09,42.43,1.28,0.76,0.88,5.82,0.4,26.3,0.2,0.0,1.2,,,,,,,,,,,,,,,,,,3.0
eli-junior-kroupi-98819e,Eli Junior Kroupi,19.0,France,179.0,,FW,Lorient,Ligue 2,30,1918,63.9,22,2,1.03,0.09,0.42,0.29,0.15,0.44,0.29,1.83,1.0,54.5,13.7,1.66,0.25,0.91,17.93,77.4,0.83,0.58,1.0,5.23,0.83,1.0,60.0,21.84,1.08,31.3,14.45,4.23,20.59,0.58,0.83,0.5,2.91,0.66,27.6,0.08,0.0,1.33,,,,,,,,,,,,,,,,,,15.0
igor-carioca-7f4a8b,Igor Carioca,29.0,Brazil,173.0,Right,DF,Lorient,Ligue 2,25,1866,74.6,0,1,0.15,0.05,0.15,0.03,0.05,0.08,0.03,0.77,0.15,20.0,27.6,1.69,0.0,0.92,42.77,84.5,1.54,0.77,3.54,2.62,1.69,0.15,33.3,34.77,2.0,60.0,14.62,0.62,36.62,1.08,1.38,0.62,3.69,0.92,60.0,0.15,0.0,0.62,,,,,,,,,,,,,,,,,,
pablo-pagis-23a029,Pablo Pagis,22.0,France,181.0,Left,MF,Lorient,Ligue 2,26,1601,61.6,4,3,0.22,0.17,0.47,0.21,0.09,0.3,0.33,2.21,1.11,50.0,19.1,3.16,0.79,1.27,24.36,69.1,3.16,0.63,2.69,5.85,2.06,1.27,44.4,28.79,1.42,48.4,18.19,3.48,31.95,0.47,1.27,1.42,4.43,0.79,29.4,0.16,0.0,1.58,,,,,,,,,,,,,,,,,,4.0
julien-laporte-5a4922,Julien Laporte,32.0,France,185.0,Right,DF,Lorient,Ligue 2,21,1801,85.8,2,0,0.1,0.0,0.0,0.04,0.0,0.04,0.04,0.64,0.05,7.7,12.3,0.4,0.0,0.05,43.71,86.3,3.27,0.35,2.77,0.15,0.25,0.05,50.0,43.37,0.15,61.09,1.58,0.79,40.54,1.14,0.54,1.78,3.61,1.88,52.8,0.2,0.0,0.99,,,,,,,,,,,,,,,,,,1.0
