player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
kai-wagner-f67745,Kai Wagner,28,Germany,182.0,Left,DF-MF,Philadelphia Union,MLS,32,2769,86.5,2,10,0.07,0.33,0.07,0.02,0.36,0.38,0.02,0.55,0.16,29.4,25.9,4.97,0.49,3.02,46.02,68.1,4.49,1.82,5.1,4.55,1.56,0.65,60.6,32.76,1.3,78.2,24.73,0.65,36.34,2.99,1.37,1.56,5.36,1.5,65.7,0.16,0.0,1.2,,,,,,,,,,,,,,,,,,5.0
jakob-glesnes-303ad7,Jakob Glesnes,31,Norway,187.0,Right,DF,Philadelphia Union,MLS,31,2624,84.6,1,1,0.03,0.03,0.03,0.03,0.04,0.07,0.03,0.75,0.1,13.6,24.9,1.1,0.1,0.31,33.1,79.7,2.61,0.27,3.64,0.1,0.62,0.07,50.0,24.8,0.34,54.43,2.71,0.72,26.86,1.71,1.89,1.41,3.77,2.16,63.6,0.34,0.0,1.47,,,,,,,,,,,,,,,,,,3.5
jovan-lukic-64ae7e,Jovan Lukić,23,Serbia,177.0,,MF,Philadelphia Union,MLS,32,2617,81.8,2,2,0.07,0.07,0.07,0.08,0.06,0.13,0.08,1.69,0.34,20.4,23.7,2.72,0.17,0.83,39.89,83.1,5.26,0.76,5.88,1.1,1.13,0.69,50.0,31.12,1.2,59.81,13.48,0.79,37.07,2.79,1.48,1.34,6.71,0.96,62.2,0.31,0.03,1.44,,,,,,,,,,,,,,,,,,1.0
danley-jean-jacques-30b3ce,Danley Jean-Jacques,25,Haiti,182.0,Right,MF,Philadelphia Union,MLS,31,2358,76.1,3,3,0.11,0.11,0.11,0.18,0.08,0.26,0.18,1.53,0.5,32.5,20.7,2.33,0.34,1.07,36.53,82.6,5.08,0.5,5.08,1.56,1.18,0.73,65.5,29.77,1.15,54.27,10.53,1.3,34.47,1.79,1.6,1.03,4.92,0.38,41.7,0.23,0.0,1.83,,,,,,,,,,,,,,,,,,2.0
quinn-sullivan-274d50,Quinn Sullivan,21,United States,180.0,Right,FW-MF,Philadelphia Union,MLS,28,1955,69.8,2,7,0.09,0.32,0.09,0.14,0.28,0.41,0.17,2.58,0.78,30.4,21.9,4.56,0.55,2.03,26.65,66.9,2.58,1.61,4.33,7.78,3.82,1.47,48.5,29.79,2.58,52.02,27.58,4.65,35.49,1.61,0.32,1.15,4.33,0.64,45.2,0.14,0.0,0.87,,,,,,,,,,,,,,,,,,5.0
olwethu-makhanya-ffbeac,Olwethu Makhanya,21,South Africa,188.0,Right,DF,Philadelphia Union,MLS,29,2147,74.0,1,0,0.04,0.0,0.04,0.1,0.0,0.1,0.1,0.71,0.13,17.6,9.0,1.09,0.04,0.04,36.18,81.0,3.48,0.0,3.94,0.08,0.84,0.5,85.7,29.97,0.67,57.72,3.52,1.01,30.64,1.93,1.17,1.17,5.62,2.26,70.1,0.38,0.08,1.09,,,,,,,,,,,,,,,,,,1.0
nathan-harriel-1d47d8,Nathan Harriel,24,United States,178.0,Right,DF,Philadelphia Union,MLS,25,2099,84.0,2,0,0.09,0.0,0.09,0.08,0.03,0.1,0.08,0.56,0.17,30.8,12.0,1.16,0.0,0.47,31.6,76.1,2.96,0.39,3.0,2.1,0.56,0.3,41.2,24.91,0.64,56.21,9.9,1.29,27.31,1.67,2.62,1.54,3.99,2.36,63.2,0.3,0.0,1.16,,,,,,,,,,,,,,,,,,1.2
bruno-damiani-64870f,Bruno Damiani,23,Uruguay,185.0,,FW,Philadelphia Union,MLS,33,2030,61.5,7,1,0.31,0.04,0.27,0.42,0.08,0.5,0.53,3.15,1.37,43.7,13.0,2.7,0.18,1.37,19.15,69.3,1.37,0.53,2.08,4.74,0.44,0.31,26.9,22.21,0.62,43.0,20.35,5.19,31.48,1.2,0.71,1.37,3.24,4.92,47.6,0.27,0.0,2.97,,,,,,,,,,,,,,,,,,2.5
indiana-vassilev-375f02,Indiana Vassilev,24,United States,175.0,Left,FW-MF,Philadelphia Union,MLS,31,1964,63.4,5,2,0.23,0.09,0.23,0.14,0.11,0.25,0.14,1.56,0.55,35.3,19.0,3.16,0.27,1.01,24.38,76.3,2.93,1.01,3.44,5.09,2.15,0.87,41.3,24.97,1.97,39.96,17.37,2.2,28.46,1.05,0.69,0.64,4.81,0.46,47.6,0.09,0.0,0.87,,,,,,,,,,,,,,,,,,2.0
andre-blake-6d54cc,Andre Blake,35,Jamaica,185.0,Right,GK,Philadelphia Union,MLS,21,1827,87.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,3.15,2.32,76.2,40.0,0.31,0.22,0.0,21.58,36.8,33.3,1.43,18.1,4.2,0.64,0.1,0.3,0.5
