player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
ibrahim-cisse-295642,Ibrahim Cissé,29.0,Senegal,185.0,Right,DF,Ferencváros,NB I,31,2675,86.3,1,2,0.03,0.07,0.0,0.0,0.01,0.01,0.0,0.0,0.0,,,1.02,0.2,0.3,37.89,88.8,2.64,0.1,3.35,0.1,0.61,0.1,100.0,33.12,0.61,51.3,2.95,0.3,33.62,1.73,1.02,1.32,3.56,1.63,61.5,0.2,0.0,0.81,,,,,,,,,,,,,,,,,,3.0
stefan-gartenmann-13dd98,Stefan Gartenmann,28.0,Switzerland,185.0,Right,DF,Ferencváros,NB I,28,2463,88.0,3,0,0.11,0.0,0.0,0.03,0.01,0.05,0.03,0.38,0.0,0.0,6.9,1.54,0.13,0.51,41.22,79.1,2.56,0.64,3.07,0.26,0.13,0.26,66.7,33.16,0.38,66.57,3.84,0.38,35.08,1.66,2.43,1.41,3.84,2.56,74.1,0.13,0.0,0.51,,,,,,,,,,,,,,,,,,1.7
denes-dibusz-e83d32,Dénes Dibusz,35.0,Hungary,188.0,Right,GK,Ferencváros,NB I,27,2430,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,4.41,2.83,64.0,16.7,0.26,-0.39,0.0,26.12,42.8,35.6,0.94,16.9,3.0,0.47,0.31,0.31,2.0
cebrails-makreckis-b55454,Cebrails Makreckis,25.0,Latvia,180.0,,DF-MF,Ferencváros,NB I,27,2255,83.5,1,5,0.04,0.2,0.0,0.07,0.01,0.08,0.07,0.24,0.24,100.0,23.6,1.45,0.36,0.48,31.37,79.0,1.45,0.73,2.66,2.3,1.82,1.33,64.7,27.74,1.09,48.33,12.11,0.97,27.38,1.09,0.73,0.73,4.12,0.61,100.0,0.36,0.12,1.33,,,,,,,,,,,,,,,,,,1.0
barnabas-varga-da1120,Barnabás Varga,31.0,Hungary,184.0,,FW,Ferencváros,NB I,29,2014,69.4,12,2,0.54,0.09,0.43,0.16,0.1,0.26,0.51,1.01,0.72,71.4,13.6,2.32,0.29,1.01,16.96,59.1,2.61,0.43,3.77,5.22,0.87,0.72,55.6,18.41,0.72,37.1,15.07,3.48,27.68,0.58,0.72,0.43,2.75,8.55,57.3,0.43,0.0,1.88,,,,,,,,,,,,,,,,,,2.5
habib-maiga-2b668c,Habib Maïga,29.0,Côte d'Ivoire,181.0,Right,MF,Ferencváros,NB I,26,1648,63.4,2,1,0.11,0.05,0.0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.82,0.0,0.62,23.58,83.9,1.64,0.0,2.05,0.62,0.0,0.41,50.0,19.68,0.0,38.95,4.31,0.0,19.27,2.46,1.85,2.05,5.33,0.21,25.0,0.0,0.0,1.64,,,,,,,,,,,,,,,,,,2.5
eldar-civic-586515,Eldar Ćivić,29.0,Bosnia and Herzegovina,180.0,Left,DF-MF,Ferencváros,NB I,20,1302,65.1,0,6,0.0,0.41,0.0,0.04,0.04,0.06,0.04,0.59,0.0,0.0,23.5,1.95,0.2,0.39,30.85,70.2,3.9,0.78,4.49,3.71,1.37,0.78,36.4,24.4,0.2,57.59,14.45,0.98,25.97,3.12,0.78,2.54,5.27,1.95,43.5,0.39,0.0,1.56,,,,,,,,,,,,,,,,,,0.75
adama-traore-81ddf1,Adama Traoré,30.0,Mali,185.0,Left,FW-MF,Ferencváros,NB I,26,1492,57.4,3,1,0.18,0.06,0.26,0.22,0.17,0.39,0.22,2.6,0.91,35.0,17.1,2.21,0.39,1.04,20.81,78.0,0.65,1.04,1.3,9.23,4.16,0.65,31.3,25.62,1.56,38.89,18.6,3.51,26.27,1.3,0.52,1.04,3.77,0.52,33.3,0.13,0.0,0.78,,,,,,,,,,,,,,,,,,9.0
alex-toth-0d2c33,Alex Tóth,20.0,Hungary,177.0,,MF,Ferencváros,NB I,17,1326,78.0,2,8,0.14,0.54,0.0,0.04,0.25,0.29,0.04,0.72,0.0,0.0,29.2,2.89,0.36,1.08,30.72,81.7,2.89,1.08,5.78,2.53,0.36,0.72,40.0,29.64,1.81,48.43,14.1,0.72,33.25,1.45,1.08,1.81,2.89,1.81,50.0,0.0,0.0,2.17,,,,,,,,,,,,,,,,,,5.0
mohammad-abu-fani-9dcf4e,Mohammad Abu Fani,27.0,Israel,164.0,Right,MF,Ferencváros,NB I,26,1452,55.8,2,5,0.12,0.31,0.11,0.05,0.2,0.25,0.05,1.2,0.44,36.4,24.3,3.28,0.33,1.64,41.45,75.8,4.48,1.42,6.56,2.19,1.97,1.2,50.0,43.52,1.42,66.49,18.48,1.2,44.29,1.86,0.55,1.64,7.65,0.22,22.2,0.22,0.0,1.53,,,,,,,,,,,,,,,,,,3.5
kristoffer-zachariassen-0c4b32,Kristoffer Zachariassen,31.0,Norway,180.0,Right,MF,Ferencváros,NB I,26,1148,44.2,0,1,0.41,0.08,0.41,0.24,0.2,0.45,0.24,2.04,0.41,20.0,14.4,3.67,0.41,1.22,21.58,77.9,1.22,0.81,3.26,4.07,0.81,0.41,25.0,17.92,1.22,40.32,17.92,4.48,18.33,1.63,0.41,1.63,2.85,2.85,58.3,0.81,0.0,2.44,,,,,,,,,,,,,,,,,,3.0
cristian-ramirez-dee519,Cristian Ramírez,31.0,Ecuador,171.0,Left,DF,Ferencváros,NB I,21,1227,58.4,0,1,0.0,0.07,0.0,0.02,0.05,0.07,0.02,0.72,0.36,50.0,27.3,1.27,0.36,0.18,40.02,78.6,2.17,0.18,3.62,0.54,1.63,0.18,50.0,31.15,1.27,58.67,12.68,0.18,34.04,1.63,0.72,0.54,3.8,0.72,80.0,0.18,0.0,1.45,,,,,,,,,,,,,,,,,,2.5
