player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
myles-kenlock-1920af,Myles Kenlock,29.0,England,179.0,Right,DF-MF,Barnet,National League,42,3609,85.9,1,1,0.02,0.02,0.0,0.01,0.03,0.04,0.01,0.22,0.0,0.0,20.9,1.0,0.22,0.5,33.74,65.9,2.77,0.72,3.65,1.49,1.83,1.44,59.1,28.38,1.0,62.4,11.84,0.44,28.93,1.99,1.22,0.89,7.91,1.94,44.3,0.17,0.0,1.05,,,,,,,,,,,,,,,,,,
daniel-batty-b9dba6,Daniel Batty,27.0,England,178.0,Right,MF,York City,National League,41,2814,68.6,0,5,0.05,0.16,0.05,0.04,0.04,0.09,0.04,0.85,0.21,25.0,24.6,1.87,0.05,0.96,30.64,70.0,5.18,0.69,5.02,1.28,0.96,1.17,81.5,29.47,0.59,55.04,9.5,0.8,34.0,2.99,1.55,1.17,7.21,0.75,32.6,0.11,0.0,0.91,,,,,,,,,,,,,,,,,,
christian-doidge-ea4e0b,Christian Doidge,33.0,Wales,188.0,Right,FW,FG Rovers,National League,41,1881,45.9,12,4,0.57,0.19,0.1,0.14,0.05,0.19,0.14,1.77,0.42,23.5,13.5,2.19,0.1,0.84,9.92,49.7,1.25,0.21,1.36,4.18,0.94,0.31,50.0,12.32,0.63,30.7,17.85,3.97,23.81,0.31,0.1,0.52,1.88,8.14,44.6,0.0,0.0,1.77,,,,,,,,,,,,,,,,,,
brandon-fleming-b1edb7,Brandon Fleming,26.0,England,179.0,Left,DF-MF,Doncaster,EFL League Two,17,1006,59.2,0,0,0.0,0.2,0.0,0.03,0.14,0.16,0.03,0.48,0.07,14.3,21.1,2.52,0.2,1.3,34.59,69.0,2.66,0.48,3.82,2.52,2.73,1.91,62.2,30.09,1.84,64.48,17.6,1.09,31.73,3.62,1.98,1.36,5.94,1.43,40.4,0.2,0.0,0.89,,,,,,,,,,,,,,,,,,0.225
matt-penney-0c679c,Matt Penney,27.0,England,173.0,Right,DF-MF,Rochdale,National League,1,31,31.0,0,0,0.0,0.0,0.0,0.05,0.15,0.2,0.05,0.64,0.32,50.0,21.6,1.69,0.11,0.74,24.04,61.2,1.8,0.53,2.01,3.07,1.69,0.95,50.0,24.25,0.74,50.51,13.02,0.85,23.93,2.01,1.69,1.38,5.19,0.95,36.0,0.21,0.0,1.38,,,,,,,,,,,,,,,,,,
sam-clucas-c2a73f,Sam Clucas,35.0,England,178.0,Left,MF,Lincoln City,EFL League One,8,233,29.1,1,0,0.39,0.1,0.05,0.02,0.11,0.13,0.02,0.81,0.24,29.4,25.4,2.35,0.29,1.15,25.28,68.7,2.11,0.38,2.15,1.2,0.77,0.62,68.4,17.57,0.86,45.91,12.49,0.72,21.21,1.77,1.34,1.34,4.84,1.05,55.0,0.24,0.0,0.67,,,,,,,,,,,,,,,,,,0.075
kian-harratt-1cd723,Kian Harratt,23.0,England,179.0,,FW,Huddersfield,EFL League One,2,14,7.0,0,0,0.18,0.18,0.18,0.34,0.05,0.4,0.34,1.81,0.36,20.0,11.8,1.63,0.36,1.09,15.42,68.5,2.18,0.18,2.36,5.63,0.91,0.0,0.0,15.42,0.54,31.75,15.06,3.45,24.31,0.54,0.0,0.54,3.08,4.54,47.2,0.0,0.0,0.54,,,,,,,,,,,,,,,,,,0.05
joe-garner-66b8dc,Joe Garner,37.0,England,178.0,Right,FW-MF,Oldham Athletic,National League,14,460,32.9,2,0,0.39,0.31,0.2,0.23,0.09,0.33,0.23,1.83,0.92,50.0,12.9,2.24,0.41,1.02,9.28,50.0,1.43,0.41,1.83,4.59,0.61,0.1,12.5,13.66,0.31,29.25,15.39,4.59,23.54,0.92,0.1,0.92,0.82,8.66,42.9,0.51,0.1,2.85,,,,,,,,,,,,,,,,,,0.025
corry-evans-8a1aa0,Corry Evans,35.0,Northern Ireland,180.0,Right,DF-MF,Bradford City,EFL League Two,6,109,18.2,0,0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.84,0.25,29.4,25.1,1.19,0.05,0.15,34.13,80.4,2.92,0.45,3.42,0.54,0.3,0.25,71.4,23.08,0.3,50.97,5.89,0.5,28.28,2.33,1.59,1.14,7.38,0.74,46.9,0.35,0.0,1.34,,,,,,,,,,,,,,,,,,0.075
scott-high-6fec25,Scott High,24.0,Scotland,177.0,,MF,Dundalk FC,League of Ireland Premier Division,14,1235,88.2,1,0,0.07,0.0,0.0,0.02,0.04,0.07,0.02,0.62,0.21,33.3,21.3,1.14,0.0,0.62,24.15,74.3,2.27,0.93,3.51,2.48,1.14,0.52,62.5,20.44,1.03,39.63,10.63,0.62,25.29,1.75,0.72,0.52,4.54,0.72,46.7,0.1,0.0,1.14,,,,,,,,,,,,,,,,,,0.25
