player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
jean-a8fe0f,Jean,31.0,Brazil,188.0,Left,GK,Cerro Porteño,Paraguayan Primera División,38,3420,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,3.67,2.83,81.8,33.3,0.24,0.22,0.0,18.83,57.5,43.5,0.5,13.8,5.2,0.17,0.5,0.33,10.0
francisco-da-costa-1b4ee5,Francisco da Costa,30.0,Brazil,185.0,,FW,Bolívar,Bolivian Primera División,10,772,77.2,7,5,0.82,0.58,0.44,0.36,0.06,0.41,0.36,1.96,0.73,37.0,15.3,1.6,0.22,0.73,11.85,68.8,0.51,0.51,1.31,3.34,0.65,0.36,26.3,12.94,0.29,25.52,13.52,3.63,18.1,0.15,0.07,0.44,1.82,1.31,38.3,0.22,0.0,1.09,,,,,,,,,,,,,,,,,,1.2
fernando-fernandez-efd6cb,Fernando Fernández,33.0,Paraguay,180.0,,FW,Cerro Porteño,Paraguayan Primera División,33,1544,46.8,11,0,0.64,0.0,0.21,0.17,0.02,0.19,0.17,1.91,0.21,11.1,20.9,2.12,0.42,0.42,12.74,71.4,1.49,0.85,4.03,2.33,0.85,0.64,75.0,13.37,0.64,23.56,11.04,1.7,14.43,0.85,0.21,0.0,4.03,0.21,6.3,0.0,0.0,0.21,,,,,,,,,,,,,,,,,,0.35
ronaldo-dejesus-0306f5,Ronaldo Dejesús,24.0,Paraguay,192.0,,DF,Lanús,Argentine Liga,15,1168,77.9,0,0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,1.46,0.15,10.5,12.5,1.08,0.08,0.23,34.29,78.3,2.39,0.08,3.31,0.39,0.54,0.39,71.4,27.51,0.15,61.49,3.31,2.31,31.9,0.92,1.23,1.23,3.31,3.54,56.1,0.15,0.0,0.85,,,,,,,,,,,,,,,,,,2.0
eduardo-brock-04ba9f,Eduardo Brock,34.0,Brazil,185.0,,DF,Cerro Porteño,Paraguayan Primera División,15,1029,68.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.33,0.0,0.17,26.83,73.5,2.33,0.33,2.0,0.33,0.0,0.17,100.0,20.0,0.0,47.0,0.67,0.17,27.5,1.67,0.83,1.5,2.5,1.33,47.1,0.17,0.0,0.67,,,,,,,,,,,,,,,,,,0.2
alexis-martin-arias-dbf110,Alexis Martin Arias,33.0,Argentina,185.0,,GK,Cerro Porteño,Paraguayan Primera División,6,540,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,5.2,3.8,76.9,40.0,0.24,0.0,0.0,20.0,44.0,36.5,0.4,12.2,1.2,0.2,0.2,0.6,0.25
lucas-quintana-ea1d67,Lucas Quintana,20.0,Paraguay,184.0,,DF,Cerro Porteño,Paraguayan Primera División,7,496,70.9,0,0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.37,0.0,0.0,10.1,0.56,0.0,0.0,28.64,77.4,1.67,0.0,1.49,0.19,0.56,0.19,50.0,26.59,0.19,52.07,1.86,0.93,30.5,2.05,2.98,0.56,3.16,2.6,56.0,0.19,0.0,0.93,,,,,,,,,,,,,,,,,,4.0
miguel-benitez-214e7e,Miguel Benítez,28.0,Paraguay,185.0,,DF,Cerro Porteño,Paraguayan Primera División,7,290,41.4,0,0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,,,1.01,0.0,0.76,25.71,71.8,2.02,1.26,1.76,2.52,1.76,1.01,80.0,20.67,0.5,45.88,12.35,0.25,20.42,1.51,2.02,0.76,7.06,1.26,62.5,0.25,0.25,2.27,,,,,,,,,,,,,,,,,,0.1
sergio-araujo-898424,Sergio Araujo,33.0,Argentina,180.0,Right,FW-MF,Cerro Porteño,Paraguayan Primera División,5,261,52.2,0,0,0.0,0.0,0.0,0.2,0.08,0.29,0.2,3.27,0.41,12.5,20.7,4.09,0.41,1.23,17.18,61.8,2.45,0.0,2.45,6.55,0.82,0.41,50.0,16.36,0.41,36.0,16.77,4.91,22.91,0.82,0.0,0.0,2.86,5.32,61.9,0.0,0.0,1.23,,,,,,,,,,,,,,,,,,0.2
alfio-oviedo-7de19e,Alfio Oviedo,29.0,Paraguay,182.0,,FW,Tigre,Argentine Liga,20,580,29.0,2,0,0.31,0.0,0.31,0.31,0.03,0.34,0.31,2.64,1.24,47.1,14.9,3.1,0.31,1.24,12.72,63.1,0.93,0.16,1.71,6.67,0.62,1.09,53.8,16.6,1.24,37.4,19.86,4.81,25.6,0.93,0.0,1.71,2.02,5.9,50.0,0.31,0.0,1.86,,,,,,,,,,,,,,,,,,0.4
