player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
marlon-torres-2377ee,Marlon Torres,29.0,Colombia,180.0,,DF,Tolima,Primera A,43,3731,86.8,1,0,0.02,0.0,0.0,0.04,0.0,0.04,0.04,0.4,0.0,0.0,9.2,0.4,0.0,0.0,41.38,86.6,3.62,0.0,2.81,0.4,0.8,0.4,50.0,32.54,1.21,54.64,3.21,0.8,32.95,0.8,1.21,0.4,6.83,2.81,63.6,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,0.45
junior-hernandez-079e26,Junior Hernández,26.0,Colombia,172.0,,DF-MF,Tolima,Primera A,47,3641,77.5,3,2,0.07,0.05,0.0,0.03,0.03,0.05,0.03,0.77,0.26,33.3,21.6,1.54,0.0,0.51,38.0,75.1,1.67,0.77,3.34,4.11,2.05,1.03,47.1,29.66,2.44,63.3,15.15,1.28,30.56,2.95,1.03,1.67,8.35,0.9,70.0,0.13,0.0,0.64,,,,,,,,,,,,,,,,,,0.8
jeison-lucumi-e4bbd3,Jeison Lucumí,30.0,Colombia,177.0,Right,FW-MF,Tolima,Primera A,38,2365,62.2,3,2,0.11,0.08,0.36,0.16,0.09,0.27,0.16,1.97,0.9,45.5,19.2,3.23,0.72,1.08,34.06,79.5,3.05,0.9,4.84,6.45,3.59,3.94,62.9,41.24,3.23,58.63,21.51,2.33,42.85,1.61,0.9,0.54,5.56,0.36,66.7,0.0,0.0,1.97,,,,,,,,,,,,,,,,,,0.55
alex-castro-9d8e3e,Alex Castro,31.0,Colombia,170.0,Left,FW-MF,Tolima,Primera A,42,2631,62.6,3,3,0.1,0.1,0.0,0.21,0.13,0.31,0.21,1.28,0.26,20.0,12.8,4.36,0.26,1.79,27.69,67.9,2.56,2.05,3.33,7.95,3.85,2.31,37.5,33.33,3.08,55.38,26.41,3.59,35.64,2.05,0.26,0.77,7.44,1.28,62.5,0.26,0.0,1.28,,,,,,,,,,,,,,,,,,0.5
jeison-angulo-2108a6,Jeison Angulo,29.0,Colombia,182.0,Left,DF,Tolima,Primera A,28,1896,67.7,0,1,0.09,0.05,0.09,0.06,0.06,0.11,0.06,0.34,0.09,25.0,15.8,2.58,0.34,1.2,39.15,76.2,2.67,0.6,4.04,4.56,1.38,0.6,77.8,28.31,1.72,57.73,10.76,1.12,33.13,1.12,1.2,0.86,4.82,0.6,35.0,0.34,0.09,2.15,,,,,,,,,,,,,,,,,,0.3
brayan-rovira-375ae3,Brayan Rovira,29.0,Colombia,177.0,Right,FW-MF,Tolima,Primera A,26,1603,61.7,0,0,0.0,0.29,0.0,0.04,0.12,0.15,0.04,0.58,0.0,0.0,27.5,1.6,0.58,0.58,50.81,89.7,5.23,0.29,4.35,0.29,0.58,0.15,25.0,30.34,0.15,64.89,2.9,0.29,43.4,2.18,1.6,0.58,6.53,0.73,55.6,0.29,0.0,1.6,,,,,,,,,,,,,,,,,,0.9
gustavo-adrian-ramirez-ab7684,Gustavo Adrián Ramírez,35.0,Paraguay,181.0,,FW,Tolima,Primera A,15,702,46.8,3,2,0.38,0.26,0.0,0.27,0.24,0.48,0.27,2.72,0.91,33.3,13.2,3.32,0.3,1.81,18.42,69.3,0.91,1.21,3.02,3.93,0.3,1.51,41.7,23.86,1.21,39.26,14.5,3.32,27.79,0.6,0.0,0.6,2.72,3.02,29.4,0.6,0.0,1.21,,,,,,,,,,,,,,,,,,0.05
julian-alveiro-quinones-5cd6b2,Julián Alveiro Quiñones,36.0,Colombia,196.0,Right,DF,Tolima,Primera A,10,664,66.4,0,0,0.29,0.0,0.29,0.19,0.0,0.19,0.19,1.14,0.57,50.0,13.3,0.43,0.0,0.0,20.71,80.1,1.0,0.0,1.14,0.14,0.14,0.0,,17.14,0.14,36.0,1.57,1.29,17.57,1.0,1.29,2.0,4.57,1.86,76.5,0.14,0.0,0.29,,,,,,,,,,,,,,,,,,0.1
diego-herazo-2b2226,Diego Herazo,29.0,Colombia,180.0,,FW,San Lorenzo,Argentine Liga,8,141,17.6,1,0,0.64,0.0,0.0,0.09,0.05,0.18,0.09,1.38,0.46,33.3,11.7,1.85,0.0,1.38,6.46,60.9,0.46,0.46,1.85,5.08,0.46,0.46,100.0,9.69,0.92,17.54,9.23,4.62,12.92,0.46,0.0,0.0,0.92,2.31,25.0,0.0,0.0,0.92,,,,,,,,,,,,,,,,,,0.55
andres-mosquera-marmolejo-605e65,Andrés Mosquera Marmolejo,34.0,Colombia,186.0,Right,GK,Santa Fe,Primera A,48,4245,88.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5.5,4.0,72.7,50.0,0.29,0.1,,18.5,43.2,31.4,0.5,12.3,0.0,0.5,0.0,0.5,
daniel-torres-184d3d,Daniel Torres,36.0,Colombia,181.0,Right,MF,Santa Fe,Primera A,49,4223,86.2,3,2,0.06,0.04,0.0,0.02,0.05,0.07,0.02,0.48,0.0,0.0,18.9,2.18,0.0,0.97,53.47,84.0,6.53,1.21,8.23,0.73,1.21,0.48,50.0,42.58,0.48,73.79,11.37,0.97,50.08,1.21,1.94,1.21,6.53,0.73,23.1,0.73,0.0,2.9,,,,,,,,,,,,,,,,,,15.0
hugo-rodallega-be35c2,Hugo Rodallega,40.0,Colombia,180.0,Right,FW,Santa Fe,Primera A,48,4026,83.9,18,8,0.4,0.18,0.59,0.34,0.13,0.47,0.34,3.07,1.49,48.4,19.5,2.57,0.3,1.58,15.84,71.1,1.39,1.09,3.17,5.15,1.09,0.89,60.0,19.21,0.79,30.69,15.74,3.47,24.55,0.1,0.1,0.89,1.78,3.27,45.2,0.2,0.0,1.39,,,,,,,,,,,,,,,,,,0.05
