player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
callum-mcgregor-2407f5,Callum McGregor,32.0,Scotland,178.0,Left,MF,Celtic,Scottish Premiership,35,2908,83.1,8,3,0.25,0.09,0.0,0.01,0.02,0.04,0.01,0.3,0.1,33.3,22.1,1.5,0.0,0.3,55.9,93.8,4.6,0.3,3.7,0.6,0.7,1.1,78.6,37.3,1.1,67.2,8.9,0.4,49.1,1.3,1.1,0.8,5.2,0.0,0.0,0.1,0.0,1.3,,,,,,,,,,,,,,,,,,5.0
kasper-schmeichel-af8436,Kasper Schmeichel,39.0,Denmark,189.0,Right,GK,Celtic,Scottish Premiership,32,2880,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5.4,3.9,72.2,20.0,0.3,0.09,,33.8,17.5,27.3,1.0,13.7,2.9,0.3,0.3,0.4,0.3
alistair-johnston-6a0424,Alistair Johnston,27.0,Canada,180.0,Right,DF-MF,Celtic,Scottish Premiership,32,2625,82.0,4,10,0.14,0.34,0.0,0.02,0.01,0.04,0.02,0.32,0.22,66.7,12.1,2.15,0.43,0.22,51.03,83.2,3.88,0.54,3.98,2.69,1.61,0.32,50.0,39.62,0.75,72.67,11.73,1.18,46.4,3.01,1.51,1.18,3.66,1.29,52.2,0.22,0.0,1.08,,,,,,,,,,,,,,,,,,9.0
daizen-maeda-64df5d,Daizen Maeda,28.0,Japan,173.0,,FW-MF,Celtic,Scottish Premiership,34,2549,75.0,16,10,0.56,0.35,0.15,0.21,0.15,0.36,0.21,1.21,0.45,37.5,10.7,1.51,0.15,0.91,14.04,70.5,0.15,0.45,0.6,4.98,1.06,0.76,41.7,18.12,1.06,31.41,15.25,3.17,22.5,1.51,1.21,1.21,2.42,0.45,30.0,0.3,0.15,1.36,,,,,,,,,,,,,,,,,,15.0
cameron-carter-vickers-9a3162,Cameron Carter-Vickers,27.0,United States,183.0,Right,DF,Celtic,Scottish Premiership,30,2618,87.3,1,0,0.03,0.0,0.0,0.07,0.0,0.07,0.07,0.43,0.0,0.0,6.5,0.57,0.0,0.14,74.43,92.9,3.57,0.0,5.57,0.0,1.29,0.14,100.0,55.14,0.71,88.71,3.0,1.0,68.71,1.0,1.43,1.0,4.14,2.86,69.0,0.14,0.0,1.14,,,,,,,,,,,,,,,,,,14.0
reo-hatate-ab9229,Reo Hatate,28.0,Japan,171.0,,MF,Celtic,Scottish Premiership,37,2395,64.7,10,4,0.38,0.15,0.13,0.17,0.18,0.35,0.27,1.54,0.51,33.3,22.9,2.31,0.39,1.03,41.98,83.0,3.72,1.16,4.37,3.98,1.16,0.77,60.0,33.89,1.16,61.11,18.87,2.05,48.15,1.28,0.51,1.41,5.39,0.26,40.0,0.13,0.0,1.16,,,,,,,,,,,,,,,,,,13.0
arne-engels-b0da27,Arne Engels,22.0,Belgium,184.0,Right,MF,Augsburg,Bundesliga,1,79,79.0,0,0,0.0,0.14,0.0,0.07,0.36,0.43,0.18,0.7,0.42,60.0,20.7,2.79,0.42,2.09,28.14,68.9,2.65,1.39,3.62,2.93,1.39,0.28,40.0,22.29,0.56,50.29,17.69,1.81,29.26,2.79,0.7,0.98,3.2,0.42,37.5,0.14,0.0,0.98,,,,,,,,,,,,,,,,,,10.0
greg-taylor-0d6055,Greg Taylor,28.0,Scotland,173.0,Left,DF-MF,Celtic,Scottish Premiership,28,2030,72.5,0,7,0.0,0.31,0.0,0.0,0.06,0.08,0.0,0.16,0.0,0.0,25.7,1.26,0.31,0.31,52.4,83.5,3.46,0.63,3.93,4.09,1.26,0.16,20.0,37.76,1.1,71.91,17.78,0.79,49.25,2.2,1.26,0.79,3.3,1.1,46.7,0.16,0.0,0.94,,,,,,,,,,,,,,,,,,6.0
nicolas-gerrit-kuhn-c31d2d,Nicolas-Gerrit Kühn,25.0,Germany,176.0,Left,FW-MF,Celtic,Scottish Premiership,32,1869,58.4,13,9,0.63,0.43,0.12,0.22,0.1,0.34,0.22,1.05,0.35,33.3,13.9,3.14,0.12,1.4,20.61,71.4,1.63,0.82,1.98,7.57,3.84,1.51,40.6,27.59,2.1,39.94,20.14,3.26,29.11,1.63,1.05,1.05,4.31,0.12,12.5,0.12,0.0,0.7,,,,,,,,,,,,,,,,,,17.0
auston-trusty-832603,Auston Trusty,27.0,United States,191.0,Left,DF,Celtic,Scottish Premiership,22,1916,87.1,1,1,0.05,0.05,0.0,0.01,0.01,0.04,0.01,0.14,0.0,0.0,7.9,0.14,0.0,0.14,61.86,93.3,4.71,0.0,3.0,0.14,0.29,0.0,0.0,50.29,0.0,79.43,2.14,0.86,58.29,1.71,1.0,1.71,2.0,2.43,48.6,0.0,0.0,1.14,,,,,,,,,,,,,,,,,,5.0
