player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
andres-fernandez-75e35f,Andrés Fernández,38.0,Spain,184.0,Right,GK,Levante,Segunda División,41,3690,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,3.38,2.13,66.7,25.0,0.28,-0.11,0.0,27.94,38.7,34.2,0.69,13.4,1.6,0.13,0.5,0.38,0.2
unai-elgezabal-423d61,Unai Elgezabal,32.0,Spain,185.0,,DF-MF,Levante,Segunda División,40,3600,90.0,0,0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.19,0.0,0.0,5.2,0.68,0.0,0.19,32.25,84.3,1.35,0.0,1.26,0.1,0.1,0.0,,24.72,0.1,49.25,2.12,0.97,29.16,0.77,0.29,2.03,2.61,2.9,71.4,0.19,0.0,1.06,,,,,,,,,,,,,,,,,,0.7
carlos-alvarez-6e4bd0,Carlos Álvarez,22.0,Spain,168.0,Left,MF,Levante,Segunda División,42,3386,80.6,7,11,0.19,0.29,0.19,0.11,0.25,0.34,0.11,1.24,0.38,30.8,19.5,3.73,0.29,1.72,26.14,75.4,3.93,1.53,5.36,2.49,2.11,0.77,24.2,27.86,1.15,45.57,16.18,1.72,30.83,1.34,0.57,0.57,4.69,0.1,16.7,0.19,0.0,1.05,,,,,,,,,,,,,,,,,,15.0
oriol-rey-346022,Oriol Rey,27.0,Spain,177.0,Left,MF,Levante,Segunda División,39,3231,82.8,0,3,0.0,0.08,0.0,0.04,0.01,0.05,0.04,0.49,0.12,25.0,26.9,0.73,0.12,0.24,32.52,83.4,3.04,0.37,2.31,1.22,0.61,0.12,100.0,27.04,0.61,47.25,5.36,0.37,29.11,1.83,0.73,1.34,4.87,0.37,42.9,0.24,0.0,1.34,,,,,,,,,,,,,,,,,,2.0
jose-luis-morales-d330f1,José Luis Morales,38.0,Spain,180.0,Right,FW-MF,Levante,Segunda División,42,2661,63.4,11,4,0.37,0.14,0.36,0.11,0.04,0.15,0.11,1.82,1.09,60.0,21.4,1.82,0.36,0.36,13.12,64.3,0.0,0.36,1.46,6.56,1.82,1.82,50.0,17.49,0.36,29.88,18.22,4.01,20.04,0.73,0.0,0.36,3.28,0.36,33.3,0.0,0.0,0.73,,,,,,,,,,,,,,,,,,0.5
pablo-martinez-d035dd,Pablo Martínez,27.0,Spain,179.0,Right,MF,Levante,Segunda División,36,2559,71.1,3,2,0.11,0.07,0.0,0.12,0.14,0.24,0.12,2.05,0.34,16.7,24.5,3.08,0.34,1.2,24.47,71.9,2.22,0.86,3.42,2.05,1.37,1.03,66.7,21.22,1.37,44.66,13.0,1.54,24.64,1.37,1.03,1.71,4.11,1.03,66.7,0.17,0.0,1.71,,,,,,,,,,,,,,,,,,2.0
brugui-7ab774,Brugui,29.0,Spain,,,FW-MF,Levante,Segunda División,37,2449,66.2,11,4,0.4,0.15,0.0,0.19,0.04,0.24,0.2,1.94,0.54,27.8,13.5,1.19,0.22,0.54,16.17,78.5,1.29,0.97,1.19,4.85,0.97,0.86,44.4,18.11,0.97,32.23,12.61,3.56,21.77,1.08,0.32,0.86,2.26,0.86,29.6,0.11,0.0,1.08,,,,,,,,,,,,,,,,,,
giorgi-kochorashvili-f7df4d,Giorgi Kochorashvili,26.0,Georgia,176.0,Right,MF,Levante,Segunda División,35,2603,74.4,6,4,0.21,0.14,0.0,0.08,0.1,0.18,0.08,1.25,0.0,0.0,25.7,1.5,0.25,0.5,39.75,90.3,2.75,0.5,4.5,1.0,1.0,1.5,66.7,33.0,1.5,53.5,5.0,1.0,38.75,2.25,1.25,1.5,7.75,0.25,33.3,0.25,0.0,1.75,,,,,,,,,,,,,,,,,,6.0
adrian-de-la-fuente-819025,Adrián de la Fuente,26.0,Spain,180.0,Right,DF,Levante,Segunda División,32,2529,79.0,2,1,0.07,0.04,0.0,0.02,0.01,0.03,0.02,0.42,0.1,25.0,23.2,0.94,0.1,0.31,32.78,76.6,3.45,0.52,2.19,0.84,0.42,0.1,100.0,29.65,0.52,54.61,3.86,0.84,32.26,1.04,1.25,1.36,3.13,1.88,62.1,0.21,0.0,0.84,,,,,,,,,,,,,,,,,,1.5
ivan-romero-d9f93f,Iván Romero,24.0,Spain,172.0,Right,FW,Levante,Segunda División,35,1865,53.3,9,4,0.43,0.19,0.44,0.47,0.1,0.57,0.47,2.67,0.78,29.2,14.1,2.33,0.44,0.89,13.67,65.4,0.78,0.44,1.56,4.44,1.33,1.56,45.2,20.22,0.33,35.11,18.33,4.89,23.67,0.89,0.22,0.56,2.89,1.89,50.0,0.11,0.0,1.78,,,,,,,,,,,,,,,,,,7.5
vicente-iborra-1d2ca3,Vicente Iborra,,Spain,190.0,Right,MF,Levante,Segunda División,26,958,36.8,1,0,0.09,0.0,0.0,0.04,0.0,0.04,0.04,0.66,0.22,33.3,17.3,0.88,0.22,0.22,24.32,76.9,2.21,0.0,2.43,0.22,0.0,0.0,,12.6,0.0,39.14,5.97,0.88,18.35,1.77,1.33,0.88,4.42,2.43,55.0,0.22,0.0,0.44,,,,,,,,,,,,,,,,,,
angel-algobia-65e1fe,Ángel Algobia,26.0,Spain,180.0,,MF,Levante,Segunda División,23,799,34.7,2,1,0.23,0.11,0.0,0.02,0.05,0.07,0.02,0.55,0.08,14.3,24.9,1.27,0.08,0.4,33.22,80.6,2.77,0.32,3.32,0.87,0.79,0.32,66.7,26.1,0.32,49.51,7.28,0.71,30.61,2.14,0.24,1.19,5.38,0.55,25.0,0.24,0.0,2.45,,,,,,,,,,,,,,,,,,0.8
ignasi-miquel-352740,Ignasi Miquel,33.0,Spain,193.0,Left,DF,Levante,Segunda División,9,700,77.8,0,0,0.03,0.03,0.03,0.04,0.04,0.08,0.04,0.66,0.24,36.4,12.7,0.84,0.03,0.36,38.05,81.7,2.17,0.15,2.5,0.24,0.24,0.24,50.0,30.89,0.18,56.82,2.02,1.11,34.47,1.41,1.35,0.96,4.09,1.68,50.5,0.15,0.0,0.96,,,,,,,,,,,,,,,,,,0.6
matias-dituro-435ff8,Matías Dituro,38.0,Argentina,191.0,Right,GK,Elche,Segunda División,38,3420,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.5,2.5,76.2,16.7,0.23,-0.08,0.0,56.83,31.4,30.9,3.67,16.9,12.0,0.33,0.67,0.0,0.2
aleix-febas-627595,Aleix Febas,29.0,Spain,171.0,Right,MF,Elche,Segunda División,37,3075,83.1,1,0,0.03,0.0,0.07,0.06,0.05,0.11,0.06,0.64,0.29,44.4,17.4,2.36,0.14,0.93,55.5,89.8,6.5,0.71,7.07,3.57,3.93,1.57,53.7,42.29,3.0,72.0,20.36,1.36,58.5,2.21,0.57,0.29,4.64,0.07,10.0,0.14,0.0,0.57,,,,,,,,,,,,,,,,,,3.0
david-affengruber-3721bb,David Affengruber,24.0,Austria,185.0,Right,DF,Elche,Segunda División,40,3203,80.1,0,2,0.0,0.06,0.0,0.0,0.02,0.02,0.0,0.08,0.08,100.0,18.0,0.89,0.16,0.24,54.34,88.0,3.64,0.32,3.23,0.16,0.49,0.16,100.0,38.41,0.24,73.42,1.7,0.4,46.5,2.18,1.78,0.97,5.82,1.94,61.5,0.32,0.08,1.21,,,,,,,,,,,,,,,,,,7.5
