player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
amir-rrahmani-da3f2c,Amir Rrahmani,31.0,Kosovo,190.0,Right,DF,Napoli,Serie A,38,3406,89.6,1,3,0.03,0.08,0.03,0.07,0.02,0.09,0.07,0.6,0.1,15.8,9.7,1.17,0.06,0.29,71.77,91.0,5.71,0.35,5.74,0.16,0.67,0.19,66.7,55.92,0.48,88.92,3.14,0.73,65.34,1.33,0.89,1.2,3.65,3.27,69.6,0.1,0.0,1.27,,,,,,,,,,,,,,,,,,12.0
giovanni-di-lorenzo-e7ed27,Giovanni Di Lorenzo,32.0,Italy,184.0,Right,DF-MF,Napoli,Serie A,37,3330,90.0,3,2,0.08,0.05,0.0,0.06,0.09,0.15,0.06,0.74,0.2,27.6,12.3,2.01,0.26,0.69,52.62,84.0,4.67,1.17,5.97,4.67,1.25,0.13,16.7,35.75,0.94,70.55,18.94,2.01,47.04,1.56,0.66,0.74,2.8,1.2,50.0,0.13,0.03,1.22,,,,,,,,,,,,,,,,,,12.0
romelu-lukaku-00e311,Romelu Lukaku,32.0,Belgium,192.0,Left,FW,Napoli,Serie A,36,2843,79.0,14,10,0.44,0.32,0.31,0.29,0.11,0.41,0.4,1.98,0.61,31.1,15.2,2.55,0.53,1.1,11.11,71.9,0.44,0.44,1.23,6.8,1.05,0.13,20.0,12.12,0.35,22.26,12.25,4.96,18.26,0.13,0.04,0.26,1.01,1.45,43.4,0.13,0.0,1.45,,,,,,,,,,,,,,,,,,15.0
alex-meret-5dc15d,Alex Meret,28.0,Italy,185.0,Left,GK,Napoli,Serie A,34,3005,88.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,2.46,1.71,71.0,46.4,0.27,0.08,66.7,32.39,14.6,27.5,1.46,16.7,5.1,0.64,0.25,0.11,18.0
matteo-politano-930c4a,Matteo Politano,32.0,Italy,170.0,Left,FW-MF,Napoli,Serie A,37,2804,75.8,3,4,0.1,0.13,0.06,0.09,0.19,0.28,0.09,1.99,0.47,23.4,19.4,3.49,0.28,1.9,30.24,71.2,1.78,1.74,3.36,9.16,5.01,1.34,45.7,32.64,1.99,53.03,26.69,3.02,38.06,1.03,0.4,0.81,3.39,0.16,16.1,0.16,0.0,0.72,,,,,,,,,,,,,,,,,,10.0
scott-mctominay-fb2afd,Scott McTominay,28.0,Scotland,192.0,Right,MF,Manchester Utd,Premier League,2,19,9.5,0,0,0.38,0.13,0.38,0.28,0.08,0.36,0.28,2.45,1.1,44.8,16.0,2.17,0.31,0.92,25.29,83.9,2.14,0.71,3.52,4.16,1.48,1.15,47.4,24.55,1.25,42.04,12.62,3.24,30.21,1.2,0.71,0.76,4.23,1.76,53.1,0.08,0.0,1.22,,,,,,,,,,,,,,,,,,50.0
andre-frank-zambo-anguissa-93c391,Andre-Frank Zambo Anguissa,30.0,Cameroon,184.0,Right,MF,Napoli,Serie A,35,2852,81.5,6,4,0.19,0.13,0.27,0.21,0.09,0.3,0.21,1.73,0.55,31.6,14.0,2.61,0.43,0.85,36.76,81.8,2.83,0.79,3.59,4.1,0.82,0.79,48.1,29.58,0.7,55.85,15.69,3.13,40.1,1.16,0.76,0.91,4.8,2.8,63.0,0.12,0.0,1.09,,,,,,,,,,,,,,,,,,27.0
stanislav-lobotka-7d7204,Stanislav Lobotka,31.0,Slovakia,170.0,Right,MF,Napoli,Serie A,32,2636,82.4,0,1,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.16,0.0,0.0,23.3,1.81,0.16,0.63,57.55,92.0,3.58,0.63,4.09,0.73,0.86,0.13,80.0,41.8,0.98,68.83,9.76,0.13,52.23,1.46,0.63,1.05,4.63,0.22,50.0,0.03,0.0,0.63,,,,,,,,,,,,,,,,,,25.0
mathias-olivera-3dc78c,Mathías Olivera,28.0,Uruguay,184.0,Left,DF-MF,Napoli,Serie A,32,2370,74.1,0,2,0.0,0.08,0.0,0.09,0.05,0.14,0.09,0.83,0.18,22.2,14.8,1.24,0.18,0.55,54.14,87.2,3.9,0.28,4.68,2.43,1.74,0.09,22.2,39.81,1.24,72.96,11.8,1.65,47.94,2.16,1.06,1.29,3.81,1.74,54.3,0.14,0.0,1.06,,,,,,,,,,,,,,,,,,20.0
alessandro-buongiorno-0f188d,Alessandro Buongiorno,26.0,Italy,192.0,Left,DF,Napoli,Serie A,22,1924,87.5,1,0,0.05,0.05,0.0,0.04,0.02,0.06,0.04,0.34,0.15,42.9,9.7,1.07,0.19,0.15,55.29,91.1,4.12,0.19,3.78,0.39,1.21,0.05,20.0,44.88,0.63,70.39,2.47,0.44,49.62,1.45,1.31,1.02,3.58,2.03,66.7,0.05,0.0,1.69,,,,,,,,,,,,,,,,,,50.0
leonardo-spinazzola-2a78a5,Leonardo Spinazzola,32.0,Italy,186.0,Right,DF-MF,Napoli,Serie A,27,1517,56.2,1,1,0.06,0.06,0.09,0.04,0.19,0.23,0.04,0.84,0.35,42.1,21.0,3.0,0.26,1.59,40.92,77.9,3.49,2.03,4.68,4.72,4.37,1.41,42.1,36.02,3.18,61.75,20.35,2.38,40.61,0.93,0.66,0.66,3.93,0.13,33.3,0.13,0.0,0.44,,,,,,,,,,,,,,,,,,3.5
khvicha-kvaratskhelia-b9ba92,Khvicha Kvaratskhelia,24.0,Georgia,183.0,Right,FW-MF,Paris S-G,Ligue 1,14,916,65.4,4,3,0.39,0.29,0.32,0.26,0.31,0.57,0.26,3.66,1.35,36.8,19.0,5.61,0.83,2.25,43.33,84.4,2.31,1.99,4.07,11.03,6.0,2.34,43.5,43.27,3.37,65.5,37.37,7.12,52.76,1.73,0.48,0.87,3.05,0.42,33.3,0.06,0.0,1.03,,,,,,,,,,,,,,,,,,90.0
david-neres-4adf90,David Neres,28.0,Brazil,175.0,Left,FW-MF,Napoli,Serie A,28,1283,45.8,2,4,0.14,0.28,0.16,0.14,0.22,0.36,0.14,1.76,0.47,26.5,18.8,3.26,0.47,1.71,28.66,75.4,1.4,1.19,2.38,9.47,4.66,1.97,35.5,31.5,2.64,50.33,27.31,4.19,36.83,1.5,0.36,0.62,3.47,0.47,34.6,0.16,0.0,1.29,,,,,,,,,,,,,,,,,,24.0
billy-gilmour-fb91aa,Billy Gilmour,24.0,Scotland,170.0,Right,MF,Brighton,Premier League,2,98,49.0,0,0,0.07,0.07,0.07,0.05,0.13,0.18,0.05,0.84,0.14,16.7,20.8,3.44,0.35,1.4,65.17,88.4,6.31,1.12,6.59,1.54,1.19,0.56,66.7,48.26,1.26,80.95,14.24,0.84,62.99,1.75,0.98,0.28,5.4,0.35,29.4,0.07,0.0,1.05,,,,,,,,,,,,,,,,,,20.0
juan-jesus-85e5c4,Juan Jesus,34.0,Brazil,185.0,Left,DF,Napoli,Serie A,15,1074,71.6,0,1,0.0,0.08,0.0,0.02,0.01,0.02,0.02,0.2,0.0,0.0,7.7,0.76,0.05,0.1,65.12,90.7,3.17,0.15,3.83,0.05,0.45,0.0,,51.67,0.25,80.68,1.21,0.25,59.78,2.17,1.06,1.21,2.87,1.66,54.1,0.25,0.0,1.56,,,,,,,,,,,,,,,,,,1.5
