player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
lucas-ribeiro-48db78,Lucas Ribeiro,27.0,Brazil,181.0,Left,FW-MF,Mamelodi Sundowns,South African Premiership,26,1959,75.3,16,9,0.74,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
iqraam-rayners-c9313c,Iqraam Rayners,29.0,South Africa,176.0,,FW-MF,Mamelodi Sundowns,South African Premiership,26,1822,70.1,14,9,0.69,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
marcelo-allende-853a5b,Marcelo Allende,26.0,Chile,162.0,,MF,Mamelodi Sundowns,South African Premiership,24,1781,74.2,2,4,0.1,0.2,0.0,0.05,0.12,0.17,0.05,0.86,0.34,40.0,17.0,3.42,0.17,1.37,39.87,86.6,2.74,1.03,3.08,5.99,2.57,0.86,55.6,38.5,1.88,52.53,20.87,2.05,44.14,1.2,0.34,0.51,4.96,0.86,35.7,0.17,0.0,0.86,,,,,,,,,,,,,,,,,,2.3
aubrey-modiba-1c1086,Aubrey Modiba,30.0,South Africa,160.0,Left,DF-MF,Mamelodi Sundowns,South African Premiership,21,1670,79.5,0,3,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
teboho-mokoena-ccd2eb,Teboho Mokoena,28.0,South Africa,176.0,,MF,Mamelodi Sundowns,South African Premiership,22,1649,75.0,2,3,0.11,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
grant-kekana-9adbd9,Grant Kekana,33.0,South Africa,179.0,,DF,Mamelodi Sundowns,South African Premiership,18,1534,85.2,1,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
ronwen-williams-ea7df5,Ronwen Williams,33.0,South Africa,184.0,Right,GK,Mamelodi Sundowns,South African Premiership,16,1407,87.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
malibongwe-khoza-716ff3,Malibongwe Khoza,21.0,South Africa,191.0,,DF,Mamelodi Sundowns,South African Premiership,18,1358,75.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
thapelo-morena-c3af4e,Thapelo Morena,32.0,South Africa,170.0,Right,DF-MF,Mamelodi Sundowns,South African Premiership,24,1368,57.0,1,3,0.07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
peter-shalulile-f936fd,Peter Shalulile,33.0,Namibia,174.0,Left,FW,Mamelodi Sundowns,South African Premiership,23,1282,55.7,6,1,0.42,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
