player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
kostas-tzolakis-9252ab,Kostas Tzolakis,23.0,Greece,193.0,Right,GK,Olympiacos,Super League Greece,31,2790,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,3.57,1.67,50.0,37.5,0.36,-0.32,50.0,22.19,66.8,48.4,3.79,19.7,22.4,0.33,0.22,0.45,
rodinei-d8b6b7,Rodinei,33.0,Brazil,175.0,Right,DF,Olympiacos,Super League Greece,29,2335,80.5,4,9,0.15,0.35,0.0,0.08,0.22,0.29,0.2,0.46,0.0,0.0,18.8,5.22,0.15,2.61,39.01,70.8,4.61,2.0,6.45,4.91,3.07,1.23,47.1,28.72,2.92,66.81,29.8,1.38,33.94,2.3,1.54,1.08,4.3,0.46,42.9,0.15,0.0,0.46,,,,,,,,,,,,,,,,,,1.0
ayoub-el-kaabi-b37e39,Ayoub El Kaabi,32.0,Morocco,182.0,Left,FW-MF,Olympiacos,Super League Greece,29,2270,78.3,18,5,0.71,0.2,0.53,0.57,0.08,0.66,0.78,3.55,1.45,40.7,13.4,2.11,0.26,1.32,12.5,71.4,0.79,0.39,1.45,3.82,0.66,0.26,33.3,12.63,0.39,28.55,16.97,5.39,19.74,0.79,0.0,0.26,1.05,2.89,40.7,0.0,0.0,1.45,,,,,,,,,,,,,,,,,,5.0
chiquinho-b04e18,Chiquinho,30.0,Portugal,174.0,Right,FW-MF,Olympiacos,Super League Greece,28,2054,73.4,8,4,0.35,0.18,0.15,0.15,0.12,0.28,0.15,2.3,0.92,40.0,22.1,4.15,0.15,2.61,24.57,75.5,2.92,1.69,3.69,6.6,0.92,1.38,52.9,20.73,0.92,42.39,22.58,3.84,25.65,1.69,0.92,0.77,4.3,0.31,25.0,0.0,0.0,0.77,,,,,,,,,,,,,,,,,,5.0
gelson-martins-2e73cd,Gelson Martins,30.0,Portugal,186.0,Right,FW-MF,Olympiacos,Super League Greece,26,1924,74.0,7,8,0.33,0.37,0.14,0.2,0.11,0.31,0.2,3.12,0.71,22.7,14.7,3.69,0.14,1.14,23.71,74.2,1.28,1.42,3.12,9.94,3.69,2.27,47.1,31.8,1.99,47.41,29.53,7.24,34.35,1.7,0.57,0.99,6.67,0.71,50.0,0.28,0.0,1.56,,,,,,,,,,,,,,,,,,3.0
francisco-ortega-31cd89,Francisco Ortega,26.0,Argentina,176.0,Left,DF-MF,Olympiacos,Super League Greece,24,1880,78.3,0,1,0.0,0.05,0.0,0.0,0.1,0.1,0.0,0.12,0.0,0.0,13.0,1.9,0.12,1.07,43.93,81.7,4.63,0.95,6.17,5.22,2.14,0.83,77.8,27.66,1.66,63.76,17.93,0.83,33.72,2.26,0.47,1.19,4.87,1.31,40.7,0.12,0.0,1.9,,,,,,,,,,,,,,,,,,6.0
santiago-hezze-4579f5,Santiago Hezze,24.0,Argentina,178.0,,MF,Olympiacos,Super League Greece,30,1949,65.0,0,1,0.0,0.05,0.0,0.02,0.08,0.09,0.02,0.63,0.0,0.0,20.5,2.35,0.16,0.78,34.43,74.1,6.1,0.47,6.73,1.72,0.31,0.31,66.7,27.55,0.94,56.97,15.5,0.94,33.5,2.5,1.72,2.03,5.79,1.41,39.1,0.47,0.16,1.72,,,,,,,,,,,,,,,,,,12.0
lorenzo-pirola-ae4498,Lorenzo Pirola,23.0,Italy,185.0,,DF,Olympiacos,Super League Greece,21,1651,78.6,0,0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.67,0.13,20.0,9.8,1.07,0.13,0.53,38.0,83.6,3.33,0.13,3.2,0.0,0.4,0.0,,25.07,0.4,56.27,2.8,1.33,33.6,1.47,1.2,1.07,3.07,3.33,56.8,0.13,0.0,0.8,,,,,,,,,,,,,,,,,,6.0
david-carmo-ca7b3b,David Carmo,26.0,Angola,194.0,Left,DF,Porto,Primeira Liga,0,0,67.8,0,0,0.08,0.0,0.08,0.08,0.02,0.09,0.08,0.68,0.25,37.5,11.7,0.93,0.0,0.25,45.63,85.4,4.31,0.17,3.38,0.08,0.42,0.17,100.0,38.28,0.08,65.92,1.44,0.76,44.2,1.35,1.1,1.18,2.03,3.21,73.1,0.34,0.0,1.01,,,,,,,,,,,,,,,,,,10.0
dani-garcia-50b9e6,Dani García,35.0,Spain,180.0,Right,MF,Olympiacos,Super League Greece,27,1530,56.7,0,0,0.0,0.16,0.0,0.03,0.19,0.22,0.03,0.64,0.16,25.0,24.3,1.76,0.32,0.64,27.45,82.7,6.22,1.28,5.74,0.64,0.16,0.0,,13.88,0.0,40.05,6.7,0.48,18.83,1.91,0.96,1.76,3.03,1.12,70.0,0.48,0.0,2.71,,,,,,,,,,,,,,,,,,0.9
