player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
diego-pituca-23e1c4,Diego Pituca,33.0,Brazil,175.0,,MF,Santos,Série B,36,3066,85.2,4,3,0.12,0.09,0.04,0.07,0.08,0.15,0.07,0.87,0.24,27.3,22.7,1.58,0.32,0.51,46.5,85.9,4.18,0.32,5.92,1.46,1.42,0.63,66.7,37.58,0.91,62.92,7.11,0.59,42.79,1.93,0.99,1.07,6.71,0.51,38.2,0.2,0.0,1.34,,,,,,,,,,,,,,,,,,1.0
gil-1bcc54,Gil,38.0,Brazil,188.0,Right,DF,Santos,Série B,34,3052,89.8,1,0,0.03,0.0,0.0,0.05,0.0,0.05,0.05,0.75,0.0,0.0,11.3,0.13,0.0,0.0,32.13,91.1,1.75,0.0,0.88,0.38,0.0,0.13,100.0,24.0,0.25,44.88,2.13,1.38,28.75,2.13,0.88,0.75,3.38,1.88,75.0,0.38,0.0,0.88,,,,,,,,,,,,,,,,,,23.0
joao-schmidt-24e37f,João Schmidt,32.0,Brazil,184.0,Left,MF,Santos,Série B,33,2859,86.6,0,1,0.05,0.03,0.05,0.06,0.05,0.11,0.06,0.77,0.14,17.6,13.9,1.8,0.18,0.63,45.34,88.3,6.23,0.72,6.45,0.54,0.36,0.36,80.0,32.21,0.77,61.89,8.3,1.13,40.33,2.3,1.44,1.67,4.47,2.12,64.4,0.32,0.0,1.94,,,,,,,,,,,,,,,,,,1.0
gonzalo-escobar-db26a3,Gonzalo Escobar,28.0,Argentina,179.0,Left,DF-MF,Fortaleza,Série A,0,0,86.3,0,0,0.0,0.0,0.0,0.02,0.04,0.07,0.02,0.63,0.09,14.3,21.4,2.02,0.09,0.72,41.95,81.2,2.82,0.99,3.9,3.72,1.34,0.81,51.4,32.76,0.94,66.25,14.34,1.03,35.5,3.54,1.75,1.34,4.98,0.9,37.0,0.36,0.04,1.61,,,,,,,,,,,,,,,,,,1.0
gabriel-brazao-9182c7,Gabriel Brazão,25.0,Brazil,191.0,,GK,Santos,Série B,31,2772,89.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,4.64,3.27,73.5,22.9,0.26,-0.04,0.0,15.81,37.2,34.4,0.73,13.1,1.6,0.28,0.31,0.42,8.0
giuliano-de-paula-6bd8da,Giuliano de Paula,35.0,Brazil,172.0,Left,FW-MF,Santos,Série B,29,2227,76.8,9,2,0.36,0.08,0.0,0.06,0.16,0.25,0.06,0.63,0.0,0.0,27.2,1.25,0.31,0.94,37.5,81.1,4.06,0.31,3.44,4.06,1.88,1.56,71.4,35.63,1.25,54.06,13.75,1.56,39.38,0.94,0.63,0.31,5.0,0.63,28.6,0.31,0.0,0.94,,,,,,,,,,,,,,,,,,
romulo-otero-e2c195,Rómulo Otero,33.0,Venezuela,165.0,Right,FW-MF,Santos,Série B,37,2145,58.0,5,2,0.21,0.08,0.0,0.15,0.25,0.4,0.15,3.96,0.49,12.5,30.7,4.95,0.0,2.97,28.19,68.7,3.96,1.48,6.43,3.46,0.99,0.99,28.6,29.18,0.49,54.4,21.76,1.48,30.66,0.49,0.99,0.49,3.96,0.49,20.0,0.0,0.0,0.99,,,,,,,,,,,,,,,,,,0.3
jair-cunha-9a3be6,Jair Cunha,20.0,Brazil,182.0,,DF,Santos,Série B,20,1700,85.0,0,0,0.0,0.07,0.0,0.03,0.02,0.05,0.03,0.52,0.07,12.5,13.0,0.78,0.07,0.33,52.52,89.1,2.49,0.39,3.07,0.2,0.33,0.2,42.9,44.15,0.39,69.46,1.96,0.85,50.43,0.98,0.85,0.65,3.79,1.77,73.0,0.0,0.07,0.52,,,,,,,,,,,,,,,,,,13.0
wendel-63ef80,Wendel,25.0,Brazil,183.0,,FW,Santa Clara,Primeira Liga,6,235,39.2,2,0,0.77,0.25,0.25,0.32,0.15,0.47,0.42,1.39,0.76,54.5,13.2,2.28,0.51,1.01,14.05,73.5,1.52,0.63,1.65,3.8,0.76,0.25,15.4,15.44,0.76,28.73,12.53,3.67,18.99,0.25,0.13,0.38,1.77,1.9,44.1,0.25,0.0,0.63,,,,,,,,,,,,,,,,,,3.0
julio-furch-5ba904,Julio Furch,36.0,Argentina,189.0,Right,FW,Banfield,Argentine Liga,7,110,15.7,0,0,0.44,0.0,0.44,0.41,0.09,0.5,0.41,2.81,1.33,47.4,12.8,2.52,0.0,1.04,18.5,64.1,1.18,0.3,2.22,7.25,0.74,1.04,58.3,22.35,1.48,41.15,21.02,6.66,30.49,1.04,0.3,0.44,3.4,4.59,50.0,0.3,0.0,1.04,,,,,,,,,,,,,,,,,,0.25
joaquim-613118,Joaquim,26.0,Brazil,187.0,Right,DF,UANL,Liga MX,28,2493,89.0,2,2,0.07,0.07,0.08,0.22,0.05,0.26,0.22,1.16,0.24,20.7,11.6,0.6,0.12,0.2,43.78,84.5,3.67,0.12,3.63,0.68,1.08,0.44,57.9,34.37,0.68,64.16,4.39,1.6,41.11,1.95,1.63,1.16,3.71,3.35,70.0,0.32,0.0,1.12,,,,,,,,,,,,,,,,,,5.5
hayner-96e387,Hayner,30.0,Brazil,176.0,Right,DF,Santos,Série B,24,874,36.4,0,0,0.0,0.13,0.0,0.03,0.12,0.15,0.03,0.59,0.13,22.2,20.5,2.48,0.13,1.05,31.31,74.0,2.03,1.5,3.66,8.56,3.53,1.7,47.3,30.46,1.76,55.29,19.09,1.9,32.16,0.92,1.44,0.65,3.53,1.18,48.6,0.52,0.07,1.83,,,,,,,,,,,,,,,,,,0.35
willian-bc63fa,Willian,39.0,Brazil,171.0,Right,FW-MF,Santos,Série B,29,961,33.1,5,1,0.47,0.09,0.63,0.31,0.05,0.36,0.31,2.67,1.1,41.2,16.2,2.67,0.0,1.1,20.1,82.1,0.79,0.47,1.57,6.44,0.79,0.79,41.7,19.01,0.94,35.03,16.96,4.4,25.45,1.41,0.16,0.47,3.14,0.79,27.8,0.0,0.0,1.88,,,,,,,,,,,,,,,,,,0.15
joao-othavio-basso-137da9,João Othavio Basso,28.0,Brazil,187.0,Right,DF,Santos,Série B,8,618,77.2,2,1,0.29,0.15,0.17,0.03,0.0,0.03,0.03,0.17,0.17,100.0,9.1,0.52,0.0,0.17,38.05,84.9,2.95,0.0,1.39,0.0,0.52,0.35,100.0,24.67,0.35,53.51,2.08,0.7,31.97,1.22,0.87,0.87,2.43,2.61,78.9,0.35,0.0,1.74,,,,,,,,,,,,,,,,,,1.2
joao-paulo-a84d5e,João Paulo,30.0,Brazil,187.0,Right,GK,Santos,Série B,7,558,79.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,5.07,3.64,73.7,22.9,0.27,0.08,20.0,17.97,42.9,37.0,0.64,12.6,4.5,0.31,0.28,0.42,7.0
sandry-b65135,Sandry,23.0,Brazil,174.0,Right,MF,Santos,Série B,12,540,45.0,0,1,0.0,0.17,0.0,0.05,0.16,0.2,0.05,0.78,0.26,33.3,24.4,4.16,0.39,1.69,58.53,84.1,10.14,1.17,8.84,1.69,1.95,0.39,50.0,46.95,1.43,78.95,13.79,0.52,54.88,3.12,1.43,2.08,6.63,0.26,40.0,0.26,0.0,1.82,,,,,,,,,,,,,,,,,,1.0
weslley-patati-55c758,Weslley Patati,22.0,Brazil,167.0,Right,FW,Santos,Série B,13,495,38.1,2,1,0.36,0.18,0.19,0.29,0.14,0.43,0.29,2.64,0.85,32.1,16.8,2.64,0.47,1.32,21.82,76.0,1.04,0.85,2.74,6.8,3.02,2.17,42.6,26.73,1.98,44.86,23.61,5.86,33.53,1.61,0.28,1.32,4.34,0.38,25.0,0.09,0.0,1.51,,,,,,,,,,,,,,,,,,7.5
pedrinho-4a7b4b,Pedrinho,26.0,Brazil,176.0,Right,FW-MF,Santos,Série B,16,558,34.9,2,0,0.32,0.19,0.37,0.24,0.15,0.39,0.24,3.07,1.3,42.4,20.1,3.53,0.28,1.86,21.38,69.7,1.02,1.21,3.81,8.83,6.04,2.7,50.0,31.7,4.56,46.3,27.06,4.65,31.52,1.02,0.74,0.84,5.58,0.28,30.0,0.28,0.0,1.77,,,,,,,,,,,,,,,,,,0.6
alfredo-morelos-bde0b6,Alfredo Morelos,29.0,Colombia,177.0,Right,FW,Nacional,Primera A,22,1568,71.3,7,2,0.4,0.11,0.19,0.27,0.04,0.31,0.43,3.3,1.56,47.1,20.1,2.72,0.39,1.17,25.46,80.4,1.75,0.78,3.5,6.61,0.39,0.39,25.0,28.96,0.78,43.35,22.16,3.89,33.43,0.78,0.19,0.58,1.94,1.36,58.3,0.19,0.0,0.39,,,,,,,,,,,,,,,,,,2.0
aderlan-silva-ae96e3,Aderlan Silva,35.0,Brazil,180.0,Right,DF,Santos,Série B,4,233,58.2,0,0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.39,0.0,0.0,23.8,2.12,0.19,0.87,32.41,75.7,3.38,0.96,4.34,4.92,1.06,0.29,50.0,23.73,0.77,51.13,13.99,1.16,29.52,1.45,1.35,1.54,2.8,0.58,40.0,0.48,0.0,1.54,,,,,,,,,,,,,,,,,,
tomas-rincon-98674b,Tomás Rincón,37.0,Venezuela,177.0,Right,MF,Santos,Série B,14,383,27.4,0,0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.59,0.0,0.0,16.2,1.09,0.0,0.2,41.49,84.8,4.36,0.4,3.96,1.09,0.4,0.5,45.5,32.18,0.89,59.01,9.9,0.79,38.91,1.98,1.19,1.19,5.35,1.19,46.2,0.4,0.1,2.38,,,,,,,,,,,,,,,,,,0.2
