player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
fernando-muslera-9551ff,Fernando Muslera,39.0,Uruguay,191.0,Right,GK,Estudiantes–LP,Argentine Liga,15,1350,90.0,0,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,4.0,3.0,76.3,31.6,0.26,0.12,0.0,24.95,32.1,32.7,1.26,15.3,11.3,0.37,0.21,0.42,0.8
abdulkerim-bardakc-1fb913,Abdülkerim Bardakcı,31.0,Turkey,190.0,Left,DF,Galatasaray,Süper Lig,32,2754,86.1,3,2,0.1,0.07,0.11,0.08,0.03,0.11,0.08,0.89,0.22,25.0,13.8,2.33,0.22,0.67,52.78,85.3,3.33,0.44,4.11,1.0,0.89,0.22,50.0,44.33,0.78,73.11,6.11,1.44,49.44,2.0,0.67,1.56,3.67,2.22,62.5,0.22,0.0,0.89,,,,,,,,,,,,,,,,,,7.0
lucas-torreira-5209d1,Lucas Torreira,29.0,Uruguay,167.0,Right,MF,Galatasaray,Süper Lig,32,2752,86.0,4,5,0.13,0.16,0.0,0.03,0.01,0.06,0.03,0.81,0.0,0.0,19.8,3.37,0.35,0.46,52.26,87.7,5.69,0.81,5.46,1.63,0.35,0.12,33.3,37.86,0.81,68.75,11.03,0.58,46.57,2.79,0.7,1.05,5.57,0.35,60.0,0.35,0.0,1.51,,,,,,,,,,,,,,,,,,13.0
davinson-sanchez-6a7296,Davinson Sánchez,29.0,Colombia,188.0,Right,DF,Galatasaray,Süper Lig,31,2704,87.2,3,1,0.1,0.03,0.13,0.12,0.0,0.12,0.12,0.77,0.13,16.7,9.4,0.77,0.0,0.26,51.65,87.8,3.84,0.26,4.6,0.13,1.15,0.51,100.0,40.4,0.51,73.76,3.84,1.41,47.56,2.05,1.66,1.79,4.09,2.94,71.9,0.38,0.0,1.53,,,,,,,,,,,,,,,,,,20.0
bars-alper-ylmaz-24476e,Barış Alper Yılmaz,25.0,Turkey,186.0,,FW-MF,Galatasaray,Süper Lig,32,2599,81.2,12,3,0.42,0.1,0.0,0.25,0.26,0.51,0.25,2.85,0.62,21.7,16.2,3.72,0.62,2.11,20.08,67.5,0.5,1.61,1.74,9.67,4.09,1.24,34.5,26.41,1.36,43.02,25.41,6.2,31.86,1.61,0.12,0.37,2.98,2.6,55.3,0.12,0.0,1.24,,,,,,,,,,,,,,,,,,25.0
victor-osimhen-aba809,Victor Osimhen,26.0,Nigeria,185.0,Right,FW,Galatasaray,Süper Lig,30,2372,79.1,26,5,0.99,0.19,0.93,1.27,0.04,1.31,1.85,7.1,4.11,57.9,13.3,3.36,0.19,0.56,6.91,66.1,0.37,0.19,0.37,4.11,2.43,1.31,100.0,11.2,0.93,23.34,17.55,9.9,15.68,0.56,0.37,0.37,2.99,4.29,54.8,0.37,0.0,0.75,,,,,,,,,,,,,,,,,,75.0
gabriel-sara-58c38a,Gabriel Sara,26.0,Brazil,178.0,Left,MF,Galatasaray,Süper Lig,31,2352,75.9,2,8,0.08,0.31,0.0,0.08,0.23,0.32,0.08,2.68,0.84,31.3,22.1,5.86,0.0,3.01,45.5,80.5,5.69,1.34,6.52,2.84,2.68,1.0,42.9,45.5,1.51,69.42,24.93,1.84,48.85,1.34,0.84,2.17,4.68,0.5,75.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,22.0
yunus-akgun-499f46,Yunus Akgün,25.0,Turkey,173.0,,MF,Galatasaray,Süper Lig,30,2102,70.1,7,10,0.3,0.43,0.59,0.23,0.12,0.37,0.23,2.54,1.37,53.8,17.1,4.11,0.98,1.37,22.5,78.8,1.96,1.37,4.11,5.87,1.57,2.35,57.1,26.61,2.15,40.5,21.72,2.93,28.37,0.78,0.39,1.17,4.7,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,15.0
dries-mertens-c4d0ec,Dries Mertens,,Belgium,169.0,Right,FW-MF,Galatasaray,Süper Lig,34,1875,55.1,5,7,0.24,0.34,0.12,0.17,0.58,0.77,0.17,1.73,0.25,14.3,19.7,7.92,0.99,4.83,35.41,67.6,3.71,1.61,5.94,9.16,1.98,0.37,37.5,33.3,1.11,58.93,31.69,4.33,39.74,0.87,0.74,0.74,3.09,0.0,0.0,0.25,0.0,0.99,,,,,,,,,,,,,,,,,,
kaan-ayhan-bcf2db,Kaan Ayhan,31.0,Turkey,184.0,Right,DF-MF,Galatasaray,Süper Lig,30,1726,57.5,1,3,0.05,0.16,0.0,0.02,0.07,0.08,0.02,0.65,0.33,50.0,17.8,2.61,0.0,0.65,56.84,83.1,3.59,1.31,5.23,3.43,0.98,0.0,0.0,41.81,1.31,75.95,14.86,0.82,50.47,1.63,0.65,0.82,3.59,1.47,81.8,0.49,0.16,1.14,,,,,,,,,,,,,,,,,,3.5
