player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
johannes-kreidl-bf8c38,Johannes Kreidl,29.0,Austria,193.0,,GK,KuPS,Veikkausliiga,24,2134,88.9,0,1,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,4.25,3.5,82.4,25.0,0.3,0.53,,51.0,28.4,30.0,1.5,17.0,8.1,0.25,0.5,0.25,0.5
clinton-antwi-7a2762,Clinton Antwi,26.0,Ghana,170.0,,DF,KuPS,Veikkausliiga,27,2133,79.0,1,3,0.04,0.13,0.36,0.04,0.04,0.07,0.04,1.08,1.08,100.0,20.2,2.89,0.0,0.36,57.11,80.6,4.7,3.61,8.31,9.04,3.61,1.08,75.0,38.31,2.53,83.13,33.61,1.08,61.08,1.08,0.36,0.72,3.61,0.36,33.3,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,0.3
ibrahim-cisse-87f5a1,Ibrahim Cissé,26.0,Côte d'Ivoire,188.0,,DF,KuPS,Veikkausliiga,24,2100,87.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,32.0,0.77,0.0,0.0,65.9,90.5,6.15,0.0,4.62,0.51,1.03,0.51,50.0,45.13,0.26,88.72,1.79,0.26,58.46,3.08,2.05,2.56,6.15,2.05,57.1,0.51,0.0,1.03,,,,,,,,,,,,,,,,,,3.0
samuli-miettinen-f9ca23,Samuli Miettinen,21.0,Finland,188.0,,DF,KuPS,Veikkausliiga,24,2070,86.2,0,0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.5,0.0,0.0,5.5,0.0,0.0,0.0,72.5,89.0,5.0,0.0,5.5,0.0,0.0,0.0,,43.0,0.0,92.0,1.0,0.5,68.5,1.0,0.5,1.5,3.0,2.0,50.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,0.5
jaakko-oksanen-ab4d41,Jaakko Oksanen,25.0,Finland,184.0,Right,MF,KuPS,Veikkausliiga,24,1986,82.8,3,0,0.14,0.0,0.25,0.03,0.03,0.05,0.03,0.75,0.25,33.3,19.2,0.75,0.25,0.5,66.75,91.4,9.0,0.5,6.0,0.5,1.25,0.0,0.0,40.0,1.0,82.25,11.5,0.5,59.25,2.5,1.25,1.25,3.0,1.5,75.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,0.5
axel-vidjeskog-5290fe,Axel Vidjeskog,24.0,Finland,178.0,Right,FW-MF,KuPS,Veikkausliiga,26,1921,73.9,4,3,0.19,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
petteri-pennanen-f810fe,Petteri Pennanen,35.0,Finland,172.0,,MF,KuPS,Veikkausliiga,26,1892,72.8,7,3,0.33,0.14,0.0,0.09,0.06,0.15,0.09,1.78,0.59,33.3,24.4,1.19,0.0,0.89,44.85,87.8,2.38,0.89,5.35,6.24,3.56,0.0,0.0,35.05,1.49,58.22,24.36,3.27,46.63,0.59,0.89,0.89,2.67,0.3,33.3,0.3,0.0,1.19,,,,,,,,,,,,,,,,,,0.1
taneli-hamalainen-df7066,Taneli Hämäläinen,24.0,Finland,184.0,,DF,KuPS,Veikkausliiga,24,1610,67.1,2,2,0.11,0.11,0.0,0.0,0.12,0.12,0.0,0.0,0.0,,,1.23,0.0,0.41,53.01,89.6,3.29,0.41,3.29,4.93,1.23,0.82,50.0,28.77,0.82,69.86,8.22,0.82,48.08,2.47,0.0,0.82,4.11,1.23,60.0,0.0,0.0,1.23,,,,,,,,,,,,,,,,,,0.25
joslyn-luyeye-lutumba-18f507,Joslyn Luyeye-Lutumba,22.0,Finland,174.0,Right,FW,KuPS,Veikkausliiga,18,1099,61.1,4,2,0.33,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
saku-savolainen-994942,Saku Savolainen,29.0,Finland,184.0,,DF-FW,KuPS,Veikkausliiga,19,1179,62.1,5,2,0.38,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,42.0,71.2,4.0,0.0,3.5,6.0,2.0,1.0,40.0,27.0,1.0,78.5,26.5,1.5,45.0,2.5,2.0,3.0,2.5,0.0,0.0,0.0,0.0,3.5,,,,,,,,,,,,,,,,,,0.25
