player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
alex-paulsen-514d6e,Alex Paulsen,23.0,New Zealand,183.0,,GK,Auckland FC,A-League Men,26,2340,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
guillermo-may-fde378,Guillermo May,27.0,Uruguay,178.0,,FW,Auckland FC,A-League Men,26,2268,87.2,9,2,0.36,0.08,0.0,0.18,0.15,0.31,0.18,2.1,0.0,0.0,13.4,2.1,0.32,1.13,19.71,76.3,0.81,0.32,1.45,6.3,1.62,1.13,30.4,22.94,1.13,39.43,17.61,3.07,28.28,1.29,0.48,0.81,3.55,2.59,39.0,0.0,0.0,2.1,,,,,,,,,,,,,,,,,,0.75
francis-de-vries-8b2599,Francis de Vries,31.0,New Zealand,188.0,,DF,Auckland FC,A-League Men,26,2198,84.5,2,7,0.08,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
nando-pijnaker-a6164e,Nando Pijnaker,26.0,New Zealand,192.0,Left,DF,Auckland FC,A-League Men,25,2142,85.7,4,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
hiroki-sakai-587e0d,Hiroki Sakai,35.0,Japan,185.0,Right,DF-MF,Auckland FC,A-League Men,23,2024,88.0,3,4,0.13,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.83,0.0,0.0,43.67,85.6,2.33,0.0,3.17,3.83,0.83,0.83,62.5,30.17,0.83,61.17,12.33,0.33,38.17,1.5,2.0,1.33,3.0,2.83,60.7,0.17,0.0,1.0,,,,,,,,,,,,,,,,,,0.5
felipe-gallegos-7d498f,Felipe Gallegos,33.0,Chile,173.0,Left,FW-MF,Auckland FC,A-League Men,25,1815,72.6,1,2,0.05,0.1,0.29,0.03,0.16,0.19,0.03,0.57,0.29,50.0,25.8,2.87,0.43,1.87,24.55,72.8,2.44,0.72,3.3,1.87,1.44,0.57,50.0,24.26,0.86,43.92,11.34,0.29,25.12,1.0,1.29,1.0,4.02,1.15,53.3,0.14,0.14,1.44,,,,,,,,,,,,,,,,,,0.25
logan-rogerson-bd7f48,Logan Rogerson,27.0,New Zealand,182.0,,FW-MF,Auckland FC,A-League Men,26,1782,68.5,7,2,0.35,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
louis-verstraete-4f6866,Louis Verstraete,26.0,Belgium,186.0,Right,MF,Auckland FC,A-League Men,23,1734,75.4,2,3,0.1,0.16,0.48,0.13,0.02,0.15,0.13,1.13,0.81,71.4,18.7,1.45,0.48,0.16,29.84,74.0,3.39,0.65,4.52,4.52,1.13,0.81,71.4,24.68,1.61,55.16,13.71,2.26,32.26,4.84,2.1,1.61,7.1,0.81,50.0,0.32,0.0,2.26,,,,,,,,,,,,,,,,,,0.6
jake-brimmer-e41830,Jake Brimmer,27.0,Australia,169.0,,MF,Auckland FC,A-League Men,25,1498,59.9,3,3,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
daniel-hall-094ee2,Daniel Hall,26.0,Australia,175.0,,DF,Auckland FC,A-League Men,13,1170,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
