player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
lasse-berg-johnsen-c17b85,Lasse Berg Johnsen,26.0,Norway,179.0,,MF,Malmö,Allsvenskan,28,2334,83.4,2,6,0.08,0.23,0.13,0.05,0.15,0.2,0.05,1.06,0.4,37.5,27.2,2.65,0.13,1.06,59.6,85.5,7.17,1.59,7.57,0.8,1.06,0.4,60.0,48.05,1.06,78.19,16.19,0.27,56.28,1.46,0.53,1.33,6.24,0.8,54.5,0.13,0.0,0.8,,,,,,,,,,,,,,,,,,4.0
pontus-jansson-dde841,Pontus Jansson,34.0,Sweden,194.0,Right,DF,Malmö,Allsvenskan,26,2332,89.7,1,0,0.04,0.0,0.0,0.05,0.0,0.05,0.05,0.24,0.24,100.0,6.3,0.24,0.0,0.0,47.76,85.4,0.96,0.0,1.68,0.24,0.48,0.24,50.0,40.08,0.0,70.08,2.64,1.44,46.56,1.92,1.2,1.68,2.4,3.12,61.9,0.24,0.0,1.2,,,,,,,,,,,,,,,,,,0.7
erik-botheim-49572d,Erik Botheim,25.0,Norway,180.0,Right,FW,Malmö,Allsvenskan,30,2130,71.0,12,6,0.51,0.25,0.43,0.33,0.1,0.45,0.56,2.3,1.01,43.8,15.9,2.59,0.14,1.01,15.81,78.0,0.0,0.58,1.15,4.46,1.15,0.43,37.5,17.54,0.58,27.17,13.23,4.6,20.7,0.58,0.0,0.58,2.3,0.86,25.0,0.14,0.0,1.29,,,,,,,,,,,,,,,,,,3.5
busanello-32a7ec,Busanello,27.0,Brazil,179.0,Left,DF,Malmö,Allsvenskan,26,2059,79.2,1,6,0.04,0.26,0.0,0.05,0.14,0.19,0.05,0.63,0.13,20.0,18.0,1.88,0.13,1.13,45.38,72.2,3.25,0.63,4.38,4.0,0.75,0.75,46.2,37.88,0.5,73.0,17.5,2.13,40.88,1.5,0.75,1.0,5.38,0.88,43.8,0.38,0.0,0.75,,,,,,,,,,,,,,,,,,3.5
jens-stryger-larsen-14736a,Jens Stryger Larsen,34.0,Denmark,180.0,Right,DF-MF,Malmö,Allsvenskan,24,1999,83.3,0,1,0.0,0.05,0.0,0.04,0.07,0.12,0.04,0.29,0.0,0.0,11.8,1.01,0.14,0.72,34.93,77.5,1.3,0.29,1.59,0.87,0.43,0.0,,25.07,0.0,51.45,6.67,1.01,27.83,0.72,0.29,0.58,3.04,0.58,50.0,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,0.45
isaac-kiese-thelin-3d9d29,Isaac Kiese Thelin,33.0,Sweden,189.0,Right,FW,Malmö,Allsvenskan,26,1817,69.9,15,4,0.74,0.2,0.0,0.5,0.07,0.56,0.5,2.66,1.33,50.0,12.3,1.66,0.0,1.0,7.97,70.6,0.33,0.33,0.66,2.66,0.33,0.0,0.0,11.62,0.66,22.58,12.95,4.65,16.27,0.66,0.0,0.66,1.0,2.99,37.5,0.33,0.0,1.99,,,,,,,,,,,,,,,,,,1.2
johan-dahlin-3c3e34,Johan Dahlin,39.0,Sweden,190.0,Right,GK,Malmö,Allsvenskan,20,1800,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,4.4,2.8,63.6,0.0,0.3,-0.2,,14.8,21.6,25.6,0.8,19.4,4.0,0.4,0.0,0.8,0.1
sergio-pena-f6bfa3,Sergio Peña,30.0,Peru,180.0,Right,MF,Malmö,Allsvenskan,21,1441,68.6,1,2,0.06,0.12,0.21,0.08,0.04,0.13,0.08,1.48,0.64,42.9,27.5,2.54,0.21,0.85,68.4,82.8,10.59,1.48,8.68,1.48,0.42,0.64,60.0,53.58,1.06,91.91,19.27,0.42,66.07,4.45,1.06,1.48,9.32,0.64,60.0,0.42,0.0,1.06,,,,,,,,,,,,,,,,,,1.2
sebastian-nanasi-783c4d,Sebastian Nanasi,23.0,Sweden,178.0,Right,FW-MF,Malmö,Allsvenskan,17,1331,78.3,6,10,0.41,0.68,0.31,0.29,0.3,0.6,0.29,1.4,0.55,39.1,11.8,4.15,0.55,2.08,30.59,80.9,3.24,2.01,5.56,6.41,1.83,0.73,57.1,25.89,1.65,45.79,18.62,3.48,32.3,0.92,0.43,1.04,2.63,0.06,12.5,0.06,0.0,0.43,,,,,,,,,,,,,,,,,,18.0
hugo-bolin-eadd34,Hugo Bolin,22.0,Sweden,187.0,,MF,Malmö,Allsvenskan,25,1274,51.0,10,2,0.71,0.14,0.14,0.28,0.17,0.45,0.28,2.24,0.84,37.5,14.6,2.38,0.14,1.54,18.87,72.2,1.26,1.68,3.63,5.87,4.47,0.56,22.2,25.16,1.96,37.45,19.43,3.77,25.85,1.54,0.28,1.26,3.91,0.0,0.0,0.14,0.0,1.26,,,,,,,,,,,,,,,,,,6.0
