player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
guillermo-vizcarra-386fbd,Guillermo Vizcarra,32.0,Bolivia,185.0,Right,GK,The Strongest,Bolivian Primera División,38,3413,89.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,4.83,3.0,69.0,0.0,0.17,-0.7,0.0,19.67,41.5,36.1,0.5,10.5,5.7,0.17,0.33,0.5,
jeyson-chura-dbec51,Jeyson Chura,23.0,Bolivia,177.0,,MF,The Strongest,Bolivian Primera División,31,2262,73.0,7,1,0.28,0.04,0.0,0.09,0.04,0.13,0.09,2.2,0.0,0.0,21.2,2.63,0.44,2.2,36.88,70.0,3.07,1.32,3.95,3.95,1.76,0.44,33.3,35.12,3.95,62.78,18.88,1.32,39.95,0.88,0.0,0.0,3.51,0.0,,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,0.75
michael-ortega-5d40d5,Michael Ortega,34.0,Colombia,170.0,Right,MF,The Strongest,Bolivian Primera División,32,2164,67.6,9,13,0.37,0.54,0.23,0.14,0.21,0.35,0.14,1.38,0.69,50.0,21.1,7.38,0.92,3.0,45.46,79.1,6.23,1.38,7.15,3.46,3.46,1.38,75.0,42.92,2.77,61.62,17.08,0.69,47.54,0.92,0.0,0.46,5.08,0.46,50.0,0.23,0.0,0.92,,,,,,,,,,,,,,,,,,0.125
maximiliano-caire-3e3e10,Maximiliano Caire,37.0,Argentina,178.0,Right,DF,The Strongest,Bolivian Primera División,33,2284,69.2,0,1,0.0,0.04,0.0,0.01,0.1,0.1,0.01,0.39,0.0,0.0,27.8,1.7,0.0,0.52,32.66,72.0,3.27,0.78,3.79,2.87,1.96,0.52,57.1,24.17,1.57,61.0,10.58,0.52,27.04,3.66,1.57,1.31,4.31,1.31,58.8,0.13,0.0,0.65,,,,,,,,,,,,,,,,,,0.075
dario-aimar-771e59,Darío Aimar,30.0,Ecuador,187.0,,DF,The Strongest,Bolivian Primera División,25,2203,88.1,1,0,0.04,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.46,0.0,0.46,30.36,84.2,0.46,0.0,1.7,0.0,0.0,0.0,,20.5,0.0,42.38,0.46,0.31,25.27,0.31,0.62,0.46,2.93,1.54,52.6,0.31,0.0,0.62,,,,,,,,,,,,,,,,,,0.2
luciano-ursino-2c4d4f,Luciano Ursino,37.0,Bolivia,180.0,,MF,The Strongest,Bolivian Primera División,32,2002,62.6,4,3,0.18,0.13,0.26,0.12,0.09,0.21,0.12,2.5,0.53,21.1,22.7,2.37,0.13,1.19,35.58,76.5,5.53,0.66,6.59,2.9,1.84,0.92,31.8,33.21,1.45,61.01,16.08,3.03,41.38,2.77,0.92,1.05,7.64,0.92,50.0,0.13,0.0,1.71,,,,,,,,,,,,,,,,,,0.075
enrique-triverio-3f3cdb,Enrique Triverio,36.0,Argentina,184.0,,FW,The Strongest,Bolivian Primera División,32,2004,62.6,9,6,0.4,0.27,0.3,0.41,0.03,0.44,0.53,3.32,1.21,36.4,16.6,2.57,0.3,0.76,15.86,69.5,0.91,0.15,1.06,5.74,0.6,0.91,35.3,20.54,0.3,38.66,18.12,5.13,27.48,0.91,0.0,0.91,2.42,1.96,37.1,0.15,0.0,1.06,,,,,,,,,,,,,,,,,,0.175
adrian-jusino-709acb,Adrian Jusino,33.0,Bolivia,186.0,,DF,The Strongest,Bolivian Primera División,25,1902,76.1,0,0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.25,0.0,0.0,23.8,0.75,0.0,0.25,25.63,81.0,1.25,0.13,2.25,0.25,0.5,0.13,100.0,20.25,0.25,42.0,1.13,0.5,22.13,1.25,0.88,0.88,3.63,1.38,57.9,0.25,0.0,0.25,,,,,,,,,,,,,,,,,,0.25
jaime-arrascaita-667a2a,Jaime Arrascaita,32.0,Bolivia,175.0,,MF,The Strongest,Bolivian Primera División,28,1748,62.4,2,1,0.1,0.05,0.0,0.08,0.08,0.19,0.08,0.76,0.0,0.0,9.1,0.38,0.0,0.38,19.37,77.3,0.38,0.0,1.9,3.42,0.76,0.76,33.3,17.09,1.14,36.84,8.35,1.9,18.23,3.42,0.76,0.76,3.42,2.28,50.0,0.0,0.0,0.76,,,,,,,,,,,,,,,,,,0.275
diego-wayar-9fc8a2,Diego Wayar,32.0,Bolivia,172.0,,MF,The Strongest,Bolivian Primera División,26,1503,57.8,1,0,0.06,0.0,0.0,0.0,0.0,0.03,0.0,0.56,0.28,50.0,32.4,0.83,0.28,0.56,34.17,88.5,1.39,0.28,3.61,0.28,1.11,0.28,100.0,29.17,0.0,49.72,2.78,0.0,33.61,2.22,0.56,1.11,2.78,1.11,66.7,0.28,0.0,1.39,,,,,,,,,,,,,,,,,,0.05
