player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
mateus-vital-282015,Mateus Vital,27,Brazil,175.0,Right,FW-MF,Shanghai Port,Chinese Super League,30,2487,82.9,5,8,0.18,0.29,0.17,0.17,0.07,0.24,0.17,2.7,0.68,25.0,19.2,3.38,0.17,1.01,36.98,85.9,4.56,0.84,4.22,4.56,2.03,1.35,53.3,33.94,1.69,52.35,20.94,3.04,39.68,1.52,0.17,0.68,5.57,0.34,22.2,0.0,0.0,0.84,,,,,,,,,,,,,,,,,,2.0
jussa-a36928,Jussa,29,Brazil,183.0,Left,MF,Shanghai Port,Chinese Super League,28,2519,90.0,1,1,0.04,0.04,0.05,0.06,0.02,0.08,0.06,1.07,0.46,42.9,22.9,1.12,0.0,0.61,34.04,83.2,4.03,0.2,4.28,0.71,0.51,0.66,76.5,27.11,0.46,49.79,6.06,0.71,31.14,1.73,0.76,0.76,5.1,1.33,54.2,0.46,0.0,2.24,,,,,,,,,,,,,,,,,,1.2
leo-db911f,Leo,28,Brazil,180.0,,FW,Shanghai Port,Chinese Super League,30,2402,80.1,21,6,0.79,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
yan-junling-606495,Yan Junling,34,China PR,191.0,Right,GK,Shanghai Port,Chinese Super League,27,2385,88.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabriel-airton-de-souza-8bf8bd,Gabriel Airton de Souza,29,Brazil,171.0,Right,FW-MF,Shanghai Port,Chinese Super League,26,2048,78.8,11,5,0.48,0.22,0.3,0.18,0.02,0.19,0.18,1.78,0.49,27.8,16.8,2.47,0.49,0.3,11.57,70.5,0.3,0.3,1.38,6.33,2.27,1.88,48.7,19.29,1.78,28.58,13.95,2.18,20.08,1.68,0.3,0.89,3.56,0.59,19.4,0.1,0.0,1.48,,,,,,,,,,,,,,,,,,0.8
li-shuai-7b476c,Li Shuai,30,China PR,180.0,Right,DF,Shanghai Port,Chinese Super League,25,2049,82.0,2,6,0.09,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyias-browning-7d168f,Tyias Browning,31,China PR,181.0,Right,DF,Shanghai Port,Chinese Super League,22,1879,85.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65
wumitijiang-yusupu-a8b7e5,Wumitijiang Yusupu,21,China PR,173.0,,DF,Shanghai Port,Chinese Super League,21,1694,80.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
liu-ruofan-3fb8e2,Liu Ruofan,26,China PR,186.0,,FW-MF,Shanghai Port,Chinese Super League,25,1329,53.2,5,6,0.34,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wang-shenchao-e49d64,Wang Shenchao,36,China PR,180.0,Right,DF-MF,Shanghai Port,Chinese Super League,28,1664,59.4,4,1,0.22,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
