player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
gabriel-pereira-631ed5,Gabriel Pereira,25.0,Brazil,186.0,,DF,FC Copenhagen,Danish Superliga,26,2146,82.5,3,1,0.13,0.04,0.16,0.06,0.02,0.08,0.06,0.79,0.16,20.0,19.3,0.79,0.32,0.16,67.58,89.5,4.11,0.0,3.95,0.16,0.47,0.16,100.0,57.47,0.63,86.21,2.68,0.79,63.32,1.74,1.58,0.79,5.37,2.53,57.1,0.16,0.0,1.11,,,,,,,,,,,,,,,,,,6.0
pantelis-hatzidiakos-c49461,Pantelis Hatzidiakos,28.0,Greece,181.0,Right,DF-MF,FC Copenhagen,Danish Superliga,24,2152,89.7,1,2,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6,0.2,0.0,79.45,90.5,4.38,0.2,5.97,0.2,0.8,0.2,100.0,66.9,0.0,95.97,1.0,0.2,75.86,0.6,0.8,0.2,3.19,3.39,77.3,0.2,0.0,0.6,,,,,,,,,,,,,,,,,,3.2
victor-froholdt-8c3125,Victor Froholdt,19.0,Denmark,179.0,,MF,FC Copenhagen,Danish Superliga,30,2022,67.4,3,2,0.13,0.09,0.12,0.12,0.13,0.26,0.12,0.91,0.3,33.3,14.3,2.24,0.3,1.03,23.53,82.7,2.12,0.36,2.97,3.52,2.24,1.21,55.6,22.38,1.76,39.24,12.01,2.0,24.2,1.27,1.09,1.39,4.55,1.03,47.2,0.06,0.0,1.58,,,,,,,,,,,,,,,,,,22.0
mohamed-elyounoussi-f1e9a5,Mohamed Elyounoussi,31.0,Norway,178.0,Right,FW-MF,FC Copenhagen,Danish Superliga,27,2002,74.1,8,7,0.36,0.31,0.0,0.13,0.07,0.23,0.13,1.98,0.66,33.3,20.9,3.96,0.0,1.32,26.04,67.5,1.32,0.99,4.29,5.93,2.31,0.33,14.3,27.03,1.65,48.79,20.77,2.31,36.59,1.98,0.33,0.0,4.95,3.3,71.4,0.0,0.0,1.32,,,,,,,,,,,,,,,,,,5.0
thomas-delaney-ad1936,Thomas Delaney,34.0,Denmark,182.0,Left,MF,FC Copenhagen,Danish Superliga,24,1649,68.7,5,3,0.27,0.16,0.0,0.11,0.02,0.13,0.11,1.52,0.19,12.5,15.4,2.08,0.0,0.57,60.06,83.6,7.39,0.95,7.77,0.57,0.76,0.19,25.0,44.91,0.76,84.88,12.13,1.14,58.93,2.27,1.89,0.95,5.49,3.41,54.5,0.19,0.0,2.27,,,,,,,,,,,,,,,,,,1.2
kevin-diks-5829f9,Kevin Diks,29.0,Indonesia,182.0,Right,DF,FC Copenhagen,Danish Superliga,24,1644,68.5,5,2,0.27,0.11,0.0,0.06,0.02,0.07,0.2,0.65,0.28,42.9,17.7,1.2,0.0,0.28,52.45,90.7,2.59,0.37,3.61,0.83,1.11,0.37,100.0,36.17,0.56,68.36,5.46,1.48,46.53,1.3,0.74,1.3,4.35,1.48,57.1,0.28,0.0,0.65,,,,,,,,,,,,,,,,,,5.0
jordan-larsson-0caf9b,Jordan Larsson,28.0,Sweden,175.0,Right,FW-MF,FC Copenhagen,Danish Superliga,19,1290,67.9,8,2,0.56,0.14,0.25,0.23,0.25,0.46,0.43,2.28,1.01,44.4,22.5,2.28,0.0,1.01,19.52,72.6,3.3,1.01,3.8,6.59,2.54,0.51,28.6,20.28,2.28,36.51,21.3,2.54,26.11,0.25,0.0,0.51,3.55,1.01,57.1,0.0,0.0,0.51,,,,,,,,,,,,,,,,,,2.5
nathan-trott-226bf0,Nathan Trott,27.0,England,184.0,Right,GK,FC Copenhagen,Danish Superliga,17,1530,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,4.2,2.6,61.9,20.0,0.35,-0.22,,28.4,23.9,26.5,0.2,8.8,2.4,0.2,0.4,0.4,
lukas-lerager-b7bb37,Lukas Lerager,32.0,Denmark,188.0,Right,MF,FC Copenhagen,Danish Superliga,24,1565,65.2,1,0,0.06,0.0,0.0,0.1,0.06,0.18,0.1,1.6,0.4,25.0,17.2,1.6,0.0,1.0,27.4,74.9,2.2,1.0,3.2,2.2,0.0,0.2,50.0,14.6,0.6,47.2,13.0,2.2,24.2,3.0,1.2,1.4,4.2,2.2,78.6,0.6,0.0,1.4,,,,,,,,,,,,,,,,,,1.8
rodrigo-huescas-0597b9,Rodrigo Huescas,22.0,Mexico,172.0,Right,DF-MF,FC Copenhagen,Danish Superliga,19,1504,79.2,1,2,0.06,0.12,0.21,0.21,0.04,0.27,0.21,1.45,0.62,42.9,12.0,2.07,0.0,0.62,50.69,85.7,1.86,1.45,3.93,4.97,3.52,0.83,57.1,36.83,1.03,69.52,19.66,3.72,45.93,2.07,1.45,1.66,4.55,0.83,44.4,0.41,0.0,0.83,,,,,,,,,,,,,,,,,,6.0
