player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
christoph-klarer-ef7abd,Christoph Klarer,25.0,Austria,191.0,Right,DF,Birmingham City,EFL League One,43,3813,88.7,1,3,0.02,0.07,0.06,0.05,0.03,0.08,0.05,0.39,0.06,14.3,14.1,0.94,0.06,0.22,64.61,87.6,3.72,0.17,4.28,0.17,0.89,0.28,50.0,48.17,0.61,85.5,3.56,1.17,57.94,1.0,1.44,0.39,4.39,5.28,73.6,0.22,0.0,0.89,,,,,,,,,,,,,,,,,,5.0
alex-cochrane-8d5504,Alex Cochrane,25.0,England,179.0,,DF-MF,Birmingham City,EFL League One,42,3598,85.7,1,2,0.03,0.05,0.07,0.02,0.12,0.15,0.02,0.55,0.2,37.5,26.3,2.19,0.34,0.96,47.66,72.0,5.33,0.55,6.15,2.05,1.02,0.2,50.0,34.62,0.68,75.73,15.98,0.2,42.88,1.16,1.02,0.55,2.46,1.57,50.0,0.14,0.0,0.34,,,,,,,,,,,,,,,,,,2.0
ryan-allsop-a1c43b,Ryan Allsop,33.0,England,189.0,Right,GK,Birmingham City,EFL League One,38,3419,90.0,0,1,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,2.38,1.25,52.6,25.0,0.36,-0.23,0.0,38.38,30.9,31.8,1.88,20.3,0.0,0.38,0.25,0.38,1.0
tomoki-iwata-1e1e5f,Tomoki Iwata,28.0,Japan,177.0,Both,DF-MF,Birmingham City,EFL League One,40,3311,82.8,6,1,0.16,0.03,0.06,0.11,0.09,0.2,0.11,1.45,0.3,20.8,17.6,2.48,0.36,1.27,41.94,78.5,3.87,1.15,4.72,3.21,1.39,0.12,33.3,29.9,1.15,61.74,14.71,1.45,36.98,1.57,0.67,0.91,4.24,1.39,62.2,0.3,0.0,1.15,,,,,,,,,,,,,,,,,,2.5
paik-seung-ho-8308f5,Paik Seung-ho,28.0,Korea Republic,182.0,,MF,Birmingham City,EFL League One,41,3292,80.3,1,3,0.03,0.08,0.26,0.07,0.07,0.14,0.07,1.37,0.39,28.6,19.7,2.49,0.26,1.05,38.62,84.3,3.21,0.65,4.65,3.08,0.79,0.59,69.2,25.4,0.85,54.59,12.5,1.57,35.74,1.7,0.79,0.52,3.99,1.64,64.1,0.2,0.0,1.11,,,,,,,,,,,,,,,,,,
willum-or-willumsson-f58690,Willum Þór Willumsson,27.0,Iceland,193.0,Left,MF,Birmingham City,EFL League One,41,3058,74.6,6,6,0.18,0.18,0.24,0.19,0.13,0.32,0.19,1.58,0.67,42.6,15.4,3.27,0.27,1.55,23.75,72.2,2.9,1.01,4.61,4.72,1.99,1.35,54.1,25.13,0.98,45.03,17.95,3.37,31.49,1.08,0.4,0.84,5.19,1.72,48.1,0.03,0.03,0.67,,,,,,,,,,,,,,,,,,
ben-davies-5c8f6c,Ben Davies,30.0,England,185.0,Right,DF,Birmingham City,EFL League One,35,2961,84.6,1,1,0.03,0.03,0.0,0.02,0.1,0.12,0.02,0.67,0.0,0.0,12.2,1.0,0.0,0.67,44.83,83.0,2.33,0.17,3.67,0.0,0.17,0.33,66.7,27.5,0.33,65.17,3.33,1.67,38.33,1.83,0.5,1.67,7.67,1.83,64.7,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,6.0
jay-stansfield-4d502d,Jay Stansfield,23.0,England,180.0,Right,FW-MF,Birmingham City,EFL League One,37,2683,72.5,19,3,0.64,0.1,0.38,0.26,0.15,0.41,0.42,2.37,0.77,32.4,19.4,2.24,0.32,1.34,8.89,61.8,0.9,0.7,1.92,5.12,2.05,0.83,28.9,14.01,1.28,26.1,14.33,3.65,15.1,0.96,0.45,0.7,3.52,0.13,5.6,0.26,0.0,2.17,,,,,,,,,,,,,,,,,,15.0
ethan-laird-24515c,Ethan Laird,24.0,England,177.0,Right,DF-MF,Birmingham City,EFL League One,35,2317,66.2,4,4,0.16,0.16,0.0,0.03,0.08,0.11,0.03,0.59,0.05,7.7,17.3,2.48,0.14,1.08,32.41,70.5,2.12,0.77,2.93,4.33,3.34,1.35,37.5,26.77,1.67,62.11,16.38,2.08,29.29,3.07,1.81,1.58,4.06,2.89,60.4,0.32,0.0,0.99,,,,,,,,,,,,,,,,,,3.0
keshi-anderson-64d674,Keshi Anderson,30.0,England,175.0,Right,FW-MF,Birmingham City,EFL League One,37,2206,59.6,7,5,0.29,0.2,0.16,0.09,0.09,0.19,0.09,1.42,0.63,44.4,15.1,3.79,0.32,1.58,28.58,74.2,0.95,0.95,1.89,9.0,3.47,0.79,31.3,31.11,1.89,53.05,24.16,3.47,36.32,2.37,0.32,1.26,5.21,0.79,41.7,0.16,0.0,0.95,,,,,,,,,,,,,,,,,,0.7
