player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
bilal-ould-chikh-59fcb5,Bilal Ould-Chikh,28.0,Morocco,170.0,Left,FW-MF,Volendam,Eerste Divisie,38,3204,84.3,4,20,0.11,0.56,0.08,0.05,0.2,0.25,0.05,1.1,0.21,19.2,22.8,3.81,0.34,1.91,17.87,68.5,0.76,1.36,2.2,6.01,4.36,2.88,43.9,24.48,2.67,37.44,22.07,2.03,24.48,0.68,0.21,0.42,4.62,0.04,6.3,0.13,0.0,0.21,,,,,,,,,,,,,,,,,,0.8
yannick-leliendal-1fdb5f,Yannick Leliendal,23.0,Suriname,169.0,Left,DF,Volendam,Eerste Divisie,37,3189,86.2,1,7,0.03,0.2,0.07,0.02,0.08,0.1,0.02,0.82,0.22,27.3,27.2,2.38,0.22,0.89,41.1,81.9,3.79,0.67,4.98,2.82,2.9,0.89,50.0,35.23,2.01,64.73,12.34,0.52,34.56,2.68,1.56,1.49,5.28,0.67,47.4,0.15,0.0,0.82,,,,,,,,,,,,,,,,,,1.0
henk-veerman-767580,Henk Veerman,32.0,Netherlands,201.0,Right,FW,Volendam,Eerste Divisie,37,3033,82.0,26,10,0.77,0.3,0.31,0.33,0.04,0.37,0.33,2.37,0.77,32.3,11.6,1.15,0.15,0.23,7.74,62.7,1.0,0.08,1.15,2.45,0.54,0.31,57.1,7.2,0.15,18.69,8.2,3.75,11.64,0.15,0.08,0.08,0.84,1.84,45.3,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,0.325
mawouna-amevor-872820,Mawouna Amevor,33.0,Togo,191.0,Right,DF,Volendam,Eerste Divisie,34,3060,90.0,2,0,0.06,0.09,0.0,0.01,0.08,0.09,0.01,0.09,0.0,0.0,7.9,0.97,0.18,0.26,42.09,89.7,2.21,0.18,2.47,0.0,0.62,0.0,,33.18,0.44,57.09,1.15,0.26,38.74,0.97,0.71,1.32,3.09,1.76,58.8,0.0,0.0,0.79,,,,,,,,,,,,,,,,,,0.225
xavier-mbuyamba-d624a8,Xavier Mbuyamba,23.0,Netherlands,195.0,Right,DF,Volendam,Eerste Divisie,34,3035,89.3,5,1,0.15,0.03,0.16,0.06,0.05,0.11,0.06,0.79,0.32,40.0,11.9,1.1,0.0,0.32,45.71,82.6,6.94,0.16,6.62,0.47,1.1,0.16,50.0,40.35,0.32,70.3,4.1,1.58,45.87,2.05,0.79,1.73,3.47,2.84,64.3,0.32,0.0,1.1,,,,,,,,,,,,,,,,,,1.0
robert-muhren-d37e26,Robert Mühren,36.0,Netherlands,186.0,Right,FW-MF,Volendam,Eerste Divisie,35,2703,77.2,18,8,0.6,0.27,0.48,0.5,0.08,0.59,0.5,2.48,1.33,53.7,11.8,1.15,0.18,0.67,7.98,62.3,0.3,0.12,0.48,3.27,0.36,0.18,27.3,8.41,0.18,20.38,9.01,3.87,10.71,0.91,0.42,0.3,1.81,1.45,38.7,0.0,0.06,0.6,,,,,,,,,,,,,,,,,,0.2
deron-payne-987cbc,Deron Payne,23.0,Trinidad and Tobago,182.0,,DF,Volendam,Eerste Divisie,31,2621,84.5,1,3,0.03,0.1,0.0,0.01,0.01,0.03,0.01,0.13,0.0,0.0,19.8,1.04,0.13,0.39,34.96,81.7,2.35,0.26,2.22,5.09,1.57,0.65,41.7,26.87,1.04,53.35,15.26,1.17,29.48,2.22,1.17,1.96,4.04,0.52,50.0,0.13,0.0,1.3,,,,,,,,,,,,,,,,,,0.6
kayne-van-oevelen-783038,Kayne van Oevelen,22.0,Netherlands,,,GK,Volendam,Eerste Divisie,28,2520,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,5.57,3.93,69.2,7.1,0.29,-0.09,,37.07,46.2,41.0,1.14,12.9,5.5,0.21,0.36,0.43,
brandley-kuwas-39487c,Brandley Kuwas,33.0,Curaçao,178.0,Left,FW-MF,Volendam,Eerste Divisie,29,2153,74.2,4,3,0.17,0.13,0.1,0.13,0.16,0.29,0.13,1.91,0.5,26.3,21.7,4.73,0.2,2.11,22.75,76.9,2.52,1.81,4.43,4.83,3.32,1.61,45.7,25.37,2.32,41.28,19.23,1.81,29.5,1.11,0.2,0.7,4.13,0.1,14.3,0.2,0.0,0.7,,,,,,,,,,,,,,,,,,0.3
jamie-jacobs-3c998a,Jamie Jacobs,27.0,Netherlands,182.0,,MF,Viborg,Danish Superliga,4,249,62.2,0,0,0.12,0.0,0.12,0.44,0.09,0.53,0.44,2.82,0.72,25.5,17.3,2.58,0.24,1.08,19.11,65.1,2.46,0.54,2.82,4.19,1.32,0.66,52.4,20.01,0.66,42.6,14.74,3.54,23.79,2.22,0.84,1.62,5.39,1.56,41.9,0.12,0.06,2.34,,,,,,,,,,,,,,,,,,0.4
milan-de-haan-da3b62,Milan de Haan,22.0,Netherlands,178.0,,MF,Volendam,Eerste Divisie,26,1466,56.4,3,2,0.18,0.12,0.12,0.12,0.02,0.14,0.12,1.49,0.41,27.8,19.4,1.24,0.17,0.46,16.7,71.3,1.62,0.33,1.86,1.53,0.66,0.46,57.9,16.53,0.7,33.15,8.83,1.28,17.24,1.99,0.46,1.28,4.02,0.62,45.5,0.12,0.0,1.12,,,,,,,,,,,,,,,,,,0.35
nordin-bukala-a7e334,Nordin Bukala,20.0,Netherlands,178.0,,MF,Volendam,Eerste Divisie,26,1032,39.7,1,1,0.09,0.09,0.08,0.16,0.01,0.17,0.16,0.65,0.24,37.5,13.7,0.97,0.16,0.32,22.34,82.4,2.02,0.24,2.66,1.69,0.48,0.48,46.2,18.95,0.65,38.39,9.11,0.97,20.97,2.66,1.77,2.18,3.71,0.56,53.8,0.16,0.0,1.21,,,,,,,,,,,,,,,,,,0.6
ben-aissa-ben-amar-cccb1d,Ben Aissa Ben Amar,28.0,Morocco,185.0,,DF,Volendam,Eerste Divisie,2,107,53.5,0,0,0.16,0.0,0.16,0.1,0.0,0.1,0.1,0.67,0.24,35.3,11.4,0.71,0.08,0.08,43.81,87.4,3.77,0.16,4.24,0.28,1.15,0.36,90.0,33.46,0.4,60.26,3.65,0.91,37.74,1.19,0.95,1.55,5.07,2.02,60.7,0.28,0.04,0.79,,,,,,,,,,,,,,,,,,0.5
elvis-manu-8323e3,Elvis Manu,27.0,Netherlands,175.0,Right,FW-MF,Volendam,Eerste Divisie,6,59,9.8,1,0,1.53,0.0,0.0,0.13,0.01,0.16,0.13,2.07,0.59,28.6,17.4,3.25,0.15,0.74,15.93,67.1,0.89,0.89,1.62,8.11,3.1,1.62,45.8,24.49,2.21,36.59,20.66,5.46,26.26,0.89,0.44,0.44,4.13,0.15,7.7,0.0,0.0,1.77,,,,,,,,,,,,,,,,,,0.15
casper-widell-444b9c,Casper Widell,22.0,Sweden,186.0,,DF,Excelsior,Eerste Divisie,35,3136,89.6,4,1,0.11,0.03,0.0,0.09,0.01,0.11,0.09,0.72,0.14,20.0,8.3,0.86,0.0,0.36,36.78,81.3,4.02,0.14,4.38,0.07,0.36,0.07,100.0,28.16,0.29,56.46,2.08,1.08,31.1,0.93,0.65,1.51,2.66,1.87,55.3,0.14,0.0,0.79,,,,,,,,,,,,,,,,,,0.9
ilias-bronkhorst-53fcc4,Ilias Bronkhorst,28.0,Netherlands,185.0,,DF,Excelsior,Eerste Divisie,37,3058,82.6,3,7,0.09,0.21,0.0,0.01,0.07,0.09,0.01,0.44,0.0,0.0,21.4,2.91,0.0,1.23,37.87,68.3,3.61,0.88,5.02,3.17,2.2,0.18,28.6,27.39,1.67,66.58,15.76,0.97,34.7,1.67,1.14,0.79,5.64,3.26,68.5,0.35,0.0,0.88,,,,,,,,,,,,,,,,,,0.65
arthur-zagre-8198f1,Arthur Zagre,24.0,France,168.0,Left,DF,Excelsior,Eerste Divisie,31,2494,80.5,2,3,0.07,0.11,0.0,0.09,0.03,0.11,0.24,1.0,0.1,10.0,21.4,2.09,0.0,0.6,32.46,79.7,2.69,0.6,3.39,2.09,1.69,1.0,41.7,26.08,1.59,53.86,13.74,2.29,26.88,2.49,1.39,1.99,6.27,0.5,71.4,0.4,0.1,1.89,,,,,,,,,,,,,,,,,,1.2
