player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
martin-zlomislic-c42edb,Martin Zlomislić,27.0,Bosnia and Herzegovina,190.0,,GK,Rijeka,Croatian Football League,34,3053,89.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.5,1.75,80.0,50.0,0.22,0.25,100.0,28.25,40.7,37.6,0.5,8.7,15.6,0.25,0.5,0.25,2.0
niko-jankovic-e1f35e,Niko Janković,24.0,Croatia,186.0,,MF,Rijeka,Hrvatska NL,34,2985,87.8,8,3,0.24,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
dejan-petrovic-bd5cc9,Dejan Petrovič,27.0,Slovenia,179.0,Right,MF,Rijeka,Croatian Football League,34,2871,84.4,1,3,0.03,0.09,0.0,0.03,0.0,0.03,0.03,0.33,0.0,0.0,22.5,0.67,0.0,0.33,32.33,80.8,1.33,0.33,2.0,0.0,0.0,0.0,,23.0,0.0,46.67,5.67,0.0,28.0,1.0,2.0,2.0,4.0,1.67,71.4,0.67,0.0,3.33,,,,,,,,,,,,,,,,,,1.5
ante-majstorovic-172c61,Ante Majstorović,32.0,Croatia,184.0,Right,DF,Rijeka,Croatian Football League,32,2758,86.2,0,1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.33,0.33,100.0,10.0,1.0,0.33,0.0,54.0,85.7,6.33,1.0,5.67,0.33,0.33,0.0,,51.33,0.67,75.33,3.33,1.0,53.0,0.67,2.67,1.67,6.0,3.0,90.0,0.33,0.0,1.33,,,,,,,,,,,,,,,,,,0.6
toni-fruk-27e689,Toni Fruk,24.0,Croatia,177.0,,FW-MF,Rijeka,Croatian Football League,33,2632,79.8,11,10,0.38,0.34,0.25,0.13,0.15,0.25,0.13,2.54,1.27,50.0,26.3,4.32,0.0,1.78,24.41,68.1,2.8,1.02,4.07,6.36,1.02,2.03,47.1,31.53,2.03,50.85,26.19,3.56,33.56,1.02,0.25,1.02,3.56,0.51,40.0,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,9.0
mladen-devetak-f707be,Mladen Devetak,26.0,Serbia,184.0,,DF,Rijeka,Croatian Football League,31,2655,85.6,1,2,0.03,0.07,0.0,0.03,0.0,0.03,0.03,0.67,0.67,100.0,18.2,0.33,0.33,0.0,38.33,86.5,3.33,0.0,3.33,0.33,1.0,0.0,,32.0,0.67,51.33,3.67,0.33,34.67,1.67,0.0,1.0,3.0,0.33,25.0,0.33,0.0,1.33,,,,,,,,,,,,,,,,,,1.0
lindon-selahi-7e8d0a,Lindon Selahi,26.0,Albania,180.0,Right,MF,Rijeka,Croatian Football League,30,1947,64.9,1,1,0.05,0.05,0.0,0.03,0.07,0.1,0.03,0.51,0.17,33.3,21.1,3.06,0.0,0.51,41.68,80.9,4.42,0.34,4.59,0.51,1.02,1.36,80.0,33.35,1.19,67.03,5.44,0.17,38.79,3.57,3.74,2.72,7.83,2.55,60.0,0.51,0.0,1.53,,,,,,,,,,,,,,,,,,2.0
stjepan-radeljic-83ddc6,Stjepan Radeljić,28.0,Bosnia and Herzegovina,185.0,Right,DF,Rijeka,Croatian Football League,27,1899,70.3,2,1,0.09,0.05,0.0,0.02,0.0,0.02,0.02,0.33,0.0,0.0,23.8,0.83,0.0,0.0,19.33,70.3,0.5,0.0,0.83,0.17,0.17,0.0,,14.17,0.33,39.5,1.33,0.5,17.0,2.17,2.17,2.17,4.5,0.5,33.3,0.17,0.0,0.33,,,,,,,,,,,,,,,,,,2.8
nais-djouahra-20e2ea,Naïs Djouahra,26.0,France,178.0,,MF,Rijeka,Croatian Football League,28,1808,64.6,4,4,0.2,0.2,0.51,0.07,0.1,0.17,0.07,1.52,0.81,53.3,22.2,1.22,0.1,0.51,21.39,73.0,1.22,0.81,2.94,4.46,1.62,1.22,50.0,20.47,1.93,38.51,16.11,1.11,25.84,1.11,1.01,0.71,2.43,0.2,40.0,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,1.5
marco-pasalic-be26f0,Marco Pašalić,25.0,Croatia,177.0,Left,MF,Rijeka,Croatian Football League,19,1359,71.5,4,3,0.26,0.2,0.42,0.28,0.2,0.48,0.28,3.57,1.44,40.2,20.6,3.57,0.32,1.58,24.88,78.5,2.66,2.0,4.8,6.87,3.05,1.96,52.3,29.09,2.45,43.91,21.66,3.12,32.77,0.84,0.46,1.12,3.26,0.07,11.8,0.11,0.0,0.7,,,,,,,,,,,,,,,,,,6.0
ivan-smolcic-fbd3af,Ivan Smolčić,25.0,Croatia,184.0,,DF,Rijeka,Croatian Football League,18,1563,86.8,1,2,0.06,0.12,0.0,0.06,0.08,0.14,0.06,0.77,0.21,27.3,11.7,1.33,0.0,0.56,46.61,83.6,3.3,0.49,3.65,2.04,0.49,0.0,0.0,31.8,0.56,67.46,10.39,1.26,37.56,2.67,1.4,1.54,3.58,1.33,48.7,0.49,0.0,1.54,,,,,,,,,,,,,,,,,,1.8
niko-galesic-bdaa11,Niko Galesic,24.0,Croatia,187.0,,DF,Rijeka,Hrvatska NL,16,1340,83.8,2,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
gabrijel-rukavina-37211b,Gabrijel Rukavina,21.0,Croatia,,,MF,Rijeka,Hrvatska NL,31,1104,35.6,3,1,0.24,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruno-bogojevic-90c688,Bruno Bogojević,27.0,Croatia,179.0,,DF,Rijeka,Hrvatska NL,27,1097,40.6,0,1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
duje-cop-1918c4,Duje Čop,35.0,Croatia,187.0,Right,FW,Rijeka,Croatian Football League,15,840,56.0,3,2,0.32,0.21,0.0,0.29,0.18,0.47,0.29,2.1,0.66,31.3,12.4,2.75,0.26,1.31,15.46,65.2,0.79,0.39,1.18,7.47,2.1,0.13,14.3,17.16,1.05,33.01,17.69,5.24,24.5,0.66,0.39,1.05,1.97,1.83,30.4,0.26,0.0,0.79,,,,,,,,,,,,,,,,,,0.1
amer-gojak-61cba4,Amer Gojak,28.0,Bosnia and Herzegovina,184.0,Right,MF,Rijeka,Croatian Football League,28,1103,39.4,0,2,0.0,0.16,0.0,0.34,0.03,0.37,0.34,2.03,1.02,50.0,21.1,1.69,0.0,0.68,26.73,75.2,2.03,1.02,3.38,6.43,3.72,1.35,44.4,33.16,2.03,49.74,21.32,3.38,33.83,1.02,1.02,1.35,4.4,1.02,60.0,0.0,0.0,1.69,,,,,,,,,,,,,,,,,,0.4
luka-menalo-b23bdd,Luka Menalo,29.0,Bosnia and Herzegovina,178.0,Right,MF,Rijeka,Croatian Football League,17,732,43.1,1,0,0.12,0.0,0.41,0.61,0.0,0.61,0.61,2.03,1.22,60.0,10.4,1.22,0.41,0.41,18.24,75.0,0.0,0.81,0.81,7.3,2.03,0.0,0.0,22.3,2.03,33.65,16.22,3.65,23.11,2.03,1.22,0.41,4.86,1.62,40.0,0.0,0.0,2.03,,,,,,,,,,,,,,,,,,0.3
ante-orec-23c443,Ante Orec,24.0,Croatia,183.0,,DF,Rijeka,Croatian Football League,7,460,65.7,0,0,0.0,0.27,0.0,0.03,0.11,0.14,0.03,0.54,0.0,0.0,24.5,1.9,0.27,0.82,31.0,67.5,1.9,0.82,0.82,5.71,2.99,1.36,50.0,26.1,0.82,58.46,20.66,1.9,28.55,2.99,0.27,1.36,4.08,1.09,57.1,0.27,0.0,1.36,,,,,,,,,,,,,,,,,,0.8
komnen-andric-5a5548,Komnen Andrić,30.0,Serbia,189.0,Both,FW,Rijeka,Croatian Football League,9,446,49.6,1,1,0.2,0.2,0.19,0.24,0.06,0.3,0.34,1.74,0.68,39.3,14.4,1.99,0.25,0.93,19.92,74.8,1.37,0.37,1.68,5.48,0.5,0.37,40.0,26.83,0.81,37.16,13.07,3.24,29.88,0.81,0.5,0.5,2.3,2.8,43.3,0.25,0.0,1.0,,,,,,,,,,,,,,,,,,0.85
bruno-goda-7b3231,Bruno Goda,27.0,Croatia,185.0,,DF,Rijeka,Croatian Football League,6,366,61.0,0,0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,,,0.86,0.0,0.86,50.29,78.9,2.29,0.29,4.0,4.57,1.14,0.57,50.0,38.29,0.86,76.29,21.14,0.57,45.71,4.0,2.57,1.71,4.57,0.86,37.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.9
franjo-ivanovic-50b815,Franjo Ivanović,22.0,Croatia,185.0,,FW,Union SG,Belgian Pro League,24,1759,73.3,11,4,0.56,0.2,0.66,0.53,0.03,0.56,0.53,3.65,1.16,31.8,14.9,2.65,0.17,0.66,16.57,70.9,0.83,0.5,1.99,7.13,2.32,2.65,57.1,25.03,2.98,40.11,22.04,5.97,28.34,1.16,0.17,1.82,5.47,1.49,30.0,0.17,0.0,0.66,,,,,,,,,,,,,,,,,,20.0
silvio-ilinkovic-4cdfdc,Silvio Ilinković,23.0,Bosnia and Herzegovina,179.0,,MF,Rijeka,Hrvatska NL,14,411,29.4,0,1,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
veldin-hodza-ef9e59,Veldin Hodža,23.0,Kosovo,183.0,,MF,Rijeka,Hrvatska NL,5,296,59.2,2,0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
mile-skoric-0779d2,Mile Škorić,34.0,Croatia,187.0,Left,DF-MF,Rijeka,Hrvatska NL,3,231,77.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
jovan-manev-acd850,Jovan Manev,24.0,North Macedonia,185.0,Right,DF,Rijeka,Hrvatska NL,7,264,37.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
marijan-cabraja-b78e86,Marijan Čabraja,28.0,Croatia,182.0,,DF,Rijeka,Hrvatska NL,2,125,62.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
simun-butic-840ac6,Simun Butic,19.0,Croatia,,,DF,Rijeka,Hrvatska NL,14,236,16.9,1,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
dominik-dogan-71b7fa,Dominik Dogan,26.0,Croatia,,,FW,Rijeka,Hrvatska NL,14,205,14.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
stipe-perica-dc5d49,Stipe Perica,30.0,Croatia,192.0,Right,FW,Dinamo,Liga I,16,1209,75.6,6,0,0.45,0.17,0.35,0.67,0.1,0.78,0.67,2.61,1.3,50.0,10.5,1.65,0.26,0.61,10.69,65.8,0.61,0.35,1.04,3.21,0.78,0.52,46.2,17.55,0.61,25.45,13.12,4.6,18.59,0.43,0.09,0.43,1.82,1.13,21.0,0.26,0.0,1.13,,,,,,,,,,,,,,,,,,0.65
josip-posavec-e2a665,Josip Posavec,29.0,Croatia,190.0,Right,GK,Rijeka,Hrvatska NL,1,90,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
niko-vucetic-bad68f,Niko Vucetic,19.0,Croatia,,,GK,Rijeka,Hrvatska NL,1,90,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel-banda-32f32d,Emmanuel Banda,28.0,Zambia,178.0,Left,MF,Rijeka,Croatian Football League,1,20,20.0,0,0,0.65,0.32,0.65,0.39,0.13,0.52,0.39,2.92,1.3,44.4,14.7,1.95,0.65,0.32,36.07,78.2,4.87,0.32,4.22,2.6,1.62,0.65,50.0,32.17,0.32,61.08,10.4,2.92,43.54,3.57,1.3,2.27,5.85,0.97,25.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,0.5
cherno-saho-f38bb6,Cherno Saho,20.0,Gambia,,,FW,Rijeka,Hrvatska NL,1,14,14.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domagoj-maric-2034fc,Domagoj Maric,,Croatia,,,GK,Rijeka,Hrvatska NL,1,7,7.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruno-burcul-cb1287,Bruno Burčul,21.0,Croatia,,,DF,Rijeka,Hrvatska NL,1,1,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
andro-babic-223051,Andro Babić,21.0,Croatia,181.0,,MF,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
noel-bodetic-6ae094,Noel Bodetić,21.0,Croatia,178.0,,DF,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
noel-jakac-020a21,Noel Jakac,,Croatia,,,FW,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovro-kitin-88b497,Lovro Kitin,18.0,Croatia,,,DF,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
vito-kovac-ebea7c,Vito Kovac,17.0,Croatia,192.0,,GK,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikola-medojevic-876560,Nikola Medojević,20.0,Montenegro,,,MF,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
lukas-murica-60dd27,Lukas Murica,17.0,Croatia,179.0,,FW,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petar-raguz-0f9544,Petar Raguž,29.0,Croatia,,Right,MF,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominik-thaqi-d9dabf,Dominik Thaqi,18.0,Croatia,178.0,,FW,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aleksa-todorovic-4c0cf8,Aleksa Todorović,21.0,Serbia,193.0,,GK,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
rajan-zlibanovic-12b1c3,Rajan Zlibanovic,18.0,Croatia,180.0,,MF,Rijeka,Hrvatska NL,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marko-pjaca-20b003,Marko Pjaca,30.0,Croatia,186.0,Right,FW-MF,Dinamo Zagreb,Croatian Football League,34,2365,69.6,6,6,0.23,0.23,0.2,0.26,0.24,0.5,0.26,2.0,1.4,70.0,15.1,3.99,0.6,2.2,34.52,82.8,2.0,2.79,3.79,9.58,4.19,2.39,52.2,36.92,2.2,55.48,27.54,5.99,43.1,1.8,1.4,0.6,3.59,1.2,54.5,0.2,0.0,1.0,,,,,,,,,,,,,,,,,,2.7
martin-baturina-fe8315,Martin Baturina,22.0,Croatia,177.0,,MF,Dinamo Zagreb,Croatian Football League,33,2353,71.3,4,10,0.15,0.38,0.29,0.12,0.2,0.32,0.12,1.6,0.44,27.3,24.5,3.78,0.44,1.74,30.1,83.5,2.76,1.89,5.09,3.05,4.65,2.91,51.3,29.81,2.18,48.56,18.61,1.89,31.99,1.74,0.58,1.31,6.69,0.0,0.0,0.29,0.0,1.02,,,,,,,,,,,,,,,,,,20.0
ronael-pierre-gabriel-45e813,Ronaël Pierre-Gabriel,27.0,France,177.0,Right,DF,Dinamo Zagreb,Croatian Football League,28,2279,81.4,3,2,0.12,0.08,0.0,0.02,0.07,0.08,0.02,0.34,0.0,0.0,20.7,1.69,0.34,1.18,22.92,81.9,2.19,1.18,3.2,3.54,2.36,1.69,58.8,17.7,1.35,39.61,8.76,0.84,20.39,3.37,0.84,1.01,3.03,0.34,40.0,0.0,0.0,0.67,,,,,,,,,,,,,,,,,,3.5
josip-misic-0de18a,Josip Mišić,31.0,Croatia,187.0,Right,MF,Dinamo Zagreb,Croatian Football League,25,2163,86.5,0,2,0.0,0.08,0.0,0.05,0.08,0.13,0.05,1.1,0.0,0.0,23.6,2.67,0.16,1.1,54.6,88.3,6.61,0.79,5.51,0.79,0.94,0.16,33.3,42.17,1.1,70.96,11.96,0.16,48.62,1.73,2.05,1.42,5.98,0.47,60.0,0.16,0.0,0.63,,,,,,,,,,,,,,,,,,1.5
