player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
shuichi-gonda-7e0367,Shūichi Gonda,36.0,Japan,188.0,Right,GK,S-Pulse,J2 League,35,3150,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.75,3.75,84.2,0.0,0.24,0.33,0.0,21.5,44.2,35.8,0.0,8.4,6.6,0.5,0.25,0.25,0.15
reon-yamahara-d8d4f7,Reon Yamahara,26.0,Japan,165.0,,DF-MF,S-Pulse,J2 League,34,2879,84.7,3,7,0.09,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65
lucas-braga-78c41c,Lucas Braga,29.0,Brazil,184.0,Right,DF-FW-MF,S-Pulse,J2 League,35,2253,64.4,8,0,0.32,0.0,0.09,0.18,0.07,0.24,0.18,1.02,0.37,36.4,14.9,1.49,0.0,0.46,21.85,79.9,1.77,0.46,2.7,4.65,2.14,0.74,30.8,24.73,1.77,39.7,14.23,1.86,27.71,1.95,0.56,1.39,3.25,0.84,25.7,0.09,0.0,1.21,,,,,,,,,,,,,,,,,,0.9
jelani-sumiyoshi-eb7428,Jelani Sumiyoshi,28.0,Japan,181.0,Right,DF,S-Pulse,J2 League,31,2716,87.6,4,1,0.13,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryotaro-nakamura-670216,Ryotaro Nakamura,28.0,Japan,179.0,Right,MF,S-Pulse,J2 League,36,2699,75.0,1,2,0.03,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375
kota-miyamoto-4c909b,Kota Miyamoto,29.0,Japan,176.0,,MF,S-Pulse,J2 League,35,2644,75.5,2,2,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
koya-kitagawa-3cdba8,Koya Kitagawa,29.0,Japan,178.0,Right,FW,S-Pulse,J2 League,34,2491,73.3,12,6,0.43,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
yuji-takahashi-f9cfd7,Yuji Takahashi,32.0,Japan,185.0,,DF,S-Pulse,J2 League,30,2388,79.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325
carlinhos-803f87,Carlinhos,31.0,Brazil,175.0,,FW-MF,S-Pulse,J2 League,32,2035,63.6,5,2,0.22,0.09,0.0,0.34,0.02,0.38,0.34,2.78,0.64,23.1,18.3,1.28,0.21,0.64,15.18,59.7,1.28,0.21,1.92,5.13,4.7,1.71,42.1,23.94,2.78,39.98,14.54,2.99,28.0,1.71,1.07,0.86,4.92,1.92,69.2,0.64,0.0,1.92,,,,,,,,,,,,,,,,,,0.9
takashi-inui-4a9961,Takashi Inui,37.0,Japan,169.0,Right,FW-MF,S-Pulse,J1 League,36,2504,69.6,3,2,0.11,0.07,0.05,0.12,0.08,0.21,0.12,1.83,0.84,45.9,20.2,2.13,0.05,0.69,17.47,66.5,1.29,0.79,2.72,5.89,2.92,1.29,41.3,23.4,1.09,37.45,21.23,2.37,26.32,0.64,0.59,0.94,4.4,0.3,23.1,0.0,0.0,1.39,,,,,,,,,,,,,,,,,,0.15
teruki-hara-1224c9,Teruki Hara,27.0,Japan,180.0,,DF-MF,S-Pulse,J2 League,24,2021,84.2,3,4,0.13,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
yutaka-yoshida-bc621e,Yutaka Yoshida,35.0,Japan,168.0,,DF-MF,S-Pulse,J2 League,29,1394,48.1,0,1,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125
shinya-yajima-533175,Shinya Yajima,31.0,Japan,171.0,,MF,S-Pulse,J2 League,32,1275,39.8,6,5,0.42,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
sodai-hasukawa-b1846a,Sodai Hasukawa,27.0,Japan,182.0,,DF,S-Pulse,J2 League,18,1243,69.1,1,1,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
zento-uno-25a6a6,Zento Uno,22.0,Japan,176.0,Right,MF,S-Pulse,J2 League,12,930,77.5,2,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
kengo-kitazume-ccdaba,Kengo Kitazume,33.0,Japan,177.0,,DF-MF,S-Pulse,J2 League,29,1140,39.3,0,4,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175
