player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
sean-gannon-81407d,Sean Gannon,34.0,Republic of Ireland,183.0,Right,DF,Shelbourne FC,League of Ireland Premier Division,33,2919,88.5,0,1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4,0.0,0.0,29.47,76.3,2.79,0.0,1.59,0.0,0.4,0.4,100.0,22.3,0.4,46.19,1.59,0.0,28.67,3.19,1.19,1.19,4.78,0.8,66.7,0.8,0.0,1.19,,,,,,,,,,,,,,,,,,0.1
paddy-barrett-eb53db,Paddy Barrett,32.0,Republic of Ireland,180.0,Right,DF,Shelbourne FC,League of Ireland Premier Division,31,2762,89.1,0,1,0.0,0.03,0.0,0.03,0.0,0.03,0.03,0.25,0.0,0.0,13.9,0.25,0.0,0.0,33.0,81.0,1.5,0.0,1.5,0.0,0.0,0.0,,24.25,0.25,53.0,0.25,0.25,30.25,0.5,0.25,1.5,2.0,1.75,58.3,0.5,0.0,1.0,,,,,,,,,,,,,,,,,,0.2
mark-coyle-3fd66c,Mark Coyle,28.0,Republic of Ireland,180.0,,MF,Shelbourne FC,League of Ireland Premier Division,31,2510,81.0,2,1,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,32.63,87.5,1.79,0.0,2.51,0.0,0.0,0.0,,21.51,0.0,48.76,1.08,0.0,23.67,1.43,1.79,1.79,4.66,0.72,66.7,0.0,0.0,1.08,,,,,,,,,,,,,,,,,,0.15
jonathan-lunney-0ccef7,Jonathan Lunney,27.0,Republic of Ireland,178.0,,MF,Shelbourne FC,League of Ireland Premier Division,31,2517,81.2,0,1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.59,0.0,0.3,43.37,90.7,2.97,0.0,3.86,0.0,0.0,0.3,100.0,30.0,0.3,54.95,4.16,0.59,34.16,2.38,2.08,0.89,5.05,0.59,40.0,0.3,0.0,1.49,,,,,,,,,,,,,,,,,,0.125
kameron-ledwidge-fdcb0f,Kameron Ledwidge,24.0,Republic of Ireland,180.0,,DF,Shelbourne FC,League of Ireland Premier Division,33,2156,65.3,0,0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.3,0.0,0.0,31.9,0.61,0.0,0.3,31.62,75.9,1.82,0.0,0.61,0.91,0.3,0.61,100.0,22.8,0.0,46.82,4.26,0.3,27.97,0.3,0.0,0.91,3.34,0.3,33.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.15
harry-wood-d4829a,Harry Wood,23.0,England,175.0,,FW-MF,Shelbourne FC,League of Ireland Premier Division,13,638,49.1,1,1,0.14,0.14,0.0,0.1,0.07,0.17,0.1,2.32,0.0,0.0,22.0,2.66,0.0,1.66,23.91,63.7,2.99,0.33,3.32,4.98,2.32,1.33,30.8,29.23,2.32,52.47,21.25,1.99,36.2,2.66,1.0,1.33,5.31,1.66,45.5,0.33,0.0,2.66,,,,,,,,,,,,,,,,,,0.125
aiden-obrien-8bf365,Aiden O'Brien,32.0,Republic of Ireland,173.0,Right,FW-MF,Shelbourne FC,League of Ireland Premier Division,8,459,57.4,1,0,0.2,0.0,0.41,0.23,0.03,0.27,0.23,1.22,0.54,44.4,13.4,1.63,0.27,0.54,15.09,74.5,0.41,0.14,0.54,5.98,1.36,1.09,44.4,18.35,0.82,32.63,15.23,2.86,18.63,1.9,1.22,0.27,5.57,1.63,41.4,0.14,0.0,0.95,,,,,,,,,,,,,,,,,,0.175
leon-maurice-pohls-813ed8,Léon-Maurice Pöhls,28.0,Germany,184.0,,GK,Shamrock Rovers,League of Ireland Premier Division,35,3150,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.83,2.33,60.9,16.7,0.36,-0.18,,17.33,39.4,34.6,0.67,11.2,1.8,0.5,0.33,0.17,
pico-dac906,Pico,33.0,Cape Verde,186.0,,DF,Shamrock Rovers,League of Ireland Premier Division,33,2818,85.4,1,0,0.03,0.0,0.0,0.04,0.0,0.04,0.04,0.36,0.12,33.3,8.7,0.48,0.0,0.0,26.52,76.7,1.08,0.0,1.56,0.0,0.12,0.12,50.0,21.24,0.24,46.56,1.56,0.72,22.68,2.04,0.84,2.16,5.28,1.56,43.3,0.36,0.0,1.2,,,,,,,,,,,,,,,,,,20.0
daniel-cleary-d838a0,Daniel Cleary,29.0,Republic of Ireland,183.0,Right,DF,Shamrock Rovers,League of Ireland Premier Division,31,2514,81.1,1,1,0.04,0.04,0.0,0.01,0.03,0.04,0.01,0.29,0.0,0.0,7.9,0.57,0.0,0.14,23.29,76.2,2.14,0.0,0.86,0.71,0.14,0.0,0.0,18.0,0.29,40.14,3.29,1.0,22.0,1.14,0.57,1.43,2.14,1.0,53.8,0.43,0.0,1.14,,,,,,,,,,,,,,,,,,0.275
