player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
andy-polo-89fe62,Andy Polo,31.0,Peru,175.0,Right,DF-FW-MF,Universitario,Liga 1,34,3055,89.9,3,12,0.09,0.35,0.0,0.05,0.16,0.21,0.05,1.0,0.0,0.0,21.5,3.13,0.25,1.38,36.05,77.6,3.88,0.75,4.51,4.26,1.75,1.0,50.0,23.91,1.13,56.7,21.78,1.75,27.29,1.88,1.5,1.13,5.01,0.38,25.0,0.25,0.0,0.88,,,,,,,,,,,,,,,,,,0.9
william-riveros-8a7905,William Riveros,33.0,Paraguay,179.0,,DF,Universitario,Liga 1,34,3052,89.8,4,0,0.12,0.0,0.0,0.02,0.02,0.03,0.02,0.15,0.0,0.0,16.8,0.15,0.0,0.15,20.07,75.4,1.52,0.0,1.82,0.0,0.0,0.3,100.0,13.83,0.0,40.29,0.46,0.46,15.05,1.37,0.91,0.91,3.5,2.13,53.8,0.0,0.15,0.3,,,,,,,,,,,,,,,,,,0.5
matias-di-benedetto-25550e,Matías Di Benedetto,33.0,Argentina,184.0,Left,DF,Universitario,Liga 1,33,2842,86.1,0,1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,14.0,0.0,0.0,0.0,15.5,68.9,1.67,0.0,1.17,0.0,0.17,0.0,0.0,14.67,0.0,36.0,1.33,0.67,14.33,1.83,1.33,1.0,2.5,2.67,66.7,0.17,0.0,0.83,,,,,,,,,,,,,,,,,,0.35
aldo-corzo-d4dbe7,Aldo Corzo,36.0,Peru,177.0,Right,DF,Universitario,Liga 1,30,2647,88.2,1,0,0.03,0.0,0.0,0.06,0.0,0.06,0.06,0.6,0.0,0.0,8.3,1.0,0.0,0.0,23.0,82.1,2.2,0.2,2.6,0.0,0.6,0.2,100.0,16.2,0.4,40.6,3.2,1.2,17.6,1.6,1.6,1.0,2.8,1.4,43.8,0.6,0.0,1.6,,,,,,,,,,,,,,,,,,0.225
martin-perez-guedes-d0b2d3,Martín Pérez Guedes,34.0,Argentina,179.0,,MF,Universitario,Liga 1,33,2275,68.9,10,0,0.4,0.0,0.0,0.08,0.12,0.2,0.08,2.4,1.2,50.0,20.8,2.8,0.0,1.2,27.6,69.0,2.0,0.8,3.2,8.0,0.8,0.0,,31.6,2.0,52.4,20.8,2.4,38.0,1.6,0.4,0.8,5.2,2.0,45.5,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,0.35
edison-flores-f59e5e,Edison Flores,31.0,Peru,170.0,Left,FW-MF,Universitario,Liga 1,32,2127,66.5,9,5,0.38,0.21,0.17,0.23,0.12,0.35,0.23,2.01,1.01,50.0,19.8,3.18,0.34,1.34,19.11,76.5,1.84,1.17,3.69,4.86,1.51,0.84,62.5,18.1,1.51,32.85,16.76,2.01,23.8,0.84,0.34,0.34,4.02,1.34,53.3,0.17,0.0,1.17,,,,,,,,,,,,,,,,,,0.85
sebastian-britos-db492c,Sebastián Britos,37.0,Uruguay,190.0,Right,GK-MF,Universitario,Liga 1,27,2430,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
jairo-concha-81421a,Jairo Concha,26.0,Peru,174.0,,MF,Universitario,Liga 1,32,1901,59.4,1,7,0.05,0.33,0.17,0.05,0.15,0.2,0.05,1.71,0.34,20.0,26.6,3.76,0.34,2.39,33.3,73.0,4.27,2.22,6.66,3.24,0.51,0.85,50.0,30.4,1.02,57.21,16.91,0.68,35.01,2.73,1.71,1.02,8.54,0.85,45.5,0.34,0.0,0.68,,,,,,,,,,,,,,,,,,1.6
alex-valera-6b2b8a,Álex Valera,29.0,Peru,183.0,,FW,Universitario,Liga 1,26,1939,74.6,13,4,0.6,0.19,0.18,0.25,0.02,0.26,0.25,3.18,1.06,33.3,18.5,1.24,0.0,0.35,21.35,72.5,1.41,0.35,1.24,5.82,0.88,0.71,33.3,20.65,0.88,42.0,19.76,4.24,30.18,0.18,0.18,1.24,3.88,4.94,53.8,0.35,0.0,1.41,,,,,,,,,,,,,,,,,,1.0
rodrigo-urena-1bfcdd,Rodrigo Ureña,32.0,Chile,178.0,,MF,Universitario,Liga 1,21,1642,78.2,1,1,0.05,0.05,0.0,0.0,0.1,0.1,0.0,0.21,0.0,0.0,31.1,2.92,0.0,1.25,34.04,72.1,4.8,0.63,5.85,0.21,0.21,0.84,57.1,25.89,0.42,54.71,7.1,0.42,32.78,1.67,0.84,0.84,5.64,1.46,77.8,0.21,0.0,0.42,,,,,,,,,,,,,,,,,,0.8
segundo-portocarrero-affba2,Segundo Portocarrero,29.0,Ecuador,182.0,,DF-MF,Universitario,Liga 1,33,1788,54.2,1,1,0.05,0.05,0.0,0.05,0.02,0.05,0.05,1.06,0.0,0.0,19.7,1.76,0.0,0.53,16.24,65.2,0.53,0.71,0.53,3.18,2.82,0.88,41.7,18.53,2.12,36.35,15.35,1.94,20.12,1.41,0.53,0.88,3.0,0.88,35.7,0.18,0.0,1.59,,,,,,,,,,,,,,,,,,0.5
nelson-cabanillas-84c4aa,Nelson Cabanillas,25.0,Peru,170.0,,DF-MF,Universitario,Liga 1,27,1271,47.1,0,1,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
horacio-calcaterra-506e83,Horacio Calcaterra,36.0,Peru,175.0,Right,MF,Universitario,Liga 1,33,1463,44.3,2,4,0.12,0.25,0.0,0.06,0.02,0.08,0.06,1.13,0.0,0.0,17.8,1.51,0.0,0.38,34.27,83.9,3.01,0.94,4.14,3.2,0.56,0.94,100.0,26.92,0.75,52.91,12.99,0.94,35.77,3.39,0.75,0.94,4.52,0.38,33.3,0.19,0.0,0.94,,,,,,,,,,,,,,,,,,0.225
jorge-murrugarra-0c63b4,Jorge Murrugarra,28.0,Peru,178.0,,MF,Universitario,Liga 1,23,993,43.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.68,0.0,0.0,23.35,67.0,3.38,0.0,1.69,1.02,0.34,0.34,50.0,15.9,0.0,46.02,2.37,0.0,20.98,3.05,2.03,1.69,4.74,1.35,44.4,0.34,0.0,2.71,,,,,,,,,,,,,,,,,,0.5
jose-rivera-cc913c,José Rivera,28.0,Peru,172.0,,FW-MF,Universitario,Liga 1,28,908,32.4,9,1,0.89,0.1,0.87,0.22,0.0,0.22,0.22,1.75,1.31,75.0,11.8,1.31,0.0,0.44,11.36,76.5,0.44,0.0,0.44,6.12,0.44,0.0,0.0,17.04,0.44,25.34,13.11,2.18,20.53,0.44,0.44,0.44,3.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.01
diego-romero-c56feb,Diego Romero,24.0,Peru,173.0,,GK,Universitario,Liga 1,7,630,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diego-fernando-dorregaray-211977,Diego Fernando Dorregaray,33.0,Argentina,187.0,,FW,Universitario,Liga 1,17,603,35.5,4,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
christofer-gonzales-d43fd4,Christofer Gonzáles,33.0,Peru,176.0,,FW-MF,Universitario,Liga 1,12,459,38.2,0,0,0.0,0.23,0.0,0.16,0.09,0.23,0.16,1.8,0.45,25.0,19.1,2.03,0.23,0.68,24.08,74.3,2.48,0.45,3.38,3.83,1.8,1.13,35.7,23.85,0.45,45.45,15.08,2.93,30.15,1.35,1.13,2.03,4.95,0.68,25.0,0.23,0.0,1.58,,,,,,,,,,,,,,,,,,0.375
gustavo-dulanto-99fd82,Gustavo Dulanto,30.0,Peru,194.0,Left,DF,Universitario,Liga 1,6,392,65.3,0,0,0.0,0.0,0.0,0.12,0.02,0.13,0.12,0.5,0.0,0.0,8.0,0.5,0.0,0.17,25.83,77.9,1.17,0.0,0.33,0.0,0.17,0.17,100.0,27.33,0.17,46.33,1.5,0.83,26.5,2.83,1.0,2.33,4.17,1.5,60.0,0.5,0.0,0.67,,,,,,,,,,,,,,,,,,0.4
gabriel-costa-dc9395,Gabriel Costa,35.0,Peru,170.0,Right,FW-MF,Universitario,Liga 1,15,463,30.9,1,0,0.19,0.35,0.0,0.09,0.3,0.39,0.09,1.24,0.53,42.9,22.5,3.71,0.35,1.95,30.24,70.4,4.07,1.06,6.01,9.37,2.12,1.41,47.1,31.83,1.95,54.81,25.46,3.18,38.9,1.06,0.35,1.95,6.9,0.88,55.6,0.35,0.0,1.41,,,,,,,,,,,,,,,,,,0.6
christopher-olivares-449af4,Christopher Olivares,26.0,Peru,188.0,,FW,Universitario,Liga 1,10,272,27.2,2,0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325
