player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
anthony-moris-4192a9,Anthony Moris,35.0,Luxembourg,184.0,Right,GK,Union SG,Belgian Pro League,30,2700,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,4.0,2.6,70.0,0.0,0.39,0.34,0.0,30.6,49.7,37.7,0.4,15.7,6.5,0.6,0.0,0.4,1.8
noah-sadiki-c4cda4,Noah Sadiki,20.0,Congo DR,183.0,Right,MF,Union SG,Belgian Pro League,29,2424,83.6,1,2,0.04,0.07,0.0,0.01,0.09,0.1,0.01,0.23,0.0,0.0,19.0,1.93,0.18,0.76,34.18,85.2,3.11,1.06,3.93,2.7,1.93,1.11,65.5,31.37,1.35,49.49,12.14,0.76,32.6,1.7,1.35,1.52,4.28,0.06,7.1,0.35,0.0,1.06,,,,,,,,,,,,,,,,,,17.0
kevin-mac-allister-af6750,Kevin Mac Allister,28.0,Argentina,180.0,,DF,Union SG,Belgian Pro League,26,2030,78.1,2,0,0.09,0.0,0.04,0.04,0.04,0.09,0.04,0.46,0.21,45.5,12.2,0.95,0.08,0.29,44.52,81.4,4.72,0.46,5.01,0.74,0.7,0.12,50.0,35.54,0.62,69.27,7.66,0.95,36.46,3.64,1.66,1.61,3.48,2.32,53.8,0.29,0.0,1.82,,,,,,,,,,,,,,,,,,9.0
charles-vanhoutte-1cdbf8,Charles Vanhoutte,27.0,Belgium,182.0,Right,MF,Union SG,Belgian Pro League,24,2029,84.5,1,3,0.04,0.13,0.0,0.01,0.12,0.13,0.01,0.44,0.19,42.9,26.1,2.27,0.44,1.2,44.21,81.5,4.03,0.57,4.35,1.45,0.88,0.31,45.5,33.19,0.94,65.44,11.78,0.76,38.42,2.52,1.01,1.45,5.42,1.57,61.0,0.44,0.0,1.39,,,,,,,,,,,,,,,,,,7.0
koki-machida-dd36c4,Koki Machida,28.0,Japan,190.0,,DF,Union SG,Belgian Pro League,25,1886,75.4,0,0,0.0,0.0,0.0,0.06,0.06,0.13,0.06,0.75,0.25,33.3,7.8,1.26,0.13,0.38,43.87,80.2,4.78,0.38,6.28,1.13,1.01,0.0,,37.46,1.26,66.62,9.3,1.38,34.69,2.14,0.5,1.26,4.4,2.89,69.7,0.25,0.13,1.13,,,,,,,,,,,,,,,,,,7.0
franjo-ivanovic-50b815,Franjo Ivanović,22.0,Croatia,185.0,,FW,Union SG,Belgian Pro League,24,1759,73.3,11,4,0.56,0.2,0.66,0.53,0.03,0.56,0.53,3.65,1.16,31.8,14.9,2.65,0.17,0.66,16.57,70.9,0.83,0.5,1.99,7.13,2.32,2.65,57.1,25.03,2.98,40.11,22.04,5.97,28.34,1.16,0.17,1.82,5.47,1.49,30.0,0.17,0.0,0.66,,,,,,,,,,,,,,,,,,20.0
christian-burgess-ada543,Christian Burgess,34.0,England,196.0,Right,DF,Union SG,Belgian Pro League,21,1890,90.0,0,2,0.0,0.1,0.0,0.11,0.02,0.14,0.11,0.55,0.0,0.0,9.1,0.87,0.11,0.11,40.68,81.4,2.52,0.11,2.84,0.11,0.44,0.0,0.0,34.01,0.22,62.88,2.08,1.31,35.87,1.42,1.2,1.09,4.59,2.84,59.1,0.44,0.11,1.2,,,,,,,,,,,,,,,,,,2.0
fedde-leysen-747345,Fedde Leysen,22.0,Belgium,191.0,Right,DF,Union SG,Belgian Pro League,23,1562,67.9,0,0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,1.05,0.0,0.0,13.9,1.05,0.0,0.53,44.12,84.8,3.52,0.53,3.87,0.18,0.18,0.18,100.0,31.99,0.53,64.16,5.1,0.88,34.1,3.52,0.7,0.53,5.98,1.41,50.0,0.18,0.0,1.05,,,,,,,,,,,,,,,,,,5.0
anan-khalaili-6db7b0,Anan Khalaili,21.0,Israel,183.0,Right,DF-MF,Union SG,Belgian Pro League,24,1500,62.5,1,2,0.06,0.12,0.0,0.03,0.11,0.15,0.03,0.91,0.0,0.0,18.2,1.81,0.0,1.25,28.34,70.4,2.72,0.79,3.97,4.53,2.04,1.25,40.7,29.36,1.02,56.34,15.08,1.13,31.74,3.4,2.49,1.47,6.46,1.59,51.9,0.34,0.0,0.79,,,,,,,,,,,,,,,,,,12.0
promise-david-964d50,Promise David,24.0,Canada,196.0,Right,FW,Union SG,Belgian Pro League,24,1377,57.4,11,4,0.72,0.26,0.54,0.63,0.2,0.83,0.8,3.12,1.29,41.4,12.8,2.75,0.32,1.29,9.96,54.3,0.86,0.59,1.99,7.32,2.1,0.75,35.0,18.46,0.59,31.11,17.98,7.81,21.8,0.43,0.22,0.75,2.21,3.18,60.8,0.27,0.0,2.21,,,,,,,,,,,,,,,,,,13.0
