player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
joshua-kimmich-5ae546,Joshua Kimmich,30.0,Germany,176.0,Right,DF-MF,Bayern Munich,Bundesliga,33,2847,86.3,3,7,0.09,0.22,0.09,0.08,0.25,0.32,0.08,1.04,0.34,32.6,22.6,4.91,0.52,2.51,92.38,88.1,12.11,2.24,10.01,2.51,1.4,0.38,54.8,71.03,2.11,112.05,31.24,0.81,86.67,1.13,0.75,0.81,4.89,0.38,56.7,0.16,0.0,0.38,,,,,,,,,,,,,,,,,,45.0
harry-kane-d68334,Harry Kane,32.0,England,188.0,Right,FW,Bayern Munich,Bundesliga,31,2381,76.8,26,9,0.98,0.34,0.7,0.51,0.21,0.73,0.72,3.75,1.71,45.5,14.8,3.13,0.62,1.32,20.19,78.4,2.17,1.01,3.36,4.65,0.98,0.8,42.5,21.17,0.78,36.58,18.93,5.89,27.54,0.65,0.28,0.8,2.28,1.32,53.7,0.13,0.0,0.72,,,,,,,,,,,,,,,,,,75.0
michael-olise-a7c5fc,Michael Olise,23.0,France,178.0,Left,FW-MF,Bayern Munich,Bundesliga,34,2334,68.6,12,15,0.46,0.58,0.39,0.4,0.46,0.85,0.42,3.55,1.35,38.1,18.0,6.56,0.94,3.21,50.26,81.0,3.35,3.76,6.95,13.83,5.12,2.61,45.8,52.65,2.99,76.42,48.74,6.49,61.05,1.06,0.53,1.06,3.91,0.34,38.9,0.17,0.0,1.09,,,,,,,,,,,,,,,,,,130.0
manuel-neuer-06cd3d,Manuel Neuer,39.0,Germany,193.0,Right,GK,Bayern Munich,Bundesliga,22,1980,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,2.67,1.78,67.4,40.6,0.34,0.02,0.0,36.83,26.9,30.7,2.48,20.0,3.9,0.83,0.12,0.06,4.0
jamal-musiala-423969,Jamal Musiala,22.0,Germany,184.0,Right,FW-MF,Bayern Munich,Bundesliga,25,1798,71.9,12,2,0.6,0.1,0.49,0.41,0.22,0.63,0.41,2.88,1.14,39.6,15.0,5.49,0.43,2.17,37.48,83.1,3.2,1.3,5.11,6.3,4.02,3.31,47.3,39.11,2.5,61.43,31.29,8.04,48.88,1.63,0.27,1.63,4.18,0.49,39.1,0.05,0.0,0.81,,,,,,,,,,,,,,,,,,140.0
dayot-upamecano-2391be,Dayot Upamecano,27.0,France,188.0,Right,DF,Bayern Munich,Bundesliga,20,1759,88.0,2,0,0.1,0.0,0.07,0.07,0.03,0.09,0.07,0.73,0.26,35.0,12.5,1.21,0.07,0.37,79.07,92.9,9.47,0.15,6.18,0.07,0.77,0.26,43.8,66.74,1.39,94.75,6.84,1.02,72.08,1.79,1.32,0.95,5.74,2.34,59.8,0.22,0.0,0.73,,,,,,,,,,,,,,,,,,60.0
konrad-laimer-e20412,Konrad Laimer,28.0,Austria,179.0,Right,DF-MF,Bayern Munich,Bundesliga,29,1699,58.6,2,2,0.11,0.11,0.11,0.1,0.22,0.32,0.1,0.75,0.31,40.7,15.8,3.66,0.53,1.58,55.23,87.1,4.69,1.36,6.88,5.91,3.86,0.86,55.4,42.38,2.86,74.07,27.11,3.55,50.31,2.47,0.61,1.33,4.58,0.92,54.1,0.39,0.0,1.53,,,,,,,,,,,,,,,,,,25.0
raphael-guerreiro-16ca60,Raphaël Guerreiro,31.0,Portugal,170.0,Left,DF-MF,Bayern Munich,Bundesliga,23,1572,68.3,4,4,0.23,0.23,0.37,0.23,0.23,0.46,0.23,1.22,0.69,56.5,14.4,3.39,0.58,1.8,61.84,89.5,3.81,1.43,4.24,7.36,1.8,0.53,52.6,44.84,1.8,75.86,32.24,3.65,58.45,1.06,0.42,0.48,4.13,0.48,39.1,0.11,0.0,0.64,,,,,,,,,,,,,,,,,,8.0
aleksandar-pavlovic-ff21ff,Aleksandar Pavlovic,21.0,Germany,178.0,,MF,Bayern Munich,Bundesliga,21,1451,69.1,1,0,0.06,0.04,0.04,0.05,0.06,0.11,0.05,0.63,0.3,46.7,18.5,2.92,0.3,0.85,89.32,93.1,10.54,1.06,8.08,2.28,1.35,0.34,66.7,67.57,2.75,103.5,24.33,1.06,87.72,2.07,0.68,1.14,4.57,0.59,53.8,0.13,0.0,1.44,,,,,,,,,,,,,,,,,,55.0
leroy-sane-757577,Leroy Sané,29.0,Germany,184.0,Left,FW-MF,Bayern Munich,Bundesliga,30,1637,54.6,11,5,0.6,0.27,0.41,0.46,0.28,0.75,0.46,3.65,1.3,35.6,17.4,4.22,0.53,1.83,39.52,83.2,1.58,1.99,3.94,13.39,3.73,2.11,38.0,41.51,2.43,62.94,38.14,6.13,49.46,1.34,0.49,0.61,4.59,0.53,56.5,0.16,0.0,1.1,,,,,,,,,,,,,,,,,,25.0
