player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
ennio-van-der-gouw-6bf771,Ennio van der Gouw,24.0,Netherlands,195.0,Right,GK,Zulte Waregem,Challenger Pro League,28,2520,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
pape-demba-diop-204c7d,Pape Demba Diop,22.0,Senegal,182.0,,MF,Zulte Waregem,Challenger Pro League,27,2375,88.0,6,4,0.23,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
lukas-willen-c86d5b,Lukas Willen,22.0,Belgium,189.0,,DF,Zulte Waregem,Challenger Pro League,27,2313,85.7,0,0,0.06,0.06,0.06,0.03,0.02,0.04,0.03,0.32,0.19,60.0,11.3,0.63,0.06,0.13,32.32,80.2,2.6,0.25,2.79,0.19,1.9,0.44,58.3,32.07,0.76,50.26,2.28,0.44,26.81,1.96,1.58,1.39,6.65,1.27,40.8,0.19,0.0,0.44,,,,,,,,,,,,,,,,,,0.7
nicolas-rommens-5fe708,Nicolas Rommens,30.0,Belgium,183.0,Right,MF,Zulte Waregem,Challenger Pro League,25,2225,89.0,1,5,0.04,0.2,0.08,0.04,0.11,0.15,0.04,0.79,0.15,19.0,23.4,2.4,0.3,1.05,36.78,75.7,3.79,0.38,4.5,1.2,0.71,0.11,33.3,35.58,0.98,56.71,11.6,0.38,32.09,1.95,1.5,1.01,5.93,1.39,52.9,0.23,0.0,1.13,,,,,,,,,,,,,,,,,,0.5
anton-tanghe-41b3b9,Anton Tanghe,26.0,Belgium,194.0,Right,DF,Zulte Waregem,Challenger Pro League,24,2145,89.4,1,1,0.04,0.04,0.0,0.01,0.04,0.05,0.11,0.13,0.0,0.0,24.4,1.17,0.06,0.39,37.41,86.5,3.11,0.52,3.89,0.13,0.32,0.06,100.0,30.35,0.19,54.92,2.07,0.97,33.98,0.91,0.71,1.49,1.88,1.62,43.9,0.06,0.0,0.84,,,,,,,,,,,,,,,,,,0.8
benoit-nyssen-01f42c,Benoit Nyssen,28.0,Belgium,186.0,,DF,Zulte Waregem,Challenger Pro League,25,2116,84.6,2,8,0.09,0.34,0.12,0.05,0.09,0.14,0.05,1.06,0.24,22.2,20.2,2.58,0.35,0.82,38.3,75.1,3.52,1.53,4.35,5.4,2.23,0.71,60.0,30.2,1.41,61.57,15.39,1.06,35.37,2.23,1.06,0.94,2.7,0.35,33.3,0.12,0.0,1.17,,,,,,,,,,,,,,,,,,0.6
joseph-opoku-957577,Joseph Opoku,20.0,Ghana,176.0,Right,MF,Zulte Waregem,Challenger Pro League,26,2053,79.0,3,7,0.13,0.31,0.07,0.15,0.24,0.4,0.15,2.09,0.28,13.3,17.5,3.97,0.49,1.6,18.38,75.9,1.39,1.32,2.58,8.49,3.06,1.81,53.1,23.11,1.46,35.57,18.31,4.04,25.27,0.56,0.49,0.7,3.9,0.21,16.7,0.14,0.0,0.9,,,,,,,,,,,,,,,,,,2.0
jeppe-erenbjerg-65947a,Jeppe Erenbjerg,25.0,Denmark,184.0,Left,MF,Zulte Waregem,Challenger Pro League,26,2021,77.7,5,5,0.22,0.22,0.45,0.34,0.11,0.44,0.4,2.64,0.98,37.1,17.2,3.17,0.38,1.28,23.26,78.4,3.4,1.36,5.36,4.83,2.34,0.76,41.7,25.14,2.19,41.07,17.97,3.32,29.37,0.68,0.45,0.83,3.17,0.15,12.5,0.08,0.0,0.53,,,,,,,,,,,,,,,,,,3.0
jelle-vossen-add142,Jelle Vossen,36.0,Belgium,180.0,Right,FW-MF,Zulte Waregem,Challenger Pro League,23,1824,79.3,15,2,0.74,0.1,0.23,0.25,0.15,0.4,0.34,2.2,0.66,29.8,14.4,2.05,0.27,0.93,16.69,67.9,2.01,0.66,2.67,4.52,0.66,0.15,30.8,21.9,0.54,32.83,11.97,3.52,21.09,0.66,0.42,0.58,3.36,1.62,40.4,0.15,0.0,1.08,,,,,,,,,,,,,,,,,,0.2
stavros-gavriel-13b12f,Stavros Gavriel,23.0,Cyprus,180.0,,MF,Zulte Waregem,Challenger Pro League,25,1822,72.9,7,6,0.35,0.3,0.0,0.2,0.11,0.31,0.2,3.06,1.08,35.3,19.0,3.96,0.36,1.26,19.08,64.2,1.44,0.9,3.06,9.72,2.34,1.26,46.7,24.48,1.8,40.14,23.4,3.42,26.28,0.72,0.18,0.54,2.7,0.54,42.9,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,0.8
atli-barkarson-749ded,Atli Barkarson,24.0,Iceland,188.0,,DF,Zulte Waregem,Challenger Pro League,19,1533,80.7,1,2,0.06,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
laurent-lemoine-e8be0f,Laurent Lemoine,27.0,Belgium,186.0,Right,DF,Zulte Waregem,Challenger Pro League,17,1082,63.6,0,0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,,,0.59,0.0,0.24,36.97,86.1,2.73,0.36,2.85,0.12,0.12,0.24,100.0,27.94,0.36,57.66,1.43,0.71,30.91,1.43,1.07,1.43,3.33,3.09,74.3,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,0.6
yannick-cappelle-ffe200,Yannick Cappelle,22.0,Belgium,180.0,,DF,Zulte Waregem,Challenger Pro League,10,694,69.4,0,0,0.07,0.07,0.07,0.04,0.05,0.09,0.04,0.33,0.07,20.0,20.3,1.87,0.07,0.8,41.57,77.5,2.46,0.8,3.8,3.8,2.0,0.73,55.0,31.44,1.0,65.02,17.05,0.73,35.97,2.46,0.53,1.53,3.6,1.33,48.8,0.07,0.0,0.47,,,,,,,,,,,,,,,,,,0.8
youssef-challouk-e87bad,Youssef Challouk,30.0,Belgium,173.0,,FW-MF,Kortrijk,Belgian Pro League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
tochukwu-nnadi-657c51,Tochukwu Nnadi,22.0,Nigeria,176.0,Right,MF,Zulte Waregem,Challenger Pro League,23,773,33.6,0,0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.16,0.0,0.0,29.4,0.79,0.0,0.32,39.38,84.7,4.44,0.16,4.99,0.63,0.48,0.16,66.7,29.63,0.48,55.54,5.07,0.0,33.67,2.22,1.27,0.95,5.94,1.27,80.0,0.48,0.08,1.98,,,,,,,,,,,,,,,,,,2.0
tobias-hedl-59a91c,Tobias Hedl,22.0,Austria,,,FW,Rapid Wien,Austrian Bundesliga,2,34,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
abdoulaye-traore-db8d17,Abdoulaye Traoré,22.0,Côte d'Ivoire,180.0,,FW,Zulte Waregem,Challenger Pro League,16,468,29.2,2,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
