player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
erick-wiemberg-6889ea,Érick Wiemberg,31.0,Chile,183.0,,DF,Colo-Colo,Chilean Primera División,25,2099,84.0,3,2,0.13,0.09,0.0,0.04,0.01,0.06,0.04,0.56,0.11,20.0,25.1,1.69,0.22,0.56,49.89,79.4,3.93,0.22,3.48,1.91,0.79,0.56,55.6,37.19,0.56,73.82,10.9,0.22,42.7,2.25,1.35,1.46,5.06,1.01,52.9,0.56,0.11,1.46,,,,,,,,,,,,,,,,,,0.5
brayan-cortes-0879da,Brayan Cortés,30.0,Chile,185.0,,GK,Colo-Colo,Chilean Primera División,23,2065,89.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,6.0,3.5,61.1,16.7,0.33,-0.52,0.0,16.5,59.6,43.2,0.5,11.2,8.3,0.17,0.33,0.5,1.8
esteban-pavez-a77bbe,Esteban Pavez,35.0,Chile,180.0,Right,MF,Colo-Colo,Chilean Primera División,22,1823,82.9,1,3,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.24,0.0,0.0,31.28,83.3,0.72,0.24,3.37,0.0,0.24,0.0,,21.9,0.24,44.76,1.68,0.0,27.91,2.65,0.96,0.96,2.89,0.96,57.1,0.24,0.0,1.2,,,,,,,,,,,,,,,,,,0.15
maximiliano-falcon-f849b4,Maximiliano Falcón,28.0,Uruguay,180.0,Right,DF,Colo-Colo,Chilean Primera División,22,1741,79.1,2,0,0.1,0.0,0.05,0.03,0.0,0.03,0.03,0.24,0.1,40.0,10.7,0.19,0.0,0.0,50.82,93.6,1.97,0.0,2.12,0.1,0.29,0.05,33.3,40.34,0.1,63.75,0.91,0.38,45.34,1.2,1.2,1.39,2.74,0.91,38.0,0.38,0.0,0.87,,,,,,,,,,,,,,,,,,1.8
carlos-palacios-9a7eaa,Carlos Palacios,25.0,Chile,180.0,Right,FW-MF,Boca Juniors,Argentine Liga,25,1857,74.3,3,4,0.15,0.19,0.15,0.08,0.2,0.28,0.08,0.97,0.29,30.0,20.5,3.59,0.39,1.7,38.68,82.7,5.04,1.07,6.01,3.2,1.89,0.73,42.9,29.52,2.23,54.09,16.58,1.21,40.32,0.73,0.19,0.73,4.51,0.73,44.1,0.19,0.0,1.02,,,,,,,,,,,,,,,,,,4.0
leonardo-gil-958d90,Leonardo Gil,34.0,Argentina,176.0,Left,MF,Huracán,Argentine Liga,29,2429,83.8,1,3,0.04,0.11,0.04,0.06,0.14,0.2,0.06,0.96,0.19,19.2,24.8,4.26,0.22,2.07,47.46,77.4,6.71,0.82,7.93,3.19,1.52,0.59,53.3,33.9,0.78,70.33,17.04,0.78,43.98,1.89,0.93,0.93,6.34,1.26,43.6,0.19,0.0,1.04,,,,,,,,,,,,,,,,,,0.5
arturo-vidal-0b54b0,Arturo Vidal,38.0,Chile,180.0,Right,MF,Colo-Colo,Chilean Primera División,19,1540,81.1,4,1,0.23,0.06,0.0,0.15,0.03,0.18,0.15,1.84,0.31,16.7,26.9,2.14,0.31,0.92,41.33,79.4,3.67,1.22,4.29,2.76,0.92,0.31,33.3,31.84,0.31,63.37,10.1,1.22,44.39,1.22,0.92,1.84,2.76,3.06,45.5,0.92,0.31,2.76,,,,,,,,,,,,,,,,,,0.175
emiliano-amor-e4cf5b,Emiliano Amor,30.0,Syria,183.0,Right,DF,Colo-Colo,Chilean Primera División,25,1618,64.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,26.91,84.7,0.88,0.0,0.88,0.0,0.44,0.0,,19.41,0.0,44.56,0.44,0.44,22.5,0.0,0.88,1.32,2.21,3.09,87.5,0.44,0.0,0.44,,,,,,,,,,,,,,,,,,0.45
oscar-opazo-ad2993,Óscar Opazo,35.0,Chile,168.0,Right,DF-MF,Colo-Colo,Chilean Primera División,24,1558,64.9,2,0,0.12,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,,,1.11,0.0,0.22,50.0,84.0,3.33,0.44,6.89,3.11,1.11,0.44,40.0,33.33,1.56,67.11,20.0,0.67,39.78,1.33,1.11,0.89,3.56,0.67,27.3,0.0,0.0,0.22,,,,,,,,,,,,,,,,,,0.125
alan-saldivia-3c8303,Alan Saldivia,23.0,Uruguay,182.0,,DF,Colo-Colo,Chilean Primera División,18,1519,84.4,0,1,0.0,0.06,0.0,0.02,0.12,0.14,0.02,0.2,0.0,0.0,27.5,2.2,0.0,1.0,37.2,84.2,3.6,0.8,3.6,0.2,1.6,0.6,42.9,26.6,0.6,54.0,1.8,0.0,35.0,2.2,1.4,0.2,5.0,1.4,70.0,0.4,0.0,1.0,,,,,,,,,,,,,,,,,,1.2
guillermo-paiva-ea8514,Guillermo Paiva,28.0,Paraguay,181.0,,FW,Colo-Colo,Chilean Primera División,24,1373,57.2,2,1,0.13,0.07,0.2,0.22,0.04,0.25,0.22,2.55,0.78,30.8,14.8,3.33,0.39,0.78,15.88,63.3,0.98,0.39,1.37,6.47,0.78,0.39,25.0,19.8,1.18,36.67,20.2,4.12,29.61,1.18,0.39,0.59,1.18,4.71,58.5,0.59,0.0,2.16,,,,,,,,,,,,,,,,,,0.8
cristian-zavala-fba52d,Cristián Zavala,26.0,Chile,177.0,,FW-MF,Colo-Colo,Chilean Primera División,21,1213,57.8,3,7,0.22,0.52,0.0,0.23,0.17,0.4,0.23,1.97,0.28,14.3,13.3,2.54,0.28,1.69,17.77,53.8,0.85,0.85,1.41,12.13,2.54,1.41,41.7,28.21,3.39,45.71,29.91,5.36,31.32,1.13,0.56,1.69,3.39,0.56,40.0,0.0,0.0,1.13,,,,,,,,,,,,,,,,,,0.9
marcos-bolados-a14b48,Marcos Bolados,29.0,Chile,170.0,Right,FW-MF,Colo-Colo,Chilean Primera División,25,1128,45.1,6,3,0.48,0.24,0.0,0.09,0.03,0.12,0.09,1.54,0.34,22.2,14.1,2.4,0.17,0.69,19.89,68.2,0.86,0.86,1.54,10.29,3.43,1.71,50.0,25.03,2.23,41.66,21.6,4.29,28.97,1.71,0.34,1.71,4.46,0.69,30.8,0.51,0.0,2.74,,,,,,,,,,,,,,,,,,0.35
vicente-pizarro-cc05e1,Vicente Pizarro,23.0,Chile,179.0,,MF,Colo-Colo,Chilean Primera División,23,1121,48.7,0,0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.44,0.44,100.0,8.1,0.44,0.0,0.44,58.54,88.2,4.81,0.0,3.5,3.5,0.44,0.44,100.0,40.63,1.31,73.4,12.67,0.44,58.11,1.75,2.18,0.0,6.12,0.44,20.0,0.44,0.0,0.87,,,,,,,,,,,,,,,,,,3.0
javier-marcelo-correa-0bf75c,Javier Marcelo Correa,33.0,Argentina,184.0,,FW,Colo-Colo,Chilean Primera División,11,828,75.3,5,0,0.54,0.0,0.4,0.4,0.12,0.52,0.56,3.41,1.8,52.9,16.1,3.21,0.0,1.6,15.23,76.8,1.4,0.6,2.81,7.62,1.2,1.0,45.5,17.24,0.6,31.87,17.84,4.81,23.05,0.0,0.4,1.4,2.0,0.8,36.4,0.4,0.0,1.0,,,,,,,,,,,,,,,,,,1.2
mauricio-isla-6e3257,Mauricio Isla,37.0,Chile,176.0,Right,DF-MF,Colo-Colo,Chilean Primera División,10,765,76.5,0,1,0.2,0.12,0.2,0.04,0.02,0.06,0.04,0.6,0.2,33.3,14.8,1.6,0.2,0.6,38.2,77.6,2.8,0.4,2.6,3.8,0.8,0.0,0.0,22.6,0.8,56.0,12.8,0.8,33.0,0.2,1.0,0.6,4.2,1.6,88.9,0.4,0.0,0.2,,,,,,,,,,,,,,,,,,0.075
lucas-cepeda-de0694,Lucas Cepeda,23.0,Chile,177.0,,MF,Colo-Colo,Chilean Primera División,20,1010,50.5,3,4,0.27,0.36,0.21,0.1,0.17,0.25,0.1,2.49,0.83,33.3,24.1,3.12,0.42,1.46,25.15,75.6,3.33,1.25,3.95,7.48,2.49,1.87,33.3,31.8,2.49,46.35,22.03,2.29,34.3,0.42,0.21,1.04,5.2,0.42,20.0,0.21,0.0,1.25,,,,,,,,,,,,,,,,,,3.2
daniel-gutierrez-17bc78,Daniel Gutiérrez,22.0,Chile,185.0,,DF,Colo-Colo,Chilean Primera División,12,689,57.4,1,0,0.13,0.0,0.0,0.09,0.0,0.09,0.09,0.58,0.0,0.0,8.1,0.58,0.0,0.0,42.66,78.9,3.8,0.0,4.09,0.58,2.63,1.17,80.0,38.28,0.29,66.04,3.8,0.58,40.32,1.46,0.88,1.46,7.31,2.34,57.1,0.29,0.0,0.88,,,,,,,,,,,,,,,,,,0.4
fernando-de-paul-e9a33d,Fernando de Paul,34.0,Chile,183.0,Right,GK,Colo-Colo,Chilean Primera División,9,632,70.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.68,2.68,72.7,50.0,0.26,0.0,,23.42,45.7,38.1,2.34,18.6,21.7,0.0,0.67,0.33,0.3
gonzalo-castellani-9a3b8c,Gonzalo Castellani,38.0,Argentina,179.0,,MF,Colo-Colo,Chilean Primera División,15,605,40.3,0,0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.43,0.43,100.0,33.1,1.74,0.0,1.3,57.83,82.6,9.13,0.87,8.7,2.17,0.87,1.3,60.0,45.65,0.43,83.91,12.61,1.3,55.22,3.48,0.87,1.3,6.96,2.61,60.0,0.43,0.0,1.74,,,,,,,,,,,,,,,,,,0.05
damian-pizarro-bfc10c,Damián Pizarro,20.0,Chile,180.0,,FW,Colo-Colo,Chilean Primera División,13,596,45.8,5,1,0.76,0.15,0.0,0.46,0.16,0.62,0.46,4.02,1.64,40.9,14.6,3.29,0.0,1.28,10.95,62.5,0.73,0.0,1.1,10.95,2.74,2.19,52.2,23.0,1.28,33.04,22.09,6.39,27.38,0.55,0.0,0.91,3.1,1.64,47.4,0.0,0.0,2.01,,,,,,,,,,,,,,,,,,2.5
ramiro-gonzalez-hernandez-2f1998,Ramiro González Hernández,35.0,Argentina,185.0,Right,DF,Colo-Colo,Chilean Primera División,6,366,61.0,1,0,0.25,0.0,0.0,0.03,0.0,0.03,0.03,0.26,0.26,100.0,7.1,0.0,0.0,0.0,30.0,68.9,1.57,0.0,2.61,0.26,0.78,0.78,100.0,26.87,0.0,52.96,2.09,0.78,28.7,1.04,0.78,1.3,6.0,3.39,52.0,0.0,0.0,0.78,,,,,,,,,,,,,,,,,,0.175
jeyson-rojas-622455,Jeyson Rojas,23.0,Chile,185.0,,DF,Colo-Colo,Chilean Primera División,5,311,62.2,0,0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.84,0.0,0.0,26.0,2.25,0.0,0.56,28.13,61.3,2.81,1.41,3.38,2.81,1.13,0.84,60.0,24.19,1.97,58.78,18.56,0.28,26.44,3.38,0.84,1.69,7.31,0.28,12.5,0.28,0.0,1.13,,,,,,,,,,,,,,,,,,0.4
cesar-fuentes-c76a05,César Fuentes,32.0,Chile,173.0,,MF,Colo-Colo,Chilean Primera División,3,200,66.7,0,0,0.0,0.0,0.0,0.12,0.1,0.22,0.12,2.35,0.67,28.6,17.2,2.18,0.0,1.34,23.84,68.9,3.36,1.01,4.37,4.37,1.01,0.0,0.0,18.97,0.34,49.2,15.28,3.36,24.18,3.02,2.01,1.18,7.22,1.18,50.0,0.34,0.0,0.84,,,,,,,,,,,,,,,,,,0.25
pablo-parra-31098b,Pablo Parra,31.0,Chile,175.0,Right,FW-MF,Colo-Colo,Chilean Primera División,3,137,45.7,0,0,0.16,0.0,0.16,0.14,0.16,0.3,0.14,2.06,0.63,30.8,23.5,3.8,0.32,1.74,28.63,80.1,2.53,1.58,4.27,6.8,2.69,0.95,26.1,33.37,2.37,47.93,19.61,2.06,35.91,1.11,0.0,1.11,4.59,0.79,50.0,0.0,0.0,1.11,,,,,,,,,,,,,,,,,,0.3
