player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
billy-sharp-695618,Billy Sharp,39.0,England,175.0,Right,FW,Doncaster,EFL League Two,43,1828,42.5,9,1,0.44,0.05,0.63,0.66,0.06,0.72,0.76,2.78,1.65,59.1,10.8,2.03,0.25,0.63,9.62,73.8,0.63,0.38,0.89,4.43,1.9,0.25,66.7,14.43,0.13,21.52,10.25,5.06,16.33,0.25,0.0,0.51,1.01,0.89,38.9,0.13,0.0,1.27,,,,,,,,,,,,,,,,,,0.05
brandon-fleming-b1edb7,Brandon Fleming,26.0,England,179.0,Left,DF-MF,Doncaster,EFL League Two,17,1006,59.2,0,0,0.0,0.2,0.0,0.03,0.14,0.16,0.03,0.48,0.07,14.3,21.1,2.52,0.2,1.3,34.59,69.0,2.66,0.48,3.82,2.52,2.73,1.91,62.2,30.09,1.84,64.48,17.6,1.09,31.73,3.62,1.98,1.36,5.94,1.43,40.4,0.2,0.0,0.89,,,,,,,,,,,,,,,,,,0.225
richard-wood-b28823,Richard Wood,40.0,England,188.0,Right,DF,Doncaster,EFL League Two,8,514,64.2,0,0,0.18,0.09,0.18,0.12,0.04,0.16,0.12,0.82,0.27,33.3,9.3,0.5,0.09,0.23,16.4,63.1,0.96,0.09,1.64,0.41,0.05,0.0,0.0,10.32,0.09,35.36,2.56,1.92,12.52,0.87,0.87,0.96,5.07,3.47,62.8,0.09,0.0,0.87,,,,,,,,,,,,,,,,,,0.025
jayden-stockley-79aaad,Jayden Stockley,32.0,England,188.0,Right,FW,Port Vale,EFL League Two,38,2595,68.3,11,6,0.38,0.21,0.17,0.31,0.09,0.39,0.31,2.56,1.02,40.0,13.9,2.39,0.17,0.51,14.52,52.1,1.71,0.85,3.07,5.98,0.34,0.17,50.0,17.42,0.51,38.6,16.22,3.93,31.94,0.0,0.0,0.51,1.71,10.08,46.5,0.0,0.0,3.42,,,,,,,,,,,,,,,,,,0.15
ben-amos-642710,Ben Amos,35.0,England,185.0,Right,GK,Port Vale,EFL League Two,23,2070,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,3.08,1.85,62.5,25.0,0.3,-0.24,0.0,23.06,58.0,41.9,0.77,12.6,6.0,0.18,0.38,0.45,0.05
thomas-sang-823035,Thomas Sang,26.0,England,179.0,,DF-MF,Port Vale,EFL League Two,28,1773,63.3,0,2,0.0,0.1,0.0,0.04,0.06,0.1,0.04,0.61,0.12,20.0,18.1,1.47,0.0,0.73,20.57,61.1,2.2,0.98,1.71,1.71,0.61,0.61,71.4,21.43,0.49,42.49,9.43,0.61,20.69,1.84,1.47,0.98,7.84,0.86,38.9,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,0.2
george-byers-6231f2,George Byers,29.0,Scotland,178.0,Right,MF,Port Vale,EFL League Two,23,1343,58.4,2,1,0.13,0.07,0.07,0.12,0.06,0.18,0.12,0.98,0.26,26.7,16.0,1.57,0.07,0.59,30.24,79.4,2.94,0.52,3.33,1.57,0.91,0.33,38.5,20.44,0.46,49.83,9.14,1.24,27.3,1.83,1.96,1.7,4.57,1.24,57.6,0.07,0.07,1.5,,,,,,,,,,,,,,,,,,0.275
rekeem-harper-828deb,Rekeem Harper,25.0,England,188.0,Right,MF,Port Vale,EFL League Two,18,941,52.3,1,0,0.1,0.0,0.0,0.01,0.0,0.02,0.01,0.35,0.0,0.0,25.9,0.8,0.18,0.09,23.89,80.6,2.04,0.27,2.57,0.8,0.44,1.15,86.7,17.61,0.44,36.81,5.22,0.53,20.71,1.15,0.53,1.24,5.22,1.95,62.9,0.27,0.0,1.33,,,,,,,,,,,,,,,,,,0.2
jaheim-headley-d0e0dd,Jaheim Headley,24.0,England,179.0,,MF,Huddersfield,EFL League One,7,316,45.1,0,0,0.05,0.11,0.05,0.05,0.11,0.17,0.05,0.44,0.11,25.0,13.5,2.41,0.11,1.37,27.07,81.0,1.09,0.77,2.35,3.72,2.24,1.26,44.2,23.51,1.64,47.02,13.78,1.59,23.51,3.06,0.82,1.04,5.91,0.93,43.6,0.11,0.0,1.31,,,,,,,,,,,,,,,,,,0.6
jason-lowe-7ec1a8,Jason Lowe,34.0,England,183.0,Left,DF-MF,Port Vale,EFL League Two,11,252,22.9,0,0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.57,0.18,31.6,20.8,1.19,0.03,0.63,28.64,75.5,2.51,0.54,2.69,0.69,0.3,0.15,62.5,16.81,0.42,47.69,7.76,0.42,21.56,1.52,2.12,1.05,6.33,1.28,40.2,0.33,0.0,1.19,,,,,,,,,,,,,,,,,,0.05
sam-walker-d1c510,Sam Walker,34.0,England,201.0,Right,GK,Bradford City,EFL League Two,46,4140,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,5.14,3.29,63.9,14.3,0.37,0.04,,19.57,70.8,49.5,0.14,7.0,2.5,0.43,0.14,0.43,0.075
richard-smallwood-9f1d5d,Richard Smallwood,34.0,England,180.0,Right,MF,Bradford City,EFL League Two,43,3789,88.1,2,3,0.05,0.07,0.05,0.04,0.04,0.08,0.04,0.66,0.16,24.0,20.5,1.66,0.16,0.71,36.37,76.0,4.0,0.53,4.5,0.4,0.24,0.26,83.3,23.89,0.45,57.95,6.8,0.61,30.58,2.55,1.84,1.19,7.19,1.92,55.7,0.26,0.0,1.82,,,,,,,,,,,,,,,,,,0.05
tayo-adaramola-8f96db,Tayo Adaramola,22.0,Republic of Ireland,177.0,,DF-MF,Stockport,EFL League One,6,253,42.2,0,0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.47,0.0,0.0,17.0,1.1,0.16,0.63,28.49,74.3,2.35,1.1,3.44,3.91,2.97,2.19,58.3,30.68,1.88,54.31,13.15,1.1,24.89,3.29,1.1,1.1,6.73,1.25,53.3,0.0,0.0,1.57,,,,,,,,,,,,,,,,,,0.8
paul-huntington-ac2a5b,Paul Huntington,38.0,England,191.0,Right,DF,Bradford City,EFL League Two,19,907,47.7,0,0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.39,0.06,14.3,11.6,0.28,0.06,0.0,21.79,65.2,1.51,0.06,1.28,0.06,0.0,0.0,,17.32,0.11,41.56,1.06,0.73,17.71,0.67,1.45,0.78,4.02,4.47,55.9,0.06,0.0,0.45,,,,,,,,,,,,,,,,,,0.025
clarke-oduor-843b76,Clarke Oduor,26.0,Kenya,179.0,Left,MF,Bradford City,EFL League Two,19,813,42.8,1,0,0.11,0.18,0.0,0.08,0.04,0.13,0.08,0.73,0.18,25.0,19.8,1.73,0.27,0.55,22.82,80.4,1.28,0.64,1.92,5.48,1.28,1.92,65.6,21.36,1.46,40.44,16.06,1.83,24.92,2.01,0.73,1.64,4.38,0.64,23.3,0.0,0.0,0.46,,,,,,,,,,,,,,,,,,0.125
george-lapslie-1d7370,George Lapslie,28.0,England,177.0,,FW-MF,Bradford City,EFL League Two,13,571,43.9,4,1,0.63,0.16,0.2,0.18,0.04,0.22,0.18,0.99,0.2,20.0,22.2,1.59,0.4,0.79,21.06,71.1,2.19,0.6,3.18,1.99,0.4,0.2,100.0,15.1,0.6,42.91,10.13,0.99,18.87,4.37,0.79,2.58,3.18,1.99,47.6,0.6,0.0,0.99,,,,,,,,,,,,,,,,,,0.2
tyler-smith-391712,Tyler Smith,26.0,England,184.0,,FW,Bradford City,EFL League Two,5,133,26.6,0,0,0.57,0.0,0.57,0.38,0.0,0.4,0.38,1.72,0.76,44.4,15.4,1.53,0.38,0.19,11.25,84.3,0.19,0.19,0.38,6.48,0.95,0.38,25.0,14.68,0.57,21.93,11.25,2.29,16.4,0.95,0.76,0.57,2.48,0.38,12.5,0.19,0.0,0.95,,,,,,,,,,,,,,,,,,0.2
corry-evans-8a1aa0,Corry Evans,35.0,Northern Ireland,180.0,Right,DF-MF,Bradford City,EFL League Two,6,109,18.2,0,0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.84,0.25,29.4,25.1,1.19,0.05,0.15,34.13,80.4,2.92,0.45,3.42,0.54,0.3,0.25,71.4,23.08,0.3,50.97,5.89,0.5,28.28,2.33,1.59,1.14,7.38,0.74,46.9,0.35,0.0,1.34,,,,,,,,,,,,,,,,,,0.075
nathan-lowe-0b347d,Nathan Lowe,20.0,England,184.0,,FW,Walsall,EFL League Two,22,1822,82.8,15,5,0.74,0.25,0.19,0.23,0.04,0.29,0.23,1.15,0.38,33.3,12.1,1.35,0.19,0.77,9.62,64.9,0.58,0.38,1.15,3.65,0.58,0.58,42.9,14.42,0.58,25.77,10.96,2.69,15.77,1.15,0.19,0.58,2.69,1.92,22.7,0.38,0.0,1.35,,,,,,,,,,,,,,,,,,0.3
