player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
nikita-haikin-129a4d,Nikita Haikin,30.0,Russia,185.0,Right,GK,Bodø/Glimt,Eliteserien,30,2700,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,5.88,4.19,72.3,12.5,0.34,0.49,33.3,37.19,28.7,31.7,1.19,14.3,4.3,0.31,0.19,0.5,2.5
patrick-berg-12cf27,Patrick Berg,28.0,Norway,180.0,Right,DF-MF,Bodø/Glimt,Eliteserien,29,2610,90.0,9,2,0.31,0.07,0.06,0.08,0.19,0.27,0.08,1.91,0.7,36.7,25.6,3.45,0.38,1.72,57.45,83.8,5.68,1.28,7.34,1.47,1.53,0.38,46.2,42.77,1.15,80.23,20.36,1.34,49.21,3.32,1.15,0.89,7.02,0.19,30.0,0.19,0.0,0.96,,,,,,,,,,,,,,,,,,7.0
fredrik-sjvold-50ca73,Fredrik Sjøvold,22.0,Norway,174.0,,DF,Bodø/Glimt,Eliteserien,28,2268,81.0,1,3,0.04,0.12,0.0,0.03,0.03,0.06,0.03,0.44,0.0,0.0,20.0,0.88,0.06,0.31,51.1,85.7,3.33,1.01,4.09,2.33,1.76,0.69,52.4,42.74,1.32,70.89,13.2,0.57,44.37,2.26,1.07,1.82,5.47,0.06,7.7,0.13,0.0,0.57,,,,,,,,,,,,,,,,,,8.0
jostein-gundersen-872669,Jostein Gundersen,29.0,Norway,186.0,,DF,Bodø/Glimt,Eliteserien,25,2214,88.6,2,3,0.08,0.12,0.0,0.1,0.06,0.16,0.1,0.8,0.4,50.0,11.5,0.4,0.08,0.24,83.69,93.7,3.68,0.32,4.24,0.24,1.92,0.32,57.1,68.74,1.92,104.47,5.6,1.04,75.61,0.96,0.88,1.84,3.52,2.72,58.6,0.08,0.08,0.88,,,,,,,,,,,,,,,,,,1.2
hakon-evjen-01dd73,Håkon Evjen,25.0,Norway,180.0,Left,FW-MF,Bodø/Glimt,Eliteserien,26,1974,75.9,4,9,0.18,0.41,0.07,0.13,0.12,0.25,0.13,0.84,0.28,33.3,18.4,2.09,0.28,1.32,28.82,82.5,1.67,0.97,3.76,4.8,1.95,1.11,53.3,27.49,1.18,46.57,16.57,2.65,29.44,2.78,0.63,1.11,5.01,0.14,33.3,0.21,0.0,0.7,,,,,,,,,,,,,,,,,,3.5
jens-petter-hauge-e815ba,Jens Petter Hauge,26.0,Norway,183.0,Right,DF-FW-MF,Bodø/Glimt,Eliteserien,28,2003,71.5,8,5,0.36,0.22,0.14,0.09,0.3,0.39,0.09,1.22,0.41,33.3,17.7,4.39,0.61,2.16,41.22,78.0,2.77,2.97,6.01,10.88,4.86,2.64,45.3,45.95,3.04,64.8,34.19,4.73,50.41,1.55,0.47,1.01,4.93,0.2,33.3,0.14,0.0,0.61,,,,,,,,,,,,,,,,,,4.5
ulrik-saltnes-0c2552,Ulrik Saltnes,33.0,Norway,187.0,Right,DF-MF,Bodø/Glimt,Eliteserien,27,1910,70.7,7,3,0.33,0.14,0.31,0.32,0.1,0.41,0.32,2.36,0.92,39.1,11.6,2.46,0.21,0.82,21.94,81.1,1.64,0.72,3.18,5.13,1.33,0.31,20.0,22.55,1.13,38.13,13.84,4.82,26.14,1.03,0.31,1.03,2.67,0.72,46.7,0.1,0.0,0.82,,,,,,,,,,,,,,,,,,0.7
fredrik-andre-bjrkan-7ac64c,Fredrik André Bjørkan,27.0,Norway,180.0,Right,DF,Bodø/Glimt,Eliteserien,24,1792,74.7,4,5,0.2,0.25,0.07,0.03,0.14,0.17,0.03,0.33,0.07,20.0,13.3,1.8,0.13,0.67,58.84,84.4,2.4,0.87,5.07,4.07,4.67,2.0,58.8,54.71,3.74,80.19,20.62,2.54,57.91,2.4,0.73,1.47,4.67,0.4,33.3,0.27,0.0,1.07,,,,,,,,,,,,,,,,,,2.5
august-mikkelsen-4d8326,August Mikkelsen,25.0,Norway,167.0,Right,FW,Bodø/Glimt,Eliteserien,22,1130,51.4,2,4,0.16,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65
odin-luras-bjrtuft-5e4cbe,Odin Lurås Bjørtuft,26.0,Norway,185.0,Right,DF,Bodø/Glimt,Eliteserien,27,1577,58.4,1,0,0.06,0.09,0.09,0.08,0.03,0.1,0.08,0.6,0.43,71.4,11.4,0.77,0.26,0.17,69.69,93.0,5.76,0.09,4.99,0.0,0.43,0.6,77.8,59.46,1.12,88.19,3.53,0.77,63.93,1.55,1.03,1.55,2.75,2.58,68.2,0.09,0.0,0.86,,,,,,,,,,,,,,,,,,1.7
brede-moe-5e2e94,Brede Moe,33.0,Norway,184.0,Right,DF,Bodø/Glimt,Eliteserien,19,1301,68.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.13,0.0,0.0,66.22,89.9,6.14,0.0,5.75,0.0,1.41,0.26,100.0,61.24,0.26,80.16,2.05,0.0,63.79,0.38,0.89,0.77,4.6,1.15,60.0,0.26,0.0,0.77,,,,,,,,,,,,,,,,,,0.35
albert-grnbaek-fe1384,Albert Grønbaek,24.0,Denmark,176.0,Right,FW-MF,Bodø/Glimt,Eliteserien,15,1257,83.8,8,2,0.57,0.14,0.22,0.17,0.11,0.28,0.17,2.44,1.0,40.9,18.6,3.21,0.55,2.1,17.16,62.8,1.0,1.44,3.32,6.42,2.55,1.22,29.7,24.13,1.66,42.73,21.92,4.54,27.68,2.32,0.44,1.0,2.66,0.44,26.7,0.11,0.0,1.11,,,,,,,,,,,,,,,,,,9.5
kasper-waarst-hgh-1d4d9c,Kasper Waarst Høgh,24.0,Denmark,185.0,,FW,Bodø/Glimt,Eliteserien,23,1087,47.3,12,1,0.99,0.08,0.3,0.31,0.02,0.34,0.55,1.57,0.75,47.6,12.2,1.05,0.07,0.37,11.5,76.6,0.52,0.15,0.75,4.26,0.3,0.37,50.0,12.47,0.22,24.87,9.56,3.73,14.41,0.75,0.3,0.52,2.91,1.49,44.4,0.15,0.0,1.34,,,,,,,,,,,,,,,,,,10.0
adam-srensen-b4ec55,Adam Sørensen,25.0,Denmark,173.0,,DF-MF,Bodø/Glimt,Eliteserien,16,799,49.9,0,1,0.0,0.11,0.0,0.15,0.0,0.15,0.15,0.5,0.0,0.0,3.5,1.5,0.0,0.0,42.0,78.5,1.0,3.0,4.5,6.5,3.0,3.0,75.0,38.0,3.0,63.0,21.0,2.0,40.0,2.0,0.5,1.0,6.5,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,0.9
nino-zugelj-c32c78,Nino Žugelj,25.0,Slovenia,187.0,Left,FW,Bodø/Glimt,Eliteserien,14,769,54.9,3,3,0.35,0.35,0.0,0.16,0.28,0.44,0.16,2.79,0.4,14.3,18.0,4.78,0.4,1.19,21.5,73.0,0.4,1.19,1.59,13.54,4.38,1.99,33.3,29.47,1.19,44.6,30.27,7.17,30.27,0.4,0.0,0.0,4.38,0.0,0.0,1.19,0.0,1.59,,,,,,,,,,,,,,,,,,0.8
sondre-brunstad-fet-79df76,Sondre Brunstad Fet,28.0,Norway,178.0,Right,MF,Bodø/Glimt,Eliteserien,16,723,45.2,2,2,0.25,0.25,0.3,0.22,0.1,0.32,0.34,1.92,0.74,38.5,17.3,1.92,0.0,0.89,30.84,83.6,1.48,0.44,3.98,3.39,1.48,0.74,41.7,26.26,1.03,51.2,16.67,3.98,34.08,2.36,1.48,1.77,3.98,0.89,42.9,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,0.9
philip-zinckernagel-f70c1d,Philip Zinckernagel,30.0,Denmark,175.0,Right,FW-MF,Bodø/Glimt,Eliteserien,11,711,64.6,3,3,0.38,0.38,0.54,0.25,0.27,0.52,0.25,2.65,1.07,40.5,20.9,5.12,0.75,2.29,25.36,68.4,1.75,1.29,3.33,7.55,3.65,2.33,48.1,29.58,2.11,49.01,26.76,4.65,33.91,1.5,0.18,0.64,3.97,0.14,22.2,0.21,0.0,1.97,,,,,,,,,,,,,,,,,,3.0
isak-maatta-1662f7,Isak Määttä,24.0,Norway,178.0,,DF-FW-MF,Bodø/Glimt,Eliteserien,15,729,48.6,0,1,0.0,0.12,0.0,0.14,0.14,0.28,0.14,1.38,0.39,28.6,15.4,2.57,0.39,1.18,23.09,77.5,1.18,1.38,3.36,8.49,2.57,0.79,33.3,29.21,1.97,40.86,21.91,4.34,30.59,1.78,0.39,0.79,3.75,0.2,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.3
brice-wembangomo-8e6414,Brice Wembangomo,28.0,Norway,180.0,Right,DF,Bodø/Glimt,Eliteserien,17,553,32.5,0,0,0.0,0.15,0.0,0.0,0.05,0.05,0.0,0.0,0.0,,,0.76,0.3,0.3,45.99,81.4,2.28,0.46,3.5,2.44,1.83,1.37,50.0,37.46,1.07,66.85,10.66,0.91,40.66,1.22,1.07,0.61,6.4,0.46,75.0,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,1.0
villads-nielsen-bf05fc,Villads Nielsen,20.0,Denmark,192.0,,DF,Bodø/Glimt,Eliteserien,9,410,45.6,0,0,0.15,0.0,0.15,0.07,0.01,0.09,0.07,0.89,0.3,33.3,14.5,1.19,0.15,0.45,78.38,89.3,6.26,0.6,6.71,0.15,0.89,0.45,75.0,73.16,1.19,98.64,4.02,0.89,78.68,0.75,1.04,1.04,3.13,1.34,52.9,0.0,0.0,0.45,,,,,,,,,,,,,,,,,,2.3
sondre-srli-d0d142,Sondre Sørli,30.0,Norway,178.0,Left,FW-MF,Bodø/Glimt,Eliteserien,16,335,20.9,0,5,0.0,1.34,0.0,0.09,0.05,0.14,0.09,1.85,0.92,50.0,24.4,3.23,0.46,1.38,22.62,70.0,0.0,0.92,2.31,13.85,3.69,0.92,22.2,29.54,4.15,43.38,30.0,5.08,31.38,0.92,0.0,0.46,3.23,0.92,25.0,0.0,0.0,0.92,,,,,,,,,,,,,,,,,,0.5
oscar-kapskarmo-068f19,Oscar Kapskarmo,25.0,Norway,190.0,,MF,Bodø/Glimt,Eliteserien,11,304,27.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
andreas-helmersen-81158c,Andreas Helmersen,27.0,Norway,177.0,Right,FW,Bodø/Glimt,Eliteserien,11,263,23.9,3,0,1.03,0.0,0.35,0.39,0.32,0.71,0.39,1.41,1.06,75.0,9.2,1.76,0.35,0.71,18.35,78.8,1.06,1.06,2.12,5.65,1.41,1.06,42.9,15.88,0.71,34.24,10.24,3.18,20.12,1.41,0.35,0.71,1.41,3.53,47.6,1.06,0.35,1.76,,,,,,,,,,,,,,,,,,1.0
sondre-auklend-d58fc8,Sondre Auklend,22.0,Norway,172.0,,MF,Bodø/Glimt,Eliteserien,6,106,17.7,0,0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.75,0.0,0.0,13.0,3.73,0.25,0.75,38.29,83.2,2.24,1.24,3.73,6.71,2.49,1.24,41.7,38.54,1.74,58.43,26.35,3.23,45.99,1.24,0.25,1.74,4.97,0.25,25.0,0.5,0.0,1.24,,,,,,,,,,,,,,,,,,2.7
michal-tomic-a31253,Michal Tomič,26.0,Slovakia,176.0,,MF,Slavia Prague,Czech First League,2,89,44.5,0,0,0.3,0.3,0.3,0.12,0.24,0.36,0.12,2.41,0.9,37.5,21.0,2.71,0.3,1.81,25.59,60.7,2.11,1.2,1.51,5.42,1.81,0.3,16.7,27.99,3.01,56.59,18.06,2.71,27.09,1.51,3.01,1.2,4.21,1.81,60.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,0.375
omar-elabdellaoui-beab4b,Omar Elabdellaoui,29.0,Norway,179.0,Right,DF-MF,Bodø/Glimt,Eliteserien,1,45,45.0,0,0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.58,0.19,33.3,18.8,2.34,0.0,0.39,49.29,84.9,2.53,1.17,3.9,4.87,0.97,0.39,50.0,29.42,0.39,67.01,12.66,0.58,41.49,0.97,1.17,0.19,4.29,1.75,64.3,0.0,0.0,0.58,,,,,,,,,,,,,,,,,,0.25
runar-espejord-07085b,Runar Espejord,29.0,Norway,180.0,Right,FW,Bodø/Glimt,Eliteserien,1,9,9.0,0,0,0.0,0.0,0.0,0.11,0.06,0.17,0.11,1.06,0.21,20.0,15.9,0.64,0.0,0.43,10.0,77.0,0.85,0.0,1.06,3.62,1.06,0.64,60.0,10.21,1.06,22.77,7.45,1.91,14.04,1.06,0.21,0.64,1.7,1.91,39.1,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,0.2
daniel-bassi-290218,Daniel Bassi,,Norway,175.0,,FW,Bodø/Glimt,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
magnus-brndbo-f4afed,Magnus Brøndbo,20.0,Norway,188.0,,GK,Bodø/Glimt,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
samuel-burakovsky-013184,Samuel Burakovsky,22.0,Sweden,186.0,,FW,Bodø/Glimt,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
julian-faye-lund-2d53dc,Julian Faye-Lund,26.0,Norway,177.0,Right,GK,Bodø/Glimt,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4.5,2.0,44.4,0.0,0.25,-1.4,,24.5,26.5,29.2,0.0,6.7,10.7,0.5,0.0,0.5,
kjetil-haug-4b5b8e,Kjetil Haug,27.0,Norway,187.0,Right,GK,Bodø/Glimt,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,2.89,1.63,56.3,20.0,0.45,-0.07,,17.17,37.9,34.1,0.54,12.1,6.9,0.36,0.36,0.18,0.5
mathias-dyngeland-ca3f13,Mathias Dyngeland,30.0,Norway,184.0,Right,GK,Brann,Eliteserien,30,2700,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3.4,2.8,82.4,60.0,0.29,0.38,,50.6,34.0,32.1,1.6,13.4,4.3,0.4,0.4,0.2,0.9
emil-kornvig-730d1a,Emil Kornvig,25.0,Denmark,185.0,,MF,Brann,Eliteserien,30,2574,85.8,5,1,0.17,0.03,0.4,0.4,0.12,0.52,0.57,1.82,0.61,33.3,19.1,2.42,0.0,1.01,22.2,71.0,3.03,0.4,3.23,5.04,1.01,1.01,41.7,27.85,1.01,46.61,15.74,1.82,29.66,2.02,0.61,0.81,3.43,1.21,50.0,0.0,0.0,2.02,,,,,,,,,,,,,,,,,,3.5
ruben-kristiansen-39ea82,Ruben Kristiansen,37.0,Norway,181.0,Left,DF,Brann,Eliteserien,29,2448,84.4,0,3,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
fredrik-pallesen-knudsen-13bf96,Fredrik Pallesen Knudsen,29.0,Norway,190.0,Right,DF,Brann,Eliteserien,27,2215,82.0,1,0,0.04,0.0,0.0,0.03,0.0,0.03,0.03,0.5,0.0,0.0,13.3,0.75,0.0,0.0,49.5,84.3,3.75,0.0,3.0,0.0,0.75,0.5,100.0,42.0,0.0,75.25,0.75,0.75,45.75,1.75,1.0,2.0,3.25,2.5,52.6,0.25,0.0,1.5,,,,,,,,,,,,,,,,,,0.7
felix-myhre-1cf021,Felix Myhre,26.0,Norway,180.0,Right,DF-MF,Brann,Eliteserien,27,2255,83.5,3,6,0.12,0.24,0.0,0.0,0.15,0.15,0.0,0.5,0.5,100.0,14.0,3.0,1.0,1.0,24.5,73.1,2.5,1.5,3.5,3.0,1.0,0.0,0.0,26.0,1.0,42.5,13.5,4.5,27.0,1.0,0.0,1.0,4.5,1.5,100.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,4.0
ole-didrik-blomberg-9054e9,Ole Didrik Blomberg,25.0,Norway,177.0,,FW,Brann,Eliteserien,25,1944,77.8,3,7,0.14,0.32,0.12,0.11,0.16,0.27,0.11,1.12,0.37,33.3,11.3,2.11,0.25,0.99,18.37,72.5,1.12,0.87,2.48,7.94,2.23,1.12,36.0,24.46,0.87,36.37,17.5,4.34,27.31,0.62,0.5,0.62,3.48,1.99,55.2,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,2.0
japhet-sery-eeb499,Japhet Sery,25.0,Denmark,179.0,Right,DF,Brann,Eliteserien,26,2141,82.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
niklas-castro-9133b7,Niklas Castro,29.0,Chile,173.0,,FW,Brann,Eliteserien,29,2022,69.7,9,8,0.4,0.36,0.0,0.05,0.1,0.2,0.05,0.98,0.49,50.0,23.5,2.46,0.0,1.97,21.15,61.4,1.48,1.48,3.44,6.39,2.95,0.49,33.3,20.66,0.49,44.26,24.1,4.43,22.62,1.48,0.0,0.49,4.43,0.98,28.6,0.49,0.0,3.44,,,,,,,,,,,,,,,,,,0.9
svenn-crone-35caf9,Svenn Crone,30.0,Denmark,183.0,Right,DF,Brann,Eliteserien,16,1440,90.0,0,1,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
bard-finne-fec7a7,Bård Finne,30.0,Norway,174.0,Right,FW-MF,Brann,Eliteserien,28,1424,50.9,6,1,0.38,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
aune-heggeb-7b5e03,Aune Heggebø,24.0,Norway,185.0,Left,FW,Brann,Eliteserien,29,1282,44.2,11,1,0.77,0.07,0.31,0.34,0.09,0.43,0.34,1.99,0.69,34.6,10.4,1.91,0.38,0.69,11.15,71.9,0.99,0.53,1.99,3.82,0.61,0.84,57.9,14.82,0.69,26.59,10.47,3.29,20.32,0.92,0.08,0.46,1.38,3.29,35.0,0.08,0.0,1.53,,,,,,,,,,,,,,,,,,6.0
sivert-heltne-nilsen-b431d0,Sivert Heltne Nilsen,34.0,Norway,185.0,Right,MF,Brann,Eliteserien,15,1237,82.5,2,1,0.15,0.07,0.0,0.03,0.11,0.13,0.03,0.53,0.0,0.0,22.4,1.73,0.13,0.53,37.47,80.3,5.47,0.13,5.2,0.27,0.67,0.27,100.0,21.47,0.27,57.2,4.67,0.53,29.6,2.4,2.27,1.73,7.47,1.33,47.6,0.27,0.0,1.73,,,,,,,,,,,,,,,,,,0.25
sander-kartum-261f0d,Sander Kartum,30.0,Norway,177.0,Left,MF,Brann,Eliteserien,28,1322,47.2,4,1,0.27,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
joachim-soltvedt-1e6071,Joachim Soltvedt,30.0,Norway,188.0,Left,DF-MF,Brann,Eliteserien,19,1200,63.2,5,1,0.38,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
eivind-helland-9c1312,Eivind Helland,20.0,Norway,196.0,,DF,Brann,Eliteserien,14,914,65.3,1,0,0.1,0.0,0.0,0.02,0.0,0.02,0.02,0.2,0.0,0.0,8.1,0.6,0.2,0.0,53.4,88.1,2.0,0.2,4.0,0.4,1.2,0.2,50.0,42.4,0.2,74.8,3.4,0.4,43.0,1.8,0.8,1.0,7.0,3.0,83.3,0.2,0.0,0.6,,,,,,,,,,,,,,,,,,6.0
ulrik-mathisen-66beb6,Ulrik Mathisen,26.0,Norway,177.0,Right,FW,Brann,Eliteserien,21,747,35.6,1,1,0.12,0.12,0.0,0.12,0.06,0.15,0.12,0.62,0.31,50.0,13.2,1.23,0.0,0.62,14.49,64.4,1.85,0.92,3.7,7.4,3.08,1.23,50.0,19.11,2.16,32.98,16.34,2.47,23.73,1.85,0.31,1.23,0.92,1.85,40.0,0.0,0.0,0.62,,,,,,,,,,,,,,,,,,0.7
thore-pedersen-58d488,Thore Pedersen,29.0,Norway,187.0,Both,DF-MF,Brann,Eliteserien,12,569,47.4,0,1,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
niklas-jensen-35273b,Niklas Jensen,,Norway,178.0,Both,MF,Brann,Eliteserien,3,223,74.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
sakarias-opsahl-0ca462,Sakarias Opsahl,26.0,Norway,187.0,Right,MF,Brann,Eliteserien,8,208,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
magnus-warming-2198aa,Magnus Warming,25.0,Denmark,188.0,,FW,Brann,Eliteserien,15,352,23.5,1,2,0.26,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
mads-sande-23fb8f,Mads Sande,27.0,Norway,185.0,Right,MF,Brann,Eliteserien,10,272,27.2,1,1,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
rasmus-holten-e9e748,Rasmus Holten,20.0,Norway,196.0,,MF,Brann,Eliteserien,2,66,33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
markus-haaland-5e6cce,Markus Haaland,20.0,Norway,178.0,Right,MF,Brann,Eliteserien,1,1,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
martin-brsheim-2e88c8,Martin Børsheim,20.0,Norway,194.0,,GK,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
jesper-eikrem-6724ca,Jesper Eikrem,18.0,Norway,,,MF,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
vegard-hagen-473903,Vegard Hagen,23.0,Norway,,,MF,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martin-hellan-6b8cd2,Martin Hellan,22.0,Norway,175.0,,DF,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
eirik-johansen-f7fa15,Eirik Johansen,33.0,Norway,199.0,Right,GK,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
lars-remmem-cd8a6b,Lars Remmem,19.0,Norway,174.0,,MF,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
moonga-simba-480dc6,Moonga Simba,25.0,Sweden,183.0,Left,FW,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
jonas-torsvik-d3109d,Jonas Torsvik,20.0,Norway,180.0,,FW,Brann,Eliteserien,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
sondre-langas-bb6aef,Sondre Langås,24.0,Norway,190.0,,DF,Viking,Eliteserien,30,2589,86.3,1,0,0.03,0.05,0.05,0.07,0.05,0.12,0.07,0.53,0.16,30.0,10.7,0.53,0.11,0.11,26.97,72.1,2.01,0.11,2.22,0.26,0.16,0.05,50.0,17.03,0.11,49.12,3.44,0.74,21.26,1.64,0.95,0.95,3.49,2.54,53.3,0.16,0.0,0.85,,,,,,,,,,,,,,,,,,3.5
joe-bell-16b719,Joe Bell,26.0,New Zealand,182.0,,MF,Viking,Eliteserien,28,2475,88.4,0,5,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
zlatko-tripic-44aea8,Zlatko Tripić,32.0,Norway,182.0,Both,FW-MF,Viking,Eliteserien,28,2284,81.6,10,15,0.39,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
lars-jrgen-salvesen-75c971,Lars-Jørgen Salvesen,29.0,Norway,180.0,Right,FW,Viking,Eliteserien,27,1929,71.4,12,3,0.56,0.14,0.44,0.39,0.04,0.44,0.39,2.77,1.75,63.2,12.9,1.17,0.15,0.29,9.47,53.7,1.02,0.44,1.6,2.77,0.44,0.0,0.0,12.67,0.44,27.82,13.98,4.51,19.08,1.02,0.29,0.58,2.48,3.2,34.9,0.29,0.0,2.04,,,,,,,,,,,,,,,,,,0.6
