player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
pedri-d01084,Pedri,23.0,Spain,174.0,Right,MF,Barcelona,La Liga,37,2879,77.8,4,5,0.13,0.16,0.07,0.05,0.23,0.28,0.05,0.75,0.31,41.9,20.9,5.83,0.58,2.34,81.69,89.1,11.2,2.7,11.73,4.19,3.47,1.4,65.2,66.85,4.12,101.8,32.79,1.3,79.55,2.24,0.84,1.73,7.71,0.29,60.0,0.1,0.02,0.29,,,,,,,,,,,,,,,,,,140.0
raphinha-f3883d,Raphinha,28.0,Brazil,176.0,Left,FW-MF,Barcelona,La Liga,36,2839,78.9,18,9,0.57,0.29,0.56,0.47,0.39,0.86,0.52,3.71,1.35,36.5,19.0,5.03,0.62,2.62,35.15,73.7,2.24,2.0,3.71,11.89,3.15,1.44,46.7,33.12,1.97,59.88,36.18,5.8,43.54,1.15,0.41,0.94,2.71,0.27,45.0,0.15,0.0,0.47,,,,,,,,,,,,,,,,,,90.0
robert-lewandowski-bd8521,Robert Lewandowski,37.0,Poland,185.0,Right,FW,Barcelona,La Liga,34,2667,78.4,27,2,0.91,0.07,0.63,0.67,0.06,0.73,0.79,3.62,1.33,36.8,12.9,1.52,0.13,0.63,12.3,73.6,0.86,0.25,1.46,5.33,0.86,0.41,38.2,14.84,0.38,27.53,15.6,6.25,21.06,0.38,0.16,0.41,1.43,1.65,52.0,0.03,0.0,1.17,,,,,,,,,,,,,,,,,,9.0
lamine-yamal-bc6748,Lamine Yamal,18.0,Spain,178.0,Left,FW-MF,Barcelona,La Liga,35,2856,81.6,9,13,0.28,0.41,0.31,0.34,0.35,0.69,0.37,4.89,1.59,32.5,19.2,5.98,0.9,1.78,38.49,74.6,2.52,2.94,4.84,12.13,6.36,5.69,53.9,48.31,3.25,69.4,43.47,7.93,56.9,1.23,0.47,0.55,3.96,0.05,33.3,0.09,0.0,0.81,,,,,,,,,,,,,,,,,,200.0
pau-cubarsi-308f5a,Pau Cubarsí,18.0,Spain,181.0,Right,DF,Barcelona,La Liga,35,2618,74.8,0,3,0.0,0.1,0.0,0.02,0.06,0.08,0.02,0.25,0.03,11.1,13.5,0.98,0.11,0.33,80.2,93.7,7.32,0.16,5.98,0.16,0.98,0.08,50.0,58.01,0.76,93.0,3.93,0.44,72.26,1.42,0.74,0.63,3.55,2.13,58.2,0.11,0.03,0.82,,,,,,,,,,,,,,,,,,80.0
jules-kounde-b14dde,Jules Koundé,27.0,France,178.0,Right,DF,Barcelona,La Liga,32,2605,81.4,2,3,0.07,0.1,0.05,0.08,0.09,0.17,0.08,0.57,0.21,36.4,12.1,2.02,0.18,0.88,63.88,87.5,5.18,0.73,4.92,4.95,1.45,0.52,44.4,45.85,1.11,83.58,21.02,2.54,57.69,1.99,0.93,1.29,3.62,1.45,60.9,0.16,0.0,0.67,,,,,,,,,,,,,,,,,,65.0
inigo-martinez-652ca7,Iñigo Martínez,34.0,Spain,181.0,Left,DF,Barcelona,La Liga,28,2490,88.9,0,4,0.0,0.14,0.0,0.01,0.06,0.07,0.01,0.34,0.05,14.3,14.7,1.26,0.29,0.39,75.36,90.7,10.7,0.34,10.02,0.73,2.53,0.15,100.0,58.1,2.19,91.65,7.73,0.78,68.12,0.97,0.53,0.97,4.86,1.75,54.5,0.19,0.0,0.68,,,,,,,,,,,,,,,,,,5.0
alejandro-balde-fc09f0,Alejandro Balde,22.0,Spain,175.0,Left,DF,Barcelona,La Liga,32,2284,71.4,0,4,0.0,0.16,0.0,0.01,0.13,0.14,0.01,0.25,0.06,25.0,22.9,2.97,0.47,1.12,54.76,89.1,1.81,1.31,4.0,9.37,3.87,1.78,44.9,41.36,2.56,70.68,25.57,2.09,50.67,1.25,0.19,1.09,4.56,0.56,58.1,0.16,0.0,0.59,,,,,,,,,,,,,,,,,,60.0
marc-casado-92944d,Marc Casado,22.0,Spain,172.0,,MF,Barcelona,La Liga,23,1611,70.0,1,3,0.06,0.17,0.06,0.04,0.02,0.06,0.04,0.83,0.06,6.7,19.8,2.27,0.17,0.61,72.55,90.4,7.14,0.44,5.04,1.0,0.89,0.28,55.6,49.9,1.27,90.44,19.16,0.61,68.57,2.6,1.22,1.5,4.65,0.55,34.5,0.17,0.0,1.66,,,,,,,,,,,,,,,,,,30.0
inaki-pena-91629b,Iñaki Peña,26.0,Spain,184.0,Right,GK,Barcelona,La Liga,16,1396,87.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,3.75,2.38,68.3,18.8,0.34,0.01,0.0,43.13,20.7,26.8,3.75,20.1,5.1,0.25,0.31,0.44,8.0
wojciech-szczesny-be6251,Wojciech Szczęsny,35.0,Poland,195.0,Right,GK,Barcelona,La Liga,15,1350,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,3.69,2.25,66.1,31.3,0.36,0.07,14.3,29.91,16.3,26.2,3.72,20.4,6.1,0.72,0.13,0.16,1.0
eric-garcia-a8bb1a,Eric García,24.0,Spain,183.0,Right,DF,Barcelona,La Liga,29,1566,54.0,2,3,0.11,0.17,0.16,0.14,0.06,0.21,0.14,0.83,0.42,50.0,12.5,2.12,0.22,0.77,74.29,91.5,9.14,0.77,6.8,1.64,0.99,0.32,45.5,50.21,0.9,90.96,13.95,1.54,68.42,2.21,1.15,1.19,3.49,1.31,53.9,0.13,0.0,1.28,,,,,,,,,,,,,,,,,,30.0
gavi-cd528c,Gavi,21.0,Spain,173.0,Right,FW-MF,Barcelona,La Liga,26,1085,41.7,1,1,0.08,0.08,0.07,0.08,0.12,0.2,0.08,0.9,0.14,15.4,15.0,3.04,0.28,1.38,56.89,90.1,7.12,0.97,5.88,3.94,1.11,0.48,46.7,44.03,1.73,73.69,19.84,2.63,55.58,2.49,0.62,1.18,4.98,1.73,43.9,0.28,0.0,2.83,,,,,,,,,,,,,,,,,,40.0
dani-olmo-9849bf,Dani Olmo,27.0,Spain,176.0,Right,FW-MF,Barcelona,La Liga,25,1212,48.5,10,3,0.74,0.22,0.31,0.34,0.21,0.55,0.41,3.07,0.93,30.4,19.4,4.85,0.8,2.27,42.15,81.9,3.6,2.13,5.83,6.36,2.09,1.2,41.5,36.42,2.0,63.85,29.08,5.42,49.45,1.65,0.4,0.76,4.05,0.8,58.1,0.09,0.0,1.33,,,,,,,,,,,,,,,,,,60.0
fermin-lopez-449a1f,Fermin López,22.0,Spain,177.0,,MF,Barcelona,La Liga,28,1252,44.7,6,5,0.43,0.36,0.54,0.38,0.31,0.69,0.38,3.16,1.37,43.4,17.9,4.66,0.91,1.87,39.33,82.0,4.03,1.37,5.15,7.44,2.29,1.83,50.6,32.72,1.41,60.49,29.72,4.28,46.1,1.5,0.25,0.96,4.36,0.58,36.8,0.25,0.04,1.87,,,,,,,,,,,,,,,,,,60.0
ferran-torres-93902c,Ferrán Torres,25.0,Spain,184.0,Right,FW-MF,Barcelona,La Liga,27,1106,41.0,10,6,0.81,0.49,0.89,0.75,0.21,0.96,0.75,3.8,1.69,44.4,14.3,3.04,0.42,1.6,17.22,72.7,0.8,1.01,2.15,7.59,1.18,0.46,33.3,20.0,0.8,34.98,21.14,6.16,27.05,0.51,0.34,0.72,2.03,0.76,42.9,0.17,0.0,0.51,,,,,,,,,,,,,,,,,,50.0
gerard-martin-c8c8b5,Gerard Martín,23.0,Spain,178.0,Left,DF,Barcelona,La Liga,28,1038,37.1,1,3,0.09,0.26,0.05,0.03,0.13,0.16,0.03,0.41,0.1,25.0,18.0,2.38,0.31,1.09,62.69,84.4,4.19,1.14,4.5,8.22,1.09,0.62,50.0,43.03,1.6,85.14,24.52,1.45,55.5,2.12,1.34,1.14,4.03,1.5,64.4,0.1,0.0,0.67,,,,,,,,,,,,,,,,,,20.0
ronald-araujo-ae2465,Ronald Araújo,26.0,Uruguay,188.0,Right,DF,Barcelona,La Liga,12,754,62.8,1,1,0.12,0.12,0.17,0.07,0.02,0.1,0.07,0.62,0.33,53.3,13.3,0.96,0.12,0.21,66.8,91.7,4.16,0.12,3.95,0.33,0.71,0.04,33.3,50.26,0.54,83.1,3.62,1.16,59.61,1.54,0.87,1.16,3.24,3.7,63.1,0.29,0.04,1.29,,,,,,,,,,,,,,,,,,35.0
frenkie-de-jong-82b4c1,Frenkie de Jong,28.0,Netherlands,180.0,Right,DF-MF,Barcelona,La Liga,26,1143,44.0,2,2,0.16,0.16,0.06,0.05,0.1,0.16,0.05,0.31,0.12,40.0,15.8,3.11,0.53,1.4,79.2,94.1,10.33,0.9,8.71,1.62,2.49,0.28,52.9,57.79,2.33,91.09,19.73,1.12,73.2,2.09,1.24,0.5,4.51,0.68,53.7,0.31,0.03,1.06,,,,,,,,,,,,,,,,,,45.0
marc-andre-ter-stegen-77224e,Marc-André ter Stegen,33.0,Germany,189.0,Right,GK,Barcelona,La Liga,8,674,84.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2.94,1.74,63.6,14.3,0.26,-0.32,0.0,29.91,12.1,26.5,1.74,17.0,6.0,0.93,0.0,0.13,7.0
hector-fort-30301b,Héctor Fort,19.0,Spain,182.0,Right,DF,Barcelona,La Liga,17,585,34.4,0,0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,2.0,0.43,21.4,20.8,3.15,0.14,1.14,54.8,88.0,2.72,0.72,3.29,6.44,3.15,0.86,33.3,44.5,2.29,76.55,28.76,2.72,52.51,1.86,1.0,1.43,5.15,0.72,41.7,0.14,0.0,1.14,,,,,,,,,,,,,,,,,,12.0
pablo-torre-fbdcc1,Pablo Torre,22.0,Spain,173.0,,MF,Barcelona,La Liga,10,310,31.0,3,1,0.87,0.29,0.0,0.06,0.19,0.26,0.06,0.99,0.5,50.0,23.6,4.96,0.74,2.36,41.03,78.8,6.45,1.12,5.7,4.34,1.24,0.37,23.1,35.58,1.49,60.99,19.83,0.99,42.27,0.5,0.62,1.12,3.97,0.37,17.6,0.12,0.0,1.98,,,,,,,,,,,,,,,,,,5.0
marc-bernal-2a215d,Marc Bernal,18.0,Spain,188.0,,MF,Barcelona,La Liga,3,242,80.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
ansu-fati-88c45f,Ansu Fati,23.0,Spain,178.0,Right,FW-MF,Barcelona,La Liga,6,233,38.8,0,0,0.76,0.0,0.38,0.56,0.15,0.71,0.97,3.42,1.14,33.3,17.4,3.67,0.25,2.03,31.14,83.7,2.03,2.15,4.3,7.09,2.41,1.52,50.0,28.48,1.65,51.52,24.18,6.08,36.84,2.03,0.25,0.76,2.78,1.14,37.5,0.13,0.0,0.89,,,,,,,,,,,,,,,,,,10.0
pau-victor-fbbc50,Pau Victor,24.0,Spain,183.0,,FW,Barcelona,La Liga,21,319,15.2,2,1,0.56,0.28,0.16,0.19,0.02,0.22,0.19,1.76,0.48,27.3,15.8,2.09,0.0,0.48,26.95,81.2,1.6,0.32,2.09,4.17,1.6,1.12,58.3,27.59,1.6,42.83,18.13,4.17,32.57,0.96,0.16,0.8,3.53,0.48,30.0,0.0,0.0,1.28,,,,,,,,,,,,,,,,,,10.0
andreas-christensen-dd0677,Andreas Christensen,29.0,Denmark,188.0,Right,DF-MF,Barcelona,La Liga,5,254,50.8,0,0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.58,0.0,0.0,16.7,0.58,0.0,0.29,74.3,94.3,8.0,0.0,4.94,0.15,0.73,0.0,,58.16,1.45,87.09,5.38,0.58,65.72,1.6,0.87,1.02,5.23,3.34,76.7,0.44,0.0,1.16,,,,,,,,,,,,,,,,,,10.0
sergi-dominguez-3d15fb,Sergi Dominguez,20.0,Spain,184.0,,DF,Barcelona,La Liga,3,172,57.3,0,0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.75,0.25,33.3,17.1,1.0,0.0,0.5,72.0,88.1,8.75,0.5,8.25,0.25,0.75,0.0,,66.5,2.0,94.0,6.5,0.75,67.5,1.75,1.25,0.25,4.5,2.5,62.5,0.25,0.0,1.0,,,,,,,,,,,,,,,,,,2.5
daniel-rodriguez-a7e643,Daniel Rodriguez,20.0,Spain,,,MF,Barcelona,La Liga,1,37,37.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ander-astralaga-d24411,Ander Astralaga,21.0,Spain,190.0,,GK,Barcelona,La Liga,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
alvaro-cortes-dfc3f6,Álvaro Cortés,,Spain,,,DF,Barcelona,La Liga,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
andres-cuenca-f8a61e,Andres Cuenca,18.0,Spain,181.0,,DF,Barcelona,La Liga,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noah-darvich-3f8dfd,Noah Darvich,19.0,Germany,184.0,,MF,Barcelona,La Liga,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
landry-farre-43f650,Landry Farré,18.0,Spain,,,DF,Barcelona,La Liga,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
guillermo-fernandez-3d856f,Guillermo Fernandez,17.0,Spain,,,MF,Barcelona,La Liga,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
