player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
alireza-beiranvand-333ce2,Alireza Beiranvand,33.0,Iran,192.0,Right,GK,Tractor Sazi,Persian Gulf Pro League,29,2610,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.6,3.6,61.5,14.3,0.27,-0.63,,29.33,41.8,39.0,2.67,15.0,11.4,0.0,0.53,0.53,
ricardo-alves-coelho-silva-7b65ee,Ricardo Alves Coelho Silva,32.0,Portugal,184.0,,MF,Tractor Sazi,Persian Gulf Pro League,28,2507,89.5,3,4,0.11,0.14,0.0,0.15,0.31,0.46,0.33,2.21,0.66,30.0,24.4,3.54,0.0,2.65,21.67,60.9,1.99,0.44,4.64,2.21,0.22,0.88,57.1,17.03,1.11,47.99,17.91,2.21,23.22,2.43,1.33,1.55,5.75,0.44,25.0,0.66,0.0,1.55,,,,,,,,,,,,,,,,,,1.5
amirhossein-hosseinzadeh-6ee8da,Amirhossein Hosseinzadeh,25.0,Iran,176.0,,FW,Tractor Sazi,Persian Gulf Pro League,28,2327,83.1,14,8,0.54,0.31,0.16,0.18,0.1,0.28,0.18,1.8,0.66,36.4,18.6,2.71,0.41,1.15,30.36,80.8,2.05,1.15,3.53,5.99,3.28,0.82,31.3,35.85,3.28,49.55,20.43,2.38,34.46,2.3,0.57,1.39,5.66,0.98,48.0,0.25,0.0,1.48,,,,,,,,,,,,,,,,,,1.5
tomislav-strkalj-f5a946,Tomislav Štrkalj,29.0,Croatia,184.0,Right,DF-FW,Tractor Sazi,Persian Gulf Pro League,29,1817,62.7,8,2,0.4,0.1,0.0,0.09,0.12,0.21,0.09,1.5,0.15,10.0,15.0,1.95,0.15,0.75,15.33,72.3,1.2,0.45,2.7,3.16,0.75,0.6,50.0,16.23,0.9,28.85,13.37,1.95,22.69,0.15,0.15,0.3,2.1,1.8,26.7,0.3,0.0,0.9,,,,,,,,,,,,,,,,,,0.8
steven-nzonzi-805524,Steven Nzonzi,36.0,France,197.0,Right,MF,Sepahan,Persian Gulf Pro League,24,1839,76.6,1,1,0.05,0.05,0.0,0.0,0.02,0.02,0.0,0.21,0.0,0.0,24.2,2.14,0.0,0.43,66.27,90.9,6.2,0.0,4.28,0.86,0.86,1.5,100.0,43.61,0.43,77.6,7.27,0.21,61.35,0.64,0.43,0.0,5.99,1.71,66.7,0.21,0.0,0.86,,,,,,,,,,,,,,,,,,0.5
bryan-dabo-c1ccae,Bryan Dabo,26.0,Burkina Faso,187.0,Right,MF,Sepahan,Persian Gulf Pro League,20,1254,62.7,0,2,0.0,0.14,0.0,0.06,0.02,0.09,0.06,0.97,0.16,16.7,19.4,1.85,0.16,0.56,35.21,76.7,3.63,0.64,4.83,3.55,2.01,1.53,65.5,29.89,1.93,56.64,14.91,1.69,38.51,0.89,1.05,0.56,6.77,4.19,73.2,0.4,0.0,1.37,,,,,,,,,,,,,,,,,,0.3
kaveh-rezaei-1fe424,Kaveh Rezaei,33.0,Iran,185.0,Right,FW,Sepahan,Persian Gulf Pro League,23,1185,51.5,5,1,0.38,0.08,0.35,0.32,0.16,0.47,0.36,2.13,0.92,43.2,16.8,2.65,0.4,1.21,18.63,65.7,0.92,0.63,2.01,10.12,0.58,0.23,36.4,16.91,0.58,36.58,20.76,5.12,28.58,0.58,0.17,0.4,1.84,3.05,49.5,0.06,0.0,1.55,,,,,,,,,,,,,,,,,,0.35
aboubakar-kamara-7a5c6b,Aboubakar Kamara,30.0,Mauritania,177.0,Right,FW,Sepahan,Persian Gulf Pro League,15,683,45.5,1,2,0.13,0.26,0.0,0.05,0.0,0.05,0.05,0.95,0.48,50.0,21.4,2.38,0.0,0.0,14.29,58.8,0.0,0.0,0.0,10.0,2.38,0.0,0.0,26.67,1.43,38.1,20.48,3.81,27.14,0.0,0.48,0.95,4.29,1.9,40.0,0.0,0.0,1.43,,,,,,,,,,,,,,,,,,0.75
wissam-ben-yedder-da59be,Wissam Ben Yedder,35.0,France,170.0,Both,FW-MF,Sepahan,Persian Gulf Pro League,5,265,53.0,1,0,0.34,0.08,0.58,0.45,0.17,0.62,0.48,2.45,1.13,46.0,11.5,2.88,0.31,1.44,21.57,73.8,2.06,1.32,3.73,8.9,2.02,0.66,37.0,29.42,1.2,37.23,20.32,5.98,29.03,0.16,0.31,0.7,2.8,0.58,34.9,0.08,0.0,0.43,,,,,,,,,,,,,,,,,,1.2
ali-alipour-2c095d,Ali Alipour,30.0,Iran,181.0,,FW,Persepolis,Persian Gulf Pro League,30,2261,75.4,12,2,0.48,0.08,0.11,0.21,0.11,0.32,0.3,1.46,0.34,23.1,14.4,1.12,0.22,0.67,11.53,65.2,0.34,0.56,1.23,4.81,0.9,0.67,50.0,13.21,0.78,26.31,14.33,4.03,19.59,1.01,0.0,0.67,1.9,2.13,35.8,0.11,0.0,0.78,,,,,,,,,,,,,,,,,,1.2
milad-mohammadi-1e8839,Milad Mohammadi,32.0,Iran,178.0,Left,DF-MF,Persepolis,Persian Gulf Pro League,26,2154,82.8,0,4,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,20.2,64.7,0.46,0.0,1.38,1.84,0.46,0.0,0.0,14.69,0.46,43.16,8.27,0.0,15.61,4.59,0.46,0.92,5.05,1.38,50.0,0.0,0.0,0.92,,,,,,,,,,,,,,,,,,1.2
vahid-amiri-fe847f,Vahid Amiri,37.0,Iran,183.0,Left,FW-MF,Persepolis,Persian Gulf Pro League,18,1507,83.7,3,2,0.18,0.12,0.0,0.03,0.34,0.37,0.03,0.68,0.0,0.0,26.2,1.7,0.0,0.68,13.58,62.5,3.4,0.68,2.04,2.72,1.36,0.68,50.0,12.57,1.36,32.6,10.19,0.34,12.23,1.36,1.7,1.36,3.06,0.68,40.0,0.34,0.0,2.04,,,,,,,,,,,,,,,,,,0.1
