player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
francisco-trincao-53b249,Francisco Trincão,25.0,Portugal,186.0,Left,FW-MF,Sporting CP,Primeira Liga,34,2936,86.4,9,14,0.28,0.43,0.35,0.21,0.06,0.27,0.21,2.25,0.83,36.8,21.8,2.72,0.12,1.18,26.85,79.1,3.31,0.95,4.02,3.67,2.6,2.01,58.6,28.86,2.13,44.82,19.51,2.25,32.76,1.77,0.47,1.18,3.31,0.24,40.0,0.12,0.0,0.83,,,,,,,,,,,,,,,,,,35.0
viktor-gyokeres-59b82a,Viktor Gyökeres,27.0,Sweden,187.0,Right,FW-MF,Sporting CP,Primeira Liga,33,2804,85.0,39,7,1.25,0.22,0.45,0.44,0.14,0.57,0.5,2.49,0.98,39.4,10.8,2.26,0.23,1.21,10.25,68.7,0.45,0.6,1.21,7.31,1.66,0.45,23.1,14.4,0.68,26.31,16.13,6.18,19.67,0.15,0.0,0.45,2.26,1.28,34.0,0.15,0.0,0.98,,,,,,,,,,,,,,,,,,75.0
ousmane-diomande-2668d7,Ousmane Diomande,21.0,Côte d'Ivoire,186.0,,DF,Sporting CP,Primeira Liga,31,2521,81.3,2,0,0.07,0.0,0.0,0.01,0.0,0.01,0.01,0.14,0.0,0.0,17.7,0.84,0.14,0.0,61.92,92.8,1.97,0.14,2.81,0.0,0.28,0.56,80.0,51.81,0.28,76.1,1.26,0.14,57.15,1.26,0.98,1.4,3.09,2.25,72.7,0.0,0.0,0.84,,,,,,,,,,,,,,,,,,45.0
geovany-quenda-83fe73,Geovany Quenda,18.0,Portugal,177.0,Left,MF,Sporting CP,Primeira Liga,34,2253,66.3,2,4,0.08,0.16,0.24,0.09,0.14,0.24,0.09,1.3,0.59,45.5,18.0,3.54,0.47,1.89,33.07,75.5,1.54,2.24,4.61,6.85,2.72,1.3,36.7,35.08,1.89,52.2,24.57,2.24,38.62,0.71,0.47,0.83,2.95,0.35,42.9,0.24,0.0,0.47,,,,,,,,,,,,,,,,,,45.0
morten-hjulmand-6ee12f,Morten Hjulmand,26.0,Denmark,185.0,Right,MF,Sporting CP,Primeira Liga,28,2214,79.1,2,2,0.08,0.08,0.0,0.04,0.05,0.08,0.12,0.36,0.12,33.3,15.4,1.94,0.0,1.09,59.76,92.0,5.2,0.36,4.35,1.33,1.09,0.48,66.7,43.67,1.21,72.94,7.74,0.97,54.19,1.69,1.81,0.85,5.93,0.85,58.3,0.48,0.0,1.69,,,,,,,,,,,,,,,,,,50.0
goncalo-inacio-7a9bd7,Gonçalo Inácio,24.0,Portugal,186.0,Left,DF,Sporting CP,Primeira Liga,28,2255,80.5,3,2,0.12,0.08,0.0,0.04,0.03,0.07,0.04,0.55,0.0,0.0,20.5,1.37,0.27,0.14,72.33,87.0,5.48,0.68,5.07,0.41,1.64,0.41,50.0,66.85,0.68,92.05,2.6,0.41,71.51,0.82,0.68,1.64,3.56,2.19,61.5,0.0,0.0,0.55,,,,,,,,,,,,,,,,,,45.0
zeno-debast-255fd5,Zeno Debast,22.0,Belgium,189.0,,DF,Sporting CP,Primeira Liga,31,2126,68.6,0,3,0.0,0.13,0.0,0.02,0.08,0.1,0.02,0.7,0.25,35.3,29.0,2.36,0.29,1.03,58.39,87.0,7.81,0.99,7.44,0.99,0.91,0.33,44.4,47.4,0.99,75.41,10.08,0.33,54.13,1.49,0.95,0.79,5.37,0.87,50.0,0.21,0.0,1.24,,,,,,,,,,,,,,,,,,30.0
geny-catamo-0e4531,Geny Catamo,24.0,Mozambique,179.0,Left,MF,Sporting CP,Primeira Liga,30,1911,63.7,5,2,0.24,0.09,0.16,0.26,0.14,0.4,0.26,2.97,1.04,35.1,17.1,3.96,0.26,1.41,32.38,77.7,2.34,1.93,4.89,11.45,4.95,1.61,36.5,38.42,3.02,56.48,32.59,5.67,40.86,1.35,0.26,0.78,5.1,0.21,26.7,0.1,0.0,0.68,,,,,,,,,,,,,,,,,,15.0
maximiliano-araujo-dcc99f,Maximiliano Araújo,25.0,Uruguay,179.0,Left,DF-FW-MF,Toluca,Liga MX,2,103,51.5,1,0,0.87,0.0,0.11,0.07,0.03,0.1,0.07,0.9,0.11,12.5,15.9,1.68,0.34,0.45,37.28,83.7,1.9,0.56,3.47,5.37,2.8,0.56,21.7,32.8,1.46,57.31,15.9,2.57,34.48,2.46,1.34,1.23,5.26,0.56,55.6,0.34,0.0,1.57,,,,,,,,,,,,,,,,,,17.0
eduardo-quaresma-5b8380,Eduardo Quaresma,23.0,Portugal,185.0,Both,DF,Sporting CP,Primeira Liga,20,1391,69.5,1,0,0.06,0.0,0.09,0.01,0.01,0.02,0.01,0.09,0.09,100.0,24.7,1.53,0.0,0.36,60.6,91.8,7.37,0.27,6.65,0.9,1.8,2.25,71.4,50.26,1.53,75.88,7.28,0.72,52.6,3.24,0.99,1.53,5.48,1.35,65.2,0.18,0.0,1.62,,,,,,,,,,,,,,,,,,17.0
