player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
fabinho-48804f,Fabinho,32.0,Brazil,188.0,Right,DF-MF,Al-Ittihad,Saudio Pro League,32,2865,89.5,2,1,0.06,0.03,0.0,0.0,0.03,0.03,0.0,0.0,0.0,,,2.28,0.0,0.71,57.67,88.0,6.84,0.14,4.98,0.85,0.71,0.28,25.0,40.02,1.57,73.05,10.11,0.0,52.41,1.85,1.28,1.14,5.41,1.42,58.8,0.0,0.0,1.71,,,,,,,,,,,,,,,,,,15.0
ngolo-kante-9f58b5,N'Golo Kanté,34.0,France,169.0,Right,MF,Al-Ittihad,Saudio Pro League,31,2729,88.0,4,3,0.13,0.1,0.0,0.02,0.25,0.26,0.02,0.88,0.35,40.0,23.4,2.82,0.0,1.76,50.9,88.9,7.22,1.41,7.75,3.35,2.82,0.7,57.1,48.96,2.11,65.69,20.25,1.59,51.08,2.11,1.06,1.06,4.76,0.35,50.0,0.0,0.0,1.06,,,,,,,,,,,,,,,,,,5.0
houssem-aouar-3bc360,Houssem Aouar,27.0,Algeria,175.0,Right,FW-MF,Al-Ittihad,Saudio Pro League,30,2491,83.0,12,4,0.43,0.14,0.0,0.02,0.0,0.05,0.02,0.45,0.0,0.0,13.3,2.04,0.23,0.23,31.21,85.7,1.81,0.9,4.07,4.75,1.81,1.36,50.0,33.69,2.49,46.58,13.79,1.13,34.15,1.58,0.45,1.13,5.2,0.9,50.0,0.0,0.0,2.26,,,,,,,,,,,,,,,,,,8.5
karim-benzema-ce87a2,Karim Benzema,37.0,France,183.0,Right,FW,Al-Ittihad,Saudio Pro League,29,2529,87.2,21,9,0.75,0.32,0.48,0.62,0.22,0.83,0.62,4.23,2.18,51.4,14.7,4.35,0.48,2.18,32.42,85.1,1.81,1.69,3.75,5.32,1.45,0.85,41.2,28.79,0.85,48.15,27.34,5.69,39.31,0.24,0.0,0.6,1.45,0.36,23.1,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,7.0
predrag-rajkovic-191aac,Predrag Rajković,30.0,Serbia,191.0,Right,GK,Al-Ittihad,Saudio Pro League,28,2446,87.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,3.33,2.67,80.0,33.3,0.31,0.37,,28.33,47.1,36.6,0.33,8.4,11.8,0.0,0.67,0.33,
hassan-kadesh-768c18,Hassan Kadesh,33.0,Saudi Arabia,180.0,Left,DF,Al-Ittihad,Saudio Pro League,31,2277,73.5,2,1,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danilo-pereira-cc2723,Danilo Pereira,34.0,Portugal,188.0,Right,DF-FW-MF,Al-Ittihad,Saudio Pro League,26,2258,86.8,2,0,0.08,0.0,0.0,0.06,0.0,0.06,0.06,0.45,0.05,10.0,10.8,0.63,0.09,0.0,94.24,94.0,10.02,0.18,6.68,0.09,1.26,0.14,60.0,90.95,1.04,109.62,3.16,0.68,85.8,0.99,1.04,1.31,5.77,2.08,61.3,0.09,0.0,0.63,,,,,,,,,,,,,,,,,,4.5
muhannad-shenqeeti-4b9209,Muhannad Shenqeeti,26.0,Saudi Arabia,173.0,,DF,Al-Ittihad,Saudio Pro League,28,2045,73.0,1,5,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steven-bergwijn-72422f,Steven Bergwijn,28.0,Netherlands,178.0,Right,FW-MF,Ajax,Eredivisie,1,15,15.0,0,0,0.21,0.0,0.0,0.17,0.04,0.21,0.33,1.04,0.62,60.0,17.8,3.12,0.62,0.42,23.7,86.4,1.25,0.0,2.49,4.99,2.7,1.25,50.0,24.11,1.66,34.92,12.89,3.74,24.32,0.21,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.21,,,,,,,,,,,,,,,,,,14.0
moussa-diaby-293b3e,Moussa Diaby,26.0,France,170.0,Left,FW-MF,Al-Ittihad,Saudio Pro League,24,1991,83.0,5,14,0.23,0.63,0.42,0.13,0.07,0.2,0.13,1.25,1.11,88.9,14.6,3.62,0.42,1.11,23.82,82.2,2.37,1.81,4.18,8.22,4.04,1.11,47.1,24.24,2.09,35.39,22.15,4.18,28.14,1.11,0.14,0.42,0.98,0.0,0.0,0.42,0.0,0.84,,,,,,,,,,,,,,,,,,30.0
