player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
seol-young-woo-2bc81d,Seol Young-woo,26.0,Korea Republic,180.0,Right,DF,Red Star,Serbian SuperLiga,30,2533,84.4,6,5,0.21,0.18,0.0,0.01,0.09,0.12,0.01,0.39,0.13,33.3,20.9,1.54,0.39,0.64,47.57,81.7,2.57,0.9,3.09,3.99,1.54,0.39,42.9,36.64,1.54,68.14,13.63,1.16,39.86,1.8,0.9,1.03,3.6,0.26,33.3,0.13,0.0,0.51,,,,,,,,,,,,,,,,,,
timi-elsnik-c2e38f,Timi Elšnik,27.0,Slovenia,170.0,Right,MF,Red Star,Serbian SuperLiga,29,2293,79.1,4,10,0.16,0.39,0.0,0.04,0.1,0.12,0.04,0.95,0.41,42.9,22.1,3.14,0.0,1.77,42.82,77.0,4.09,1.09,5.59,1.91,1.64,0.82,75.0,35.59,2.05,66.82,17.18,1.09,42.41,2.73,1.09,0.95,4.23,1.09,50.0,0.0,0.0,2.45,,,,,,,,,,,,,,,,,,
guelor-kanga-8dd012,Guélor Kanga,35.0,Gabon,167.0,Right,MF,Red Star,Serbian SuperLiga,31,1916,61.8,1,10,0.05,0.47,0.18,0.05,0.22,0.29,0.35,1.64,0.55,33.3,30.0,3.83,0.37,2.56,56.96,82.3,7.48,2.01,10.59,1.83,1.46,1.46,61.5,50.02,1.28,77.22,13.87,0.73,55.5,1.64,0.91,0.37,7.48,0.0,0.0,0.18,0.0,1.28,,,,,,,,,,,,,,,,,,0.35
cherif-ndiaye-e67fd4,Cherif Ndiaye,29.0,Senegal,190.0,Right,FW-MF,Red Star,Serbian SuperLiga,29,1849,63.8,19,5,0.92,0.24,0.16,0.35,0.11,0.46,0.48,1.27,0.32,25.0,13.6,2.39,0.48,0.48,13.36,75.7,1.11,0.32,1.75,3.5,0.64,0.8,50.0,15.42,0.64,26.87,10.18,3.66,20.83,0.48,0.16,0.95,2.23,2.39,39.5,0.32,0.0,1.59,,,,,,,,,,,,,,,,,,6.0
bruno-duarte-fc902f,Bruno Duarte,29.0,Brazil,182.0,Right,FW,Red Star,Serbian SuperLiga,32,1834,57.3,16,4,0.79,0.2,0.4,0.4,0.12,0.52,0.4,3.2,0.8,25.0,13.9,3.6,0.4,1.6,25.2,75.0,3.2,2.8,5.6,9.2,2.8,1.2,75.0,28.8,2.0,48.0,14.8,3.2,35.6,1.6,0.4,2.0,3.2,1.2,33.3,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,5.0
luka-ilic-e8e5f6,Luka Ilić,26.0,Serbia,182.0,Left,MF,Red Star,Serbian SuperLiga,34,1689,49.7,12,6,0.64,0.32,0.17,0.07,0.02,0.08,0.07,0.67,0.5,75.0,14.8,0.5,0.0,0.17,20.61,75.5,1.84,0.5,2.51,2.01,0.5,0.0,0.0,17.93,0.5,36.87,9.05,1.17,21.79,1.34,0.67,1.51,3.02,0.34,25.0,0.67,0.17,2.18,,,,,,,,,,,,,,,,,,2.0
rade-krunic-cc0b00,Rade Krunić,32.0,Bosnia and Herzegovina,184.0,Right,MF,Red Star,Serbian SuperLiga,23,1647,71.6,3,1,0.16,0.05,0.0,0.03,0.05,0.1,0.03,1.02,0.0,0.0,14.7,2.55,0.17,0.85,39.91,90.0,2.89,1.02,5.26,1.7,1.36,0.0,0.0,30.74,1.36,55.87,11.72,2.04,35.15,2.21,1.7,1.36,3.23,1.53,60.0,0.17,0.0,0.68,,,,,,,,,,,,,,,,,,4.5
mirko-ivanic-7a0e69,Mirko Ivanić,32.0,Montenegro,182.0,Right,MF,Red Star,Serbian SuperLiga,21,1474,70.2,11,4,0.67,0.24,0.0,0.25,0.18,0.42,0.25,2.45,0.95,38.9,16.8,3.13,0.41,1.63,21.79,65.3,3.0,0.95,4.36,5.72,3.68,1.5,45.8,26.69,2.04,44.66,18.93,4.08,28.05,1.36,1.5,0.82,5.04,0.27,25.0,0.14,0.0,0.54,,,,,,,,,,,,,,,,,,4.0
milson-3f52ed,Milson,26.0,Angola,174.0,Right,MF,Red Star,Serbian SuperLiga,27,1317,48.8,5,4,0.34,0.27,0.0,0.09,0.23,0.34,0.09,1.76,0.44,25.0,17.4,2.93,0.73,1.17,22.24,75.2,2.05,0.88,2.63,10.98,6.29,2.93,47.6,32.49,3.07,45.95,22.98,4.24,31.76,2.49,0.73,0.59,6.73,0.15,10.0,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,15.0
andrija-maksimovic-6eef65,Andrija Maksimović,18.0,Serbia,182.0,,FW,Red Star,Serbian SuperLiga,27,1314,48.7,4,5,0.27,0.34,0.0,0.09,0.24,0.33,0.09,1.74,0.22,12.5,18.8,2.83,0.43,0.65,29.13,83.8,1.96,1.52,5.22,4.13,2.17,0.43,33.3,21.3,1.52,41.96,15.65,2.17,27.17,0.87,0.22,0.0,4.13,0.22,14.3,0.43,0.0,1.09,,,,,,,,,,,,,,,,,,15.0
