player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
gustav-lindgren-78ee74,Gustav Lindgren,24.0,Sweden,,,FW,Degerfors,Superettan,28,2384,85.1,13,6,0.49,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
kevin-holmen-fd459f,Kevin Holmén,23.0,Sweden,178.0,Left,MF,Degerfors,Superettan,29,2215,76.4,2,9,0.08,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
mamadouba-diaby-e8a3e0,Mamadouba Diaby,28.0,Guinea,175.0,,DF,Degerfors,Superettan,28,2298,82.1,1,2,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
sebastian-ohlsson-520be5,Sebastian Ohlsson,32.0,Sweden,186.0,Right,DF-MF,Degerfors,Superettan,24,1887,78.6,0,1,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
bernardo-morgado-85b117,Bernardo Morgado,27.0,Portugal,187.0,Right,DF,Degerfors,Superettan,22,1877,85.3,0,1,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
wille-jakobsson-57e3f1,Wille Jakobsson,23.0,Sweden,189.0,Right,GK,Degerfors,Superettan,21,1832,87.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275
dijan-vukojevic-cecded,Dijan Vukojevic,30.0,Sweden,183.0,,FW,Degerfors,Superettan,28,1715,61.2,14,5,0.73,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
oscar-wallin-712d81,Oscar Wallin,24.0,Sweden,191.0,,DF,Degerfors,Superettan,16,1440,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
johan-martensson-3722f0,Johan Mårtensson,,Sweden,180.0,Right,MF,Degerfors,Superettan,21,1306,62.2,0,2,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nasiru-moro-455456,Nasiru Moro,29.0,Ghana,190.0,Right,DF,Degerfors,Superettan,16,1325,82.8,1,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175
