player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
marwin-hitz-1749d5,Marwin Hitz,38.0,Switzerland,191.0,Right,GK,Basel,Swiss Super League,36,3195,88.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,6.75,5.25,81.5,25.0,0.25,0.6,100.0,28.0,36.6,33.8,0.75,11.3,12.5,0.5,0.0,0.5,0.1
leon-avdullahu-6d1580,Leon Avdullahu,21.0,Kosovo,185.0,,MF,Basel,Swiss Super League,35,2975,85.0,1,0,0.03,0.09,0.0,0.02,0.05,0.07,0.02,0.61,0.09,14.3,19.0,1.67,0.18,0.7,50.88,87.5,5.44,0.44,5.0,1.14,0.61,0.18,40.0,32.19,0.53,65.96,8.33,0.79,45.35,1.14,1.4,1.23,5.96,1.05,63.2,0.18,0.0,0.79,,,,,,,,,,,,,,,,,,12.0
dominik-schmid-777966,Dominik Schmid,27.0,Switzerland,182.0,,DF-MF,Basel,Swiss Super League,35,2919,83.4,4,6,0.12,0.18,0.0,0.05,0.1,0.13,0.05,1.0,0.0,0.0,17.3,2.5,0.0,1.0,43.75,73.8,1.75,1.75,4.25,4.25,2.0,0.5,66.7,30.25,1.75,72.75,24.25,2.75,37.0,2.0,2.0,1.5,5.25,1.25,62.5,0.25,0.0,0.75,,,,,,,,,,,,,,,,,,4.0
benie-traore-290cca,Bénie Traoré,23.0,Côte d'Ivoire,175.0,,FW-MF,Basel,Swiss Super League,36,2388,66.3,13,8,0.49,0.3,0.0,0.1,0.2,0.34,0.1,1.96,0.49,25.0,17.7,5.38,0.49,2.93,28.86,74.7,2.45,2.93,5.87,9.78,3.91,1.47,27.3,33.75,1.96,58.21,35.71,7.83,39.62,2.45,0.98,0.98,6.85,0.49,33.3,0.49,0.0,3.42,,,,,,,,,,,,,,,,,,10.0
xherdan-shaqiri-705554,Xherdan Shaqiri,34.0,Switzerland,169.0,Left,FW-MF,Basel,Swiss Super League,34,2609,76.7,18,21,0.62,0.72,0.49,0.49,0.37,0.86,0.69,3.7,1.23,33.3,21.0,5.18,0.49,2.22,34.77,66.2,5.42,3.7,10.11,5.92,1.97,0.49,66.7,33.78,2.71,60.16,31.81,4.19,43.64,0.0,0.0,0.0,2.96,0.49,50.0,0.0,0.0,0.99,,,,,,,,,,,,,,,,,,2.0
jonas-adjetey-c34d88,Jonas Adjetey,21.0,Ghana,188.0,,DF,Basel,Swiss Super League,32,2598,81.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,100.0,31.7,0.34,0.0,0.0,44.31,86.0,3.78,0.0,3.44,0.69,1.37,0.0,0.0,29.89,0.69,68.7,3.44,0.34,39.5,0.69,2.06,3.44,4.47,3.44,76.9,0.0,0.0,1.03,,,,,,,,,,,,,,,,,,8.0
adrian-leon-barisic-b80729,Adrian Leon Barišić,24.0,Bosnia and Herzegovina,192.0,,DF,Basel,Swiss Super League,30,2419,80.6,1,0,0.04,0.0,0.0,0.1,0.03,0.13,0.1,1.0,0.0,0.0,10.6,1.33,0.0,0.66,44.17,86.9,3.65,0.33,2.32,0.0,0.66,0.0,,29.56,0.33,66.75,3.99,1.99,38.86,3.32,1.99,1.99,3.99,4.98,65.2,0.33,0.0,2.32,,,,,,,,,,,,,,,,,,5.0
anton-kade-635e5e,Anton Kade,21.0,Germany,185.0,,MF,Basel,Swiss Super League,36,2340,65.0,4,4,0.15,0.15,0.18,0.27,0.17,0.44,0.27,2.02,0.73,36.4,15.7,2.57,0.18,1.83,24.56,73.2,1.65,0.92,3.48,5.87,0.92,1.28,58.3,17.96,0.92,46.56,23.28,4.03,23.46,1.83,0.55,2.38,3.48,2.38,48.1,0.18,0.0,0.73,,,,,,,,,,,,,,,,,,5.0
leo-leroy-2940a1,Léo Leroy,25.0,France,185.0,Right,MF,Basel,Swiss Super League,36,2180,60.6,3,3,0.12,0.12,0.0,0.18,0.02,0.21,0.18,2.77,1.15,41.7,20.9,4.15,0.23,0.69,40.15,84.1,5.54,1.85,7.15,3.0,1.62,0.46,28.6,29.31,0.69,63.0,19.62,2.54,38.54,3.69,0.69,1.62,5.54,1.62,63.6,0.23,0.0,2.77,,,,,,,,,,,,,,,,,,2.5
joe-mendes-2fbb7a,Joe Mendes,22.0,Sweden,177.0,Right,DF,Braga,Primeira Liga,4,184,46.0,0,0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,,,1.76,0.44,0.88,47.85,75.7,3.07,2.2,3.07,5.27,8.34,0.44,50.0,51.37,6.15,68.05,27.22,0.0,51.8,1.32,0.88,1.32,3.51,0.44,20.0,0.44,0.0,0.44,,,,,,,,,,,,,,,,,,2.5
kevin-carlos-c04605,Kevin Carlos,24.0,Spain,188.0,Right,FW,Basel,Swiss Super League,32,1850,57.8,12,0,0.58,0.0,0.12,0.29,0.02,0.32,0.39,2.45,0.94,38.1,11.5,1.87,0.7,0.23,10.52,63.4,0.58,0.23,0.94,3.74,0.47,0.35,27.3,13.68,0.35,26.42,9.35,4.21,19.75,0.12,0.12,0.23,1.75,3.04,54.2,0.12,0.0,2.69,,,,,,,,,,,,,,,,,,6.0
nicolas-vouilloz-d8be03,Nicolas Vouilloz,24.0,Switzerland,184.0,,DF,Basel,Swiss Super League,20,1626,81.3,1,0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.37,0.0,0.0,41.85,77.9,2.59,0.74,5.93,5.93,2.22,0.0,0.0,27.78,1.85,63.33,18.89,0.74,34.07,0.37,1.11,0.74,3.33,0.74,28.6,0.37,0.0,0.74,,,,,,,,,,,,,,,,,,2.5
albian-ajeti-eb21bb,Albian Ajeti,28.0,Switzerland,183.0,Right,FW,Basel,Swiss Super League,30,1425,47.5,10,6,0.63,0.38,0.34,0.34,0.0,0.34,0.34,2.06,0.69,33.3,13.8,1.37,0.0,0.0,8.93,68.4,0.34,0.0,0.69,4.12,0.34,0.0,,13.4,1.72,22.33,12.71,3.09,17.18,0.34,0.0,0.34,1.72,2.4,41.2,0.69,0.0,1.03,,,,,,,,,,,,,,,,,,1.0
philip-otele-f7bd0a,Philip Otele,26.0,Nigeria,185.0,Right,FW-MF,Basel,Swiss Super League,18,1013,56.3,9,4,0.8,0.36,0.65,0.26,0.16,0.42,0.26,2.59,0.97,37.5,17.0,5.83,0.32,2.59,29.78,75.4,4.21,1.94,5.5,9.71,5.5,0.32,11.1,33.02,1.94,51.15,23.63,6.15,39.5,1.3,0.0,0.65,3.88,0.97,50.0,0.0,0.0,0.97,,,,,,,,,,,,,,,,,,5.0
romario-baro-1ec03e,Romário Baró,25.0,Portugal,179.0,Right,MF,Basel,Swiss Super League,20,834,41.7,1,0,0.11,0.1,0.0,0.06,0.16,0.22,0.06,1.16,0.1,8.3,26.9,2.99,0.29,1.16,23.05,82.1,2.22,0.58,3.67,3.28,1.45,1.45,42.9,22.96,1.16,39.55,11.96,1.35,25.27,1.93,0.96,1.06,6.37,0.68,33.3,0.29,0.0,1.16,,,,,,,,,,,,,,,,,,0.6
metinho-dbdd9b,Metinho,22.0,Brazil,178.0,,MF,Sparta R'dam,Eredivisie,12,361,30.1,0,0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.86,0.29,33.3,18.0,2.86,0.29,0.57,59.71,88.9,8.57,1.14,5.43,1.43,1.71,0.86,50.0,48.29,1.43,78.29,17.14,0.86,58.86,2.86,1.14,1.14,5.43,0.29,20.0,0.0,0.0,1.14,,,,,,,,,,,,,,,,,,5.0
finn-van-breemen-df2dbb,Finn van Breemen,22.0,Netherlands,193.0,,DF,Basel,Swiss Super League,15,741,49.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
kevin-ruegg-ea789e,Kevin Rüegg,27.0,Switzerland,173.0,Right,DF-MF,Basel,Swiss Super League,7,426,60.9,0,1,0.0,0.21,0.0,0.13,0.2,0.33,0.13,0.75,0.0,0.0,22.5,1.5,0.5,0.25,25.75,71.5,3.0,0.5,2.5,3.5,1.25,1.5,66.7,21.25,1.75,47.75,11.25,0.75,22.25,2.25,1.5,1.5,6.0,0.75,33.3,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,0.5
marin-soticek-fc7d1e,Marin Šotiček,21.0,Croatia,183.0,,MF,Basel,Swiss Super League,28,886,31.6,4,2,0.41,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
moussa-cisse-de54ed,Moussa Cissé,22.0,France,177.0,,DF,Basel,Swiss Super League,8,450,56.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
thierno-barry-f3b02b,Thierno Barry,23.0,France,186.0,,FW,Villarreal,La Liga,35,2323,66.4,11,4,0.43,0.15,0.3,0.39,0.09,0.47,0.42,2.3,0.7,30.2,10.9,1.39,0.17,0.74,9.34,64.8,0.61,0.39,1.04,4.73,1.48,0.83,42.2,13.07,1.17,25.37,12.77,4.52,19.68,0.43,0.09,0.61,1.35,4.65,59.4,0.17,0.0,1.74,,,,,,,,,,,,,,,,,,30.0
arnau-comas-317e04,Arnau Comas,25.0,Spain,191.0,,DF,Basel,Swiss Super League,3,119,39.7,0,0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,1.04,0.0,0.0,14.1,0.52,0.0,0.17,46.81,90.6,2.42,0.17,2.42,0.0,0.69,0.17,100.0,35.76,0.17,61.5,1.73,0.86,42.32,0.86,2.07,1.21,4.49,1.9,55.0,0.35,0.0,1.38,,,,,,,,,,,,,,,,,,0.5
bradley-fink-dfc170,Bradley Fink,22.0,Switzerland,189.0,Both,FW,Basel,Swiss Super League,16,322,20.1,1,1,0.28,0.28,0.0,0.08,0.05,0.13,0.08,1.06,0.53,50.0,13.3,1.85,0.79,0.79,12.44,69.1,1.59,0.0,2.12,3.97,0.26,0.0,0.0,12.18,0.79,25.41,13.24,3.44,17.74,0.79,0.0,0.0,1.59,2.91,50.0,0.53,0.0,2.12,,,,,,,,,,,,,,,,,,0.4
taulant-xhaka-0acbc0,Taulant Xhaka,,Albania,172.0,Right,DF-MF,Basel,Swiss Super League,10,238,23.8,0,0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.27,0.09,33.3,26.9,1.89,0.27,1.17,40.72,86.3,3.96,0.18,3.69,1.53,0.63,0.0,0.0,31.35,0.81,53.69,9.82,0.09,34.68,1.08,0.9,0.9,5.14,0.54,42.9,0.18,0.0,1.35,,,,,,,,,,,,,,,,,,
mirko-salvi-3c8116,Mirko Salvi,31.0,Switzerland,188.0,Right,GK,Basel,Swiss Super League,3,225,75.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.5,3.5,72.7,0.0,0.21,-0.4,0.0,21.0,45.2,37.3,0.0,6.0,3.1,0.5,0.5,0.0,0.1
benjamin-kololli-c3fdd8,Benjamin Kololli,33.0,Kosovo,184.0,Right,DF-FW-MF,Basel,Swiss Super League,4,155,38.8,1,0,0.58,0.15,0.0,0.08,0.23,0.3,0.3,1.67,0.61,36.4,29.4,3.18,0.45,2.12,21.82,62.9,0.91,0.76,1.82,5.45,3.48,1.06,30.4,24.55,1.82,50.91,23.48,2.73,25.76,1.97,0.61,1.52,5.15,0.91,42.9,0.0,0.0,1.67,,,,,,,,,,,,,,,,,,0.1
gabriel-sigua-abe117,Gabriel Sigua,20.0,Georgia,190.0,,MF,Basel,Swiss Super League,16,292,18.2,0,0,0.0,0.44,0.0,0.0,0.66,0.66,0.0,0.44,0.44,100.0,33.6,3.97,0.88,2.21,28.24,76.2,3.53,0.88,2.21,6.18,2.65,0.88,50.0,25.59,1.32,49.41,14.56,3.09,30.88,4.41,0.44,3.09,4.41,0.0,0.0,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,2.0
fabian-frei-a6e48b,Fabian Frei,,Switzerland,183.0,Right,DF-MF,Basel,Swiss Super League,6,181,30.2,0,0,0.0,0.0,0.0,0.05,0.1,0.14,0.05,0.87,0.0,0.0,21.8,3.13,0.0,1.57,42.13,82.6,6.44,1.04,7.14,1.74,0.7,0.35,100.0,30.81,1.04,58.49,8.53,0.87,37.78,1.04,1.39,1.04,5.92,1.04,54.5,0.0,0.0,0.87,,,,,,,,,,,,,,,,,,
romeo-beney-c0ec0a,Roméo Beney,20.0,Switzerland,187.0,,FW,Basel,Swiss Super League,3,58,19.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
marvin-akahomen-e2edd6,Marvin Akahomen,18.0,Switzerland,188.0,,DF,Basel,Swiss Super League,2,27,13.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
juan-gauto-355712,Juan Gauto,21.0,Argentina,172.0,Right,MF,Basel,Swiss Super League,1,25,25.0,0,0,0.05,0.22,0.05,0.07,0.13,0.2,0.07,1.63,0.44,26.7,22.3,3.7,0.44,1.69,22.96,65.7,1.58,1.63,3.43,8.54,3.86,2.39,45.8,28.13,2.01,47.23,25.25,1.9,29.6,1.36,0.44,0.87,5.33,0.33,30.0,0.05,0.0,0.71,,,,,,,,,,,,,,,,,,0.9
emmanuel-essiam-878fe6,Emmanuel Essiam,21.0,Ghana,183.0,,MF,Basel,Swiss Super League,1,20,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
mohamed-drager-852386,Mohamed Dräger,29.0,Tunisia,180.0,Right,DF-MF,Basel,Swiss Super League,1,15,15.0,0,0,0.06,0.19,0.06,0.04,0.07,0.11,0.04,0.87,0.12,14.3,21.4,1.86,0.31,0.93,38.41,75.6,1.67,0.74,2.78,3.77,3.77,0.93,33.3,34.82,1.98,64.08,14.91,1.61,35.26,1.98,1.11,1.05,5.63,0.49,38.1,0.12,0.0,0.99,,,,,,,,,,,,,,,,,,0.25
michael-lang-f7d511,Michael Lang,28.0,Switzerland,185.0,Right,DF-MF,Basel,Swiss Super League,0,0,,0,0,0.0,0.27,0.0,0.03,0.12,0.15,0.03,0.27,0.09,33.3,12.2,2.27,0.54,0.82,50.26,79.1,4.17,0.64,4.54,2.27,1.0,0.27,60.0,40.83,0.73,71.67,10.07,0.82,43.91,1.63,1.09,1.09,6.08,0.82,37.5,0.18,0.0,1.36,,,,,,,,,,,,,,,,,,0.25
