player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
john-2a0c8a,John,29.0,Brazil,192.0,Right,GK,Botafogo (RJ),Série A,34,3060,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,3.27,2.5,80.0,46.2,0.25,0.16,0.0,28.42,27.1,31.0,0.92,13.8,5.7,0.5,0.19,0.31,40.0
luiz-henrique-86d458,Luiz Henrique,24.0,Brazil,182.0,Left,FW-MF,Zenit,Russian Premier League,11,957,87.0,2,2,0.19,0.19,0.21,0.23,0.14,0.36,0.25,2.1,0.78,37.3,19.2,3.52,0.25,1.14,21.85,76.3,1.6,1.1,2.63,9.27,3.02,3.2,56.6,27.47,1.78,42.53,22.49,4.05,31.27,1.67,0.39,1.35,3.91,0.89,38.5,0.11,0.0,1.31,,,,,,,,,,,,,,,,,,25.0
bastos-08aad5,Bastos,34.0,Angola,184.0,Right,DF,Botafogo (RJ),Série A,32,2628,82.1,3,0,0.1,0.0,0.1,0.06,0.0,0.06,0.06,0.68,0.14,20.0,10.0,0.72,0.07,0.21,52.4,90.8,3.42,0.1,3.8,0.24,0.41,0.07,40.0,38.77,0.31,65.92,3.12,0.79,45.92,1.1,1.06,0.92,4.01,1.88,67.9,0.21,0.0,1.2,,,,,,,,,,,,,,,,,,0.7
marlon-freitas-bb2c35,Marlon Freitas,30.0,Brazil,185.0,Right,MF,Botafogo (RJ),Série A,32,2425,75.8,0,5,0.03,0.19,0.03,0.04,0.1,0.14,0.04,0.76,0.23,30.0,22.7,2.7,0.33,1.02,58.18,88.5,7.48,0.94,7.28,0.99,1.07,0.1,33.3,44.67,0.99,73.33,10.23,0.53,54.21,1.53,0.69,1.17,3.33,0.48,52.8,0.23,0.0,1.02,,,,,,,,,,,,,,,,,,6.0
gregore-67fcbc,Gregore,31.0,Brazil,180.0,Right,MF,Botafogo (RJ),Série A,33,2220,67.3,3,2,0.12,0.08,0.05,0.02,0.04,0.06,0.02,0.53,0.11,20.0,21.4,2.12,0.16,0.79,63.14,90.1,7.72,0.32,6.82,0.95,0.85,0.32,50.0,47.59,1.0,81.12,7.83,0.42,57.64,3.54,1.27,1.37,5.87,1.69,51.6,0.21,0.0,3.12,,,,,,,,,,,,,,,,,,5.0
alexander-barboza-7a4e2e,Alexander Barboza,30.0,Argentina,193.0,,DF,Botafogo (RJ),Série A,26,2033,78.2,0,1,0.0,0.04,0.0,0.05,0.01,0.06,0.05,0.94,0.16,17.2,17.1,1.0,0.03,0.23,48.22,82.9,4.54,0.16,4.28,0.42,0.91,0.29,45.0,39.6,0.32,71.53,2.95,1.23,45.15,2.14,1.17,1.26,4.63,2.75,65.4,0.52,0.0,1.81,,,,,,,,,,,,,,,,,,5.0
jefferson-savarino-cfd57f,Jefferson Savarino,29.0,Venezuela,169.0,Right,FW-MF,Botafogo (RJ),Série A,28,2009,71.8,8,7,0.36,0.31,0.22,0.18,0.24,0.42,0.18,2.51,0.88,35.3,20.6,4.05,0.29,2.14,29.4,78.9,2.65,1.33,3.94,5.89,1.77,0.59,44.4,27.08,1.44,44.47,19.41,2.95,33.56,0.55,0.07,0.26,3.09,0.0,0.0,0.07,0.0,0.37,,,,,,,,,,,,,,,,,,9.0
tche-tche-464f9f,Tchê Tchê,33.0,Brazil,175.0,Right,DF-MF,Botafogo (RJ),Série A,28,1570,56.1,0,0,0.05,0.0,0.05,0.02,0.02,0.05,0.02,0.75,0.19,25.0,24.0,2.62,0.14,0.84,52.14,92.4,5.94,0.47,5.48,1.4,1.17,0.89,52.8,45.12,1.4,63.74,11.84,0.47,53.07,0.84,0.56,0.42,3.28,0.19,25.0,0.14,0.0,1.22,,,,,,,,,,,,,,,,,,1.0
junior-santos-6214e0,Júnior Santos,31.0,Brazil,188.0,,FW-MF,Botafogo (RJ),Série A,24,1481,61.7,4,1,0.24,0.06,0.24,0.38,0.09,0.47,0.38,2.55,0.97,38.1,16.5,2.49,0.3,1.15,14.04,72.2,1.09,0.79,1.82,7.72,2.67,1.52,43.9,19.93,1.46,31.72,19.2,5.29,23.46,0.73,0.12,0.67,3.16,1.7,48.3,0.12,0.0,1.03,,,,,,,,,,,,,,,,,,3.5
cuiabano-d6c9b6,Cuiabano,22.0,Brazil,179.0,Left,DF,Botafogo (RJ),Série A,23,1476,64.2,4,1,0.24,0.06,0.31,0.2,0.14,0.34,0.2,1.83,0.89,48.6,16.2,2.52,0.21,1.31,27.41,72.7,1.78,1.31,2.31,6.66,2.04,0.79,48.4,23.38,1.42,49.95,17.87,3.2,28.41,2.1,1.1,1.21,3.93,1.05,50.0,0.31,0.0,1.89,,,,,,,,,,,,,,,,,,8.0
