player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
vitaliy-buyalskyi-a0b51e,Vitaliy Buyalskyi,32.0,Ukraine,170.0,Right,MF,Dynamo Kyiv,Ukrainian-Premier-League,29,2112,72.8,7,7,0.3,0.3,0.0,0.3,0.17,0.48,0.3,2.16,0.43,20.0,12.8,3.46,0.87,3.03,30.72,81.6,3.03,3.46,5.63,3.46,1.3,0.87,50.0,17.74,2.6,45.0,26.39,4.33,27.26,1.73,0.0,0.87,1.73,0.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,3.5
vladyslav-vanat-320006,Vladyslav Vanat,23.0,Ukraine,182.0,Left,FW,Dynamo Kyiv,Ukrainian-Premier-League,28,2145,76.6,17,4,0.71,0.17,0.36,0.33,0.1,0.43,0.33,1.17,0.9,76.9,12.0,1.35,0.18,0.72,11.75,74.0,0.54,0.54,1.26,3.5,0.9,0.63,58.3,12.02,0.45,23.42,9.87,3.14,15.25,0.27,0.09,0.63,1.62,1.26,33.3,0.09,0.0,1.08,,,,,,,,,,,,,,,,,,15.0
vladyslav-kabayev-640074,Vladyslav Kabayev,30.0,Ukraine,176.0,Right,FW-MF,Dynamo Kyiv,Ukrainian-Premier-League,30,2078,69.3,2,3,0.09,0.13,0.19,0.06,0.04,0.1,0.06,1.15,0.38,33.3,20.4,2.11,0.0,0.77,36.84,81.4,2.11,1.34,4.8,9.98,2.69,3.65,61.3,38.38,2.69,58.15,23.6,3.45,43.75,3.45,0.19,0.58,5.76,0.58,60.0,0.19,0.0,2.88,,,,,,,,,,,,,,,,,,4.0
taras-mykhavko-295ef9,Taras Mykhavko,20.0,Ukraine,185.0,,DF,Dynamo Kyiv,Ukrainian-Premier-League,26,2079,80.0,1,0,0.04,0.0,0.0,0.04,0.11,0.11,0.04,0.38,0.0,0.0,9.1,0.76,0.0,0.76,56.58,86.6,3.04,0.76,3.04,3.42,0.76,0.38,25.0,36.84,0.76,79.75,13.67,1.14,51.65,2.66,1.52,3.04,4.56,2.28,85.7,0.38,0.0,1.14,,,,,,,,,,,,,,,,,,8.0
oleksandr-tymchyk-3a409c,Oleksandr Tymchyk,28.0,Ukraine,180.0,Right,DF,Dynamo Kyiv,Ukrainian-Premier-League,20,1772,88.6,0,1,0.0,0.05,0.0,0.05,0.09,0.14,0.05,0.7,0.0,0.0,15.4,1.4,0.23,0.47,44.88,83.5,1.4,1.63,3.02,4.65,2.33,0.23,33.3,34.42,1.86,63.72,18.6,1.86,38.14,1.4,1.4,0.93,4.19,0.7,50.0,0.23,0.0,0.7,,,,,,,,,,,,,,,,,,3.5
denys-popov-6f5f1c,Denys Popov,26.0,Ukraine,185.0,Right,DF,Dynamo Kyiv,Ukrainian-Premier-League,21,1640,78.1,1,0,0.05,0.0,0.4,0.12,0.0,0.12,0.12,1.2,0.4,33.3,11.6,0.8,0.4,0.0,64.4,89.4,4.4,0.8,4.0,0.4,0.4,0.4,100.0,51.2,1.6,82.4,4.0,1.2,63.6,2.0,1.2,1.6,3.6,1.6,80.0,0.4,0.0,2.4,,,,,,,,,,,,,,,,,,4.0
mykola-shaparenko-8edf6c,Mykola Shaparenko,27.0,Ukraine,178.0,Right,MF,Dynamo Kyiv,Ukrainian-Premier-League,23,1420,61.7,6,7,0.38,0.44,0.0,0.05,0.17,0.21,0.05,0.72,0.24,33.3,25.7,3.1,0.0,1.19,57.53,81.1,5.97,0.95,8.12,5.25,4.06,0.24,9.1,49.18,4.06,81.88,27.21,1.67,61.35,1.19,0.72,0.95,7.4,0.48,50.0,0.72,0.0,0.48,,,,,,,,,,,,,,,,,,8.0
andriy-yarmolenko-105388,Andriy Yarmolenko,36.0,Ukraine,189.0,Left,FW-MF,Dynamo Kyiv,Ukrainian-Premier-League,21,1259,60.0,7,1,0.5,0.07,0.91,0.27,0.0,0.27,0.27,2.28,1.83,80.0,10.6,1.83,0.0,0.46,37.92,78.3,4.11,2.28,7.31,9.14,1.83,0.0,0.0,44.31,2.74,60.76,26.5,5.03,49.34,1.37,0.91,0.0,3.65,0.46,100.0,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,1.2
heorhiy-bushchan-b9f83c,Heorhiy Bushchan,31.0,Ukraine,196.0,Right,GK,Al-Shabab,Saudio Pro League,11,990,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,8.8,5.8,68.2,0.0,0.31,0.1,100.0,33.4,37.1,35.8,0.8,13.6,4.3,0.0,0.0,1.0,5.0
mykola-mykhailenko-a87840,Mykola Mykhailenko,24.0,Ukraine,181.0,Left,MF,Dynamo Kyiv,Ukrainian-Premier-League,21,1433,68.2,2,1,0.13,0.06,0.0,0.0,0.04,0.04,0.0,0.35,0.0,0.0,32.3,0.71,0.0,0.71,50.12,89.3,4.94,0.0,5.29,0.71,0.71,0.0,0.0,37.41,1.06,60.71,8.47,0.0,45.88,1.06,0.35,0.71,4.24,0.71,66.7,0.35,0.0,1.06,,,,,,,,,,,,,,,,,,2.5
