player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
maurice-cova-48a89b,Maurice Cova,33.0,Venezuela,178.0,Right,MF,Dep Táchira,Venezuelan Primera Division,21,1793,85.4,6,0,0.3,0.22,0.0,0.15,0.13,0.28,0.15,2.37,0.22,9.1,25.1,3.67,0.43,2.16,50.72,80.2,7.99,0.43,8.2,2.16,1.94,0.65,42.9,43.6,1.51,72.09,18.99,0.65,56.12,0.65,1.08,0.43,3.88,0.22,20.0,0.65,0.0,1.51,,,,,,,,,,,,,,,,,,0.35
yanniel-hernandez-719573,Yanniel Hernández,28.0,Venezuela,181.0,,DF-MF,Dep Táchira,Venezuelan Primera Division,23,1696,73.7,1,0,0.05,0.0,0.0,0.06,0.12,0.18,0.06,1.2,0.0,0.0,25.1,1.8,0.0,1.2,34.5,78.8,3.6,0.6,3.9,4.2,2.7,2.4,53.3,33.3,2.1,55.2,14.1,0.9,33.9,1.5,1.2,0.6,5.7,0.9,60.0,0.0,0.3,1.2,,,,,,,,,,,,,,,,,,0.25
carlos-vivas-af1310,Carlos Vivas,23.0,Venezuela,170.0,Right,DF,Dep Táchira,Venezuelan Primera Division,20,1656,82.8,1,0,0.05,0.0,0.0,0.03,0.05,0.05,0.03,0.75,0.0,0.0,37.3,2.76,0.0,0.5,50.14,87.3,5.52,0.5,6.52,0.25,2.26,0.5,50.0,43.62,1.0,68.94,4.26,0.25,48.89,2.76,0.75,0.75,5.26,2.01,40.0,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,1.2
jesus-camargo-1188e9,Jesús Camargo,27.0,Venezuela,,,GK,Dep Táchira,Venezuelan Primera Division,17,1530,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,6.17,4.33,70.3,0.0,0.3,0.02,,22.67,32.4,33.4,2.5,15.7,3.7,0.0,0.0,1.0,
jefre-vargas-33dc5e,Jefre Vargas,30.0,Venezuela,180.0,,DF-MF,Dep Táchira,Venezuelan Primera Division,23,1539,66.9,0,0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.37,0.0,0.0,75.0,0.73,0.0,0.37,32.93,75.0,1.83,0.73,3.29,6.22,0.73,0.0,0.0,26.34,0.73,54.51,15.37,0.37,30.0,0.73,0.73,1.46,3.29,0.73,50.0,0.37,0.0,1.1,,,,,,,,,,,,,,,,,,0.25
andres-rios-7360fa,Andrés Ríos,36.0,Argentina,179.0,Right,FW-MF,Dep Táchira,Venezuelan Primera Division,24,1253,52.2,1,0,0.07,0.1,0.29,0.24,0.05,0.29,0.24,1.53,0.67,43.8,14.3,2.78,0.19,0.86,17.64,70.5,1.05,0.67,2.59,3.83,0.38,0.77,66.7,16.39,0.1,35.08,13.13,2.68,24.35,0.96,0.1,0.38,3.55,1.92,36.4,0.38,0.1,2.2,,,,,,,,,,,,,,,,,,0.01
carlos-robles-rocha-baac89,Carlos Robles Rocha,,Colombia,183.0,Right,MF,Dep Táchira,Venezuelan Primera Division,18,1245,69.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,100.0,28.0,0.46,0.0,0.0,35.17,88.4,1.85,0.0,2.31,0.69,0.23,0.0,0.0,27.3,0.46,47.89,2.08,0.23,30.54,2.78,0.93,0.69,4.63,0.69,37.5,0.69,0.0,1.85,,,,,,,,,,,,,,,,,,
haibrany-ruiz-diaz-2b8a50,Haibrany Ruiz Díaz,33.0,Uruguay,177.0,Right,DF,Dep Táchira,Venezuelan Primera Division,17,1219,71.7,0,0,0.27,0.0,0.27,0.16,0.0,0.16,0.16,0.27,0.27,100.0,4.2,0.0,0.0,0.0,30.55,78.9,1.64,0.0,2.18,0.0,0.27,0.0,0.0,27.27,0.27,49.64,1.09,0.55,29.45,1.36,1.91,0.0,2.45,1.64,46.2,0.27,0.0,0.82,,,,,,,,,,,,,,,,,,0.25
carlos-sosa-2aa714,Carlos Sosa,30.0,Venezuela,172.0,Left,FW-MF,Dep Táchira,Venezuelan Primera Division,19,1132,59.6,2,0,0.16,0.25,0.0,0.08,0.45,0.53,0.08,2.26,0.25,11.1,27.2,4.76,0.25,2.01,42.12,78.5,4.51,1.75,4.51,9.53,3.76,2.51,45.5,41.87,4.01,65.68,25.32,1.25,50.14,0.75,0.75,0.5,5.77,0.0,0.0,0.0,0.25,0.5,,,,,,,,,,,,,,,,,,0.5
mauro-maidana-e938fb,Mauro Maidana,35.0,Argentina,176.0,Left,DF,Dep Táchira,Venezuelan Primera Division,12,1027,85.6,3,0,0.26,0.0,0.0,0.02,0.02,0.04,0.02,0.4,0.2,50.0,13.6,1.4,0.0,0.2,50.2,88.1,5.6,0.2,5.4,0.0,0.8,0.0,0.0,38.6,0.2,66.2,2.8,0.4,42.4,2.2,1.0,0.6,6.8,1.4,58.3,0.2,0.0,0.2,,,,,,,,,,,,,,,,,,0.1
